Protein,species,asymptote,mid,m,Tm,r2
Q9BVM4,Homo sapiens Jurkat cells,0.0099636586455906,52.5010638733937,2337.873533802417,52.5297371155064,0.9717647545369558
P01023,Homo sapiens Jurkat cells,1.4640227536025923e-27,60.85535351327006,939.23283590177,60.856907680647794,0.910715950128674
Q9NRG9,Homo sapiens Jurkat cells,5.677210632203722e-28,49.354004830529206,552.6387795175605,49.35891374350937,0.9671081651291088
Q86V21,Homo sapiens Jurkat cells,0.0465981161988864,43.9080828572228,1605.0687360257816,44.02830962754374,0.9979206268265954
Q6PIU2,Homo sapiens Jurkat cells,0.024993970333633,57.99331836565582,1639.7243829159067,58.10214751894646,0.9927787344842832
Q8N5Z0,Homo sapiens Jurkat cells,0.0295849217069098,54.333101157432985,1369.831255331893,54.4714426255165,0.9948810239977142
Q2M2I8,Homo sapiens Jurkat cells,7.6773693846057695e-25,50.62518548411984,1010.92966390978,50.62902489318814,0.99635603373419
Q13685,Homo sapiens Jurkat cells,1.0264034155497933e-18,49.60577359126231,563.5641313909975,49.61035625517047,0.9956719039521592
P49588,Homo sapiens Jurkat cells,0.0015780349264798,52.97351428126917,1481.6135443716664,52.97943600303453,0.9960979792795293
Q5JTZ9,Homo sapiens Jurkat cells,0.0317552937293604,47.89501965665833,1422.602658633848,48.00112630029829,0.9988908918662404
Q9BTE6,Homo sapiens Jurkat cells,0.0214416302112669,48.5748994745814,1659.0182403349131,48.64115787409174,0.9994043369359444
Q9NRN7,Homo sapiens Jurkat cells,0.0054683958572858,51.72552676570507,1595.809277813303,51.74516916175266,0.9980585742523568
Q9UDR5,Homo sapiens Jurkat cells,0.0435985446918823,51.36161363094994,2306.164963633797,51.4767779072927,0.998065706731119
P80404,Homo sapiens Jurkat cells,3.696978407496505e-20,58.81456814076908,1159.996766464633,58.8162312897617,0.9903981777537576
Q8IZY2,Homo sapiens Jurkat cells,5.949867628384403e-20,60.99374571886642,1104.1064781007155,60.99380188794617,0.9746931066428802
Q9NRK6,Homo sapiens Jurkat cells,2.261821987449685e-26,54.08522513973116,1079.6414261191449,54.087385215089526,0.998107945832498
Q9NP58,Homo sapiens Jurkat cells,0.0706596234247445,52.61450835185909,2093.814973096577,52.81931054445301,0.9892054210115035
O75027,Homo sapiens Jurkat cells,0.0422875924659606,52.242013197410174,1999.2589925526763,52.3736883698413,0.9979652547880336
Q9NUT2,Homo sapiens Jurkat cells,0.0500825842669231,51.82080758921364,1711.9521401970846,51.98693467447264,0.996174743218619
P33527,Homo sapiens Jurkat cells,0.0705588755588496,53.98013004423667,2167.90405807102,54.19654174581102,0.9561451161576574
O15439,Homo sapiens Jurkat cells,1.9657451787250995e-28,56.79214740510505,958.8782328142958,56.79432510400446,0.969516135908336
P33897,Homo sapiens Jurkat cells,0.037861891369219,48.45571908407111,1705.2925864027516,48.57143612699287,0.998505974527545
