Protein,species,asymptote,mid,m,Tm,r2
A0AV96,Homo sapiens K562 cell,0.18163287854232368,48.75672435564078,806.0700507065901,50.13212170527677,0.9932599721647825
A0AVF1,Homo sapiens K562 cell,8.305001657661049e-23,48.044873728565975,579.5623866210509,48.045966331068655,0.985424550565152
A0AVT1,Homo sapiens K562 cell,0.05815005902155798,49.56033315117449,1519.1550701873832,49.76510178577406,0.9994818500089409
A0FGR8,Homo sapiens K562 cell,0.1552351202173662,49.244221204966884,743.6926297153093,50.498642390237926,0.995781365065152
A0JLT2,Homo sapiens K562 cell,0.2159812413246103,50.08055015208611,1135.4536381264402,51.38085131249714,0.9908156140811093
A0JNW5,Homo sapiens K562 cell,0.1497177316049802,51.93043060004755,1303.8402702712053,52.68876697905022,0.9950736999049918
A0MZ66,Homo sapiens K562 cell,0.11668835066000974,48.45514754394822,1199.6804260056604,48.98153012456662,0.9966996256264086
A1A4S6,Homo sapiens K562 cell,0.051023228951844246,45.4333181871016,632.60202968208,45.79154213086934,0.9899582863230911
A1A5D9,Homo sapiens K562 cell,0.32239898585076676,50.244105700559125,1177.8638771848935,52.593992867998566,0.9451455254466883
A1L020,Homo sapiens K562 cell,0.2141460899385533,50.62223746298899,1267.6666420301265,51.790927422341326,0.9904125630027526
A1L188,Homo sapiens K562 cell,0.4595179611449435,54.15164419485099,1862.6175661088946,58.48246050746216,0.9231567853779117
A1X283,Homo sapiens K562 cell,0.08068878882668815,47.902544339830676,1566.618078137095,48.171909181488004,0.9958453370719381
A2A274,Homo sapiens K562 cell,0.0686372432829637,50.506956078818796,1841.7102291064095,50.71794185587952,0.9987597483065057
A2A2Q9,Homo sapiens K562 cell,0.03560117846214408,48.820426101731265,761.9308077716067,49.054254774641656,0.9923782685693153
A2A2Y4,Homo sapiens K562 cell,0.1251157724558771,46.084448293823854,1273.492916935482,46.58421640986525,0.9926808046850172
A2A3N6,Homo sapiens K562 cell,0.18061010565487662,51.81352318784578,1538.9231675653705,52.625065624122264,0.9981408884900572
A2ABF8,Homo sapiens K562 cell,0.06010997420796182,48.94916057813621,539.0863428617462,49.53186322758899,0.9774903094459387
A2ABF9,Homo sapiens K562 cell,0.15884844724391506,49.21431814555333,827.8560960752712,50.370961190814995,0.9959277917051934
A2AJT9,Homo sapiens K562 cell,0.17740657749302582,50.85236669267856,1081.9794346034294,51.92541707563918,0.9928459447419385
A2RRP1,Homo sapiens K562 cell,0.09496359975529399,48.351488296499696,1220.6510250389413,48.76485406260334,0.9069770272566043
A2RTX5,Homo sapiens K562 cell,0.0916230638009799,50.99229780820408,1230.7848938129441,51.43463145320861,0.9501743192957686
A2RUC4,Homo sapiens K562 cell,0.11448981253649908,52.35899268013963,1546.035853817805,52.82967670758417,0.9989024972977447
A2RUR9,Homo sapiens K562 cell,0.1201192131242988,48.99356793440742,1881.3186940526139,49.36632649131529,0.9385383753221335
A2VCL2,Homo sapiens K562 cell,0.29118718796891646,53.795710173568864,2022.2448272858296,55.087856131194805,0.9440091908391995
A2VDF0,Homo sapiens K562 cell,0.37917088504302887,53.07843044695242,1396.2940005438188,56.123490659933516,0.9919525120734957
A3KMH1,Homo sapiens K562 cell,0.1341625372773364,49.23343543462223,849.8732243189473,50.1473022633728,0.9952761738526615
A3KN83,Homo sapiens K562 cell,0.045160465445892334,50.15799218165002,1448.759005451777,50.33223244687086,0.9976573343911729
A4D104,Homo sapiens K562 cell,0.30320812655528306,51.6914571609714,1694.4643065112034,53.23187549761265,0.9862018130707152
A4D1E1,Homo sapiens K562 cell,0.1840041266705256,49.776054712644886,838.0252066292499,51.17941135513051,0.9680109876658232
A4D1E9,Homo sapiens K562 cell,0.10357099665832614,48.295655523203905,1098.023855168476,48.79976846964693,0.9913166294676812
A4D1F6,Homo sapiens K562 cell,0.25072072313448673,50.664668336015396,1285.0843030011592,52.10384996879031,0.9976222156359669
A4D1P6,Homo sapiens K562 cell,0.12310308778803324,48.20093026898638,1053.9412772920398,48.83778547246634,0.9960151466848913
A4D212,Homo sapiens K562 cell,0.019673829562256877,47.35989066847879,534.702076347531,47.53463560642174,0.991904077397753
A4D2H0,Homo sapiens K562 cell,0.05301333631318303,47.88081968358808,2022.7893191601358,48.00904947364563,0.9959478504280838
A4D2P6,Homo sapiens K562 cell,0.17655216250274272,50.388937290802765,1739.7600430155217,51.036696987436706,0.9651293255613652
A4GXA9,Homo sapiens K562 cell,0.18061265401556156,52.029824941745616,1248.626659049178,53.02168844403553,0.9441854297045906
A5D8V6,Homo sapiens K562 cell,0.1010864262894764,49.80464069937586,1207.9295830835913,50.28373330466935,0.9987280755306752
A5PL33,Homo sapiens K562 cell,0.023455955001796765,48.53208144211421,397.84626503879366,48.82133617614656,0.9719581404637939
A5YKK6,Homo sapiens K562 cell,0.05707436953542065,48.82886685069261,1011.3077466511556,49.120826164574794,0.9971328558799187
A6NCE7,Homo sapiens K562 cell,0.1277758734845057,52.11969969058492,1559.2166590184186,52.65105949415818,0.9926648711338442
A6NCM1,Homo sapiens K562 cell,0.11464305483088195,50.2078581854328,1095.4231906549608,50.82009400666023,0.9417922116584814
A6NDK9,Homo sapiens K562 cell,0.15580282732789386,53.47458387738729,1268.3676062451702,54.343783978713155,0.9277217309173856
A6NDU8,Homo sapiens K562 cell,0.0518803035524994,48.64548810954713,1512.8305521677462,48.819862174377455,0.9928536776319823
A6NE01,Homo sapiens K562 cell,0.3909807078207894,52.93051051084811,1681.669972883642,55.64067446139734,0.9808950335304584
A6NE52,Homo sapiens K562 cell,0.28913595348356297,53.09674823774157,1578.5020463525138,54.710033122126795,0.9789643596754343
A6NED2,Homo sapiens K562 cell,0.12085473211067538,52.33114115919428,1543.7302248924568,52.83235160991589,0.9975102384734567
A6NEM2,Homo sapiens K562 cell,0.10286587023505642,51.34353865640206,1037.5255605723207,51.93735409261296,0.9946266344190963
A6NEQ2,Homo sapiens K562 cell,0.47455836078381963,52.87521162317672,943.5710463616381,63.4976737553448,0.9527248307553825
A6NFD8,Homo sapiens K562 cell,0.40425872602503504,51.346615816300215,1047.051865458037,55.88942853618851,0.9943411883197409
A6NFI3,Homo sapiens K562 cell,0.07979287017023097,48.27421530320834,822.0457865883707,48.77743688628236,0.997453229055086
A6NFM0,Homo sapiens K562 cell,0.16826188410437387,48.81439857223602,919.5221247585977,49.90550015482111,0.9948070930117329
A6NFQ2,Homo sapiens K562 cell,0.12148939388331982,46.85406002756238,903.7610936835707,47.55189853721534,0.9943798585053526
A6NFV8,Homo sapiens K562 cell,0.24166933814624622,53.41994310355587,1602.3484523347634,54.645366404051146,0.9707393694145983
A6NFY7,Homo sapiens K562 cell,0.14290899445519392,51.94160779754166,2083.489703032385,52.402993991021624,0.9817643608374902
A6NH21,Homo sapiens K562 cell,0.02921877267138957,48.75599834268641,608.5622926812543,48.99249009179977,0.9786974381500382
A6NHB5,Homo sapiens K562 cell,0.21835505448395556,47.787233794325196,631.5125282491791,49.95905149081275,0.9840092857910487
A6NHL2,Homo sapiens K562 cell,0.17272414612535752,52.46410806227015,1068.7037600030894,53.59235198973664,0.9852845651941944
A6NHR9,Homo sapiens K562 cell,0.08434267746674567,46.02419282961616,888.5223151853664,46.47912462400987,0.9892203091823274
A6NHX0,Homo sapiens K562 cell,0.44134616619675127,52.41307902361276,1638.8362615754527,56.31510139350037,0.9932977395725776
A6NHY2,Homo sapiens K562 cell,0.2297168832361093,54.264042614280406,1462.1826924149611,55.55343608181004,0.9645126393905789
A6NIH7,Homo sapiens K562 cell,0.11928643279037665,48.670286728167,1059.6788778373968,49.29881043547614,0.998002785002408
A6NIW2,Homo sapiens K562 cell,0.12321214687623878,49.345262904869905,965.285067144299,50.07313226335195,0.9960923924352265
A6NJ78,Homo sapiens K562 cell,0.11522989308910657,47.108679245231116,1023.9454934174621,47.69284626884293,0.9950389072257855
A6NJZ7,Homo sapiens K562 cell,0.2639413568802402,52.109546717955205,4050.291936750098,52.67183346236856,0.9630283007394799
A6NK02,Homo sapiens K562 cell,0.28947427292302935,52.59398739506067,1799.621187279596,53.96264337873258,0.9558223028492043
A6NK58,Homo sapiens K562 cell,0.323511764494345,53.420604815746124,1579.4042134004294,55.4049585751403,0.9885363037878626
A6NKC9,Homo sapiens K562 cell,2.852460709060249e-27,49.641774172499815,1421.6275424508776,49.644545135276445,0.9651719624539068
A6NKD9,Homo sapiens K562 cell,0.1301286713782443,49.219328723036114,751.2131439316638,50.218770877034586,0.99017151374779
A6NKF1,Homo sapiens K562 cell,0.07528369701217152,47.874101068029496,1050.9281574711615,48.24120390853005,0.9904795733243811
A6NKG5,Homo sapiens K562 cell,0.041604429736897264,48.135032746508585,1659.898839784541,48.26726593648548,0.9929533617455254
A6NKL6,Homo sapiens K562 cell,0.04307804343002107,51.04856329251745,4836.282551484303,51.12096658805399,0.9428329889225316
A6NKP2,Homo sapiens K562 cell,0.07301694893940656,49.85317198757736,617.7713951658457,50.50379400145754,0.9683299929807072
A6NM62,Homo sapiens K562 cell,0.38074541002945106,51.66845990349491,1067.5587594327385,55.550884948843056,0.9913646198801664
A6NMN0,Homo sapiens K562 cell,0.061766187544861004,48.78889399414147,901.7343286740343,49.14435789694257,0.9968270930969396
A6NMQ1,Homo sapiens K562 cell,0.05704879813038828,48.27144737173292,1171.3134897405712,48.522359569599004,0.9952718581029543
A6NMX2,Homo sapiens K562 cell,0.20850112319422448,51.26696118218881,1335.1093735321028,52.37183904974741,0.9856935069978996
A6NMZ7,Homo sapiens K562 cell,0.20905413550094207,52.124740538458035,1039.9177196052974,53.59465052054017,0.9875809486038998
A6NNM8,Homo sapiens K562 cell,0.11916437363847605,49.21025383288602,1282.4893433385741,49.738518747099356,0.9874580187588777
A6NNV3,Homo sapiens K562 cell,0.09325486595219457,45.82427260098698,1074.6395363344802,46.241578151585195,0.9825216749577844
A6NNZ2,Homo sapiens K562 cell,0.24127446762897556,53.483302251669514,1409.9274398170899,54.864109971234335,0.9709739674975949
A6PVN5,Homo sapiens K562 cell,0.2014622768150671,53.7935529998269,2105.178549761092,54.53825106942431,0.9613030890608755
A7E2V4,Homo sapiens K562 cell,0.09691147842398463,47.78834748526561,917.5188191619134,48.34085701347703,0.9965326549881347
A7MD48,Homo sapiens K562 cell,0.17047433859394828,52.53149859748014,1311.2141414927742,53.44057925287515,0.9836641234280745
A8K0B5,Homo sapiens K562 cell,0.10317815824214867,52.4198291093887,1942.3157268632876,52.756070215327654,0.9912499299799222
A8K2U0,Homo sapiens K562 cell,0.13727472620885783,51.31402550710149,1779.605670437178,51.80156074188751,0.9896283868763057
A8K7Q2,Homo sapiens K562 cell,0.0975497744636274,52.75086358269701,801.3273959374245,53.5238319494477,0.9879681923836633
A8K8V0,Homo sapiens K562 cell,0.09017394586550953,50.83243313717679,857.3171822913852,51.447966173908064,0.9749975351448824
A8MPP1,Homo sapiens K562 cell,0.07487960040276913,49.69293093192777,563.1867929810425,50.421759273962635,0.9706168376779363
A8MPS7,Homo sapiens K562 cell,0.10144773335081049,51.50942093071482,1034.5914128019306,52.10203787566614,0.9913475110666142
A8MQ07,Homo sapiens K562 cell,0.18089047747584802,53.43286049409875,1576.244174772705,54.27581655748442,0.9938700557400224
A8MQ11,Homo sapiens K562 cell,0.19687346113069285,52.16098991077345,886.0055372295171,53.75439877745521,0.9320812938235887
A8MT69,Homo sapiens K562 cell,0.1984664228555521,50.375954323330134,1238.7266174862111,51.45327244649974,0.9950365773359804
A8MUM1,Homo sapiens K562 cell,0.056188658829170804,52.304351451465784,1045.1808731569945,52.624692359383126,0.9928595998299652
A8MUS3,Homo sapiens K562 cell,0.20674237974051374,55.097963938803154,3403.4757425747252,55.612653901326304,0.9158714233474935
A8MVJ9,Homo sapiens K562 cell,0.0785479448848663,47.83285097543216,837.8830957324641,48.312600188867926,0.9755134846106317
A8MVX0,Homo sapiens K562 cell,0.22935419662598522,51.48267531060473,1358.2886417966768,52.72603577745283,0.9943236277719651
A8MW92,Homo sapiens K562 cell,0.10780471749672775,48.764158177542335,576.2462402359904,49.792594904609764,0.9934949858211832
A8MW99,Homo sapiens K562 cell,0.14429231016341415,54.140799988068466,1962.1343231606288,54.6682980063744,0.9906807439893025
A8MWD9,Homo sapiens K562 cell,0.3253520467036758,52.994015212793386,1620.2517022125658,54.8955160001513,0.98561193863157
A8MWY0,Homo sapiens K562 cell,0.232341899429209,52.5935131458573,1699.8146486855244,53.653668107506455,0.9765262553589935
A8MX76,Homo sapiens K562 cell,0.2583582907106517,50.775790851493284,1645.0510838273078,51.94694164634465,0.9823922877383153
A8MXP9,Homo sapiens K562 cell,0.07993288141453664,45.130405737301565,767.0727273759209,45.606273075071826,0.9930882491839947
A8MXV4,Homo sapiens K562 cell,0.13917099748577869,52.53925384440644,1932.9829391207036,53.01028068289334,0.9936098448588664
A8MYB1,Homo sapiens K562 cell,6.462348535570529e-26,50.93024321217818,1409.00080543598,50.930125002578606,0.9966505918142422
A8MYK1,Homo sapiens K562 cell,0.07691205933195629,49.766414133494216,1153.758491637713,50.13332902060727,0.9972297465173366
A9Z1Z3,Homo sapiens K562 cell,0.37821234025728767,54.45041081907766,2766.5027745133657,56.00978609818012,0.9330122363024325
B0AZT5,Homo sapiens K562 cell,0.11725366213633434,52.233020304217064,1461.3734259698247,52.74500955098062,0.9960106152312772
B0I1T2,Homo sapiens K562 cell,0.1399965070660868,45.90697082244373,1017.797646803004,46.61077637111065,0.9321665457747016
B0QY89,Homo sapiens K562 cell,0.013566453490963736,50.49641554706236,1091.2103832291093,50.565878487807566,0.9965917348478817
B0QY95,Homo sapiens K562 cell,0.021250090948504132,51.64259018397802,890.2085788205009,51.77615099865689,0.9839680114404613
B0QYD3,Homo sapiens K562 cell,0.10954479706572094,48.65877658350042,1226.6727234650587,49.14887642267804,0.9932522832270028
B0QYN7,Homo sapiens K562 cell,0.03905945560214826,50.93542429311046,1270.7611897843683,51.10613241961472,0.9909543736573456
B0QYS7,Homo sapiens K562 cell,0.017987787351451276,50.79175320775783,514.7526133961308,50.97646946852739,0.967026624261431
B0QZ18,Homo sapiens K562 cell,0.055445006213679364,51.18080881685878,1559.16768232056,51.38924027296452,0.9991312690157829
B0QZ40,Homo sapiens K562 cell,0.10979969203561545,50.03829483711376,921.2437647699496,50.7288056554433,0.9954408502304829
B0YIW6,Homo sapiens K562 cell,0.056299012751887346,51.163858827611705,1678.4012359409962,51.36176764145616,0.9937094814946539
B1AHC4,Homo sapiens K562 cell,0.3231136524404388,47.449553422019264,1053.7050665700651,49.798222268972815,0.9782036302419751
B1AHD1,Homo sapiens K562 cell,0.3602113496379575,51.684465022589976,1382.9675751390282,54.30047220962621,0.9913760852009134
B1AHD3,Homo sapiens K562 cell,0.3989004588224317,53.76523915206963,1927.845126650204,56.32010232576672,0.9733221357654709
B1AJZ9,Homo sapiens K562 cell,0.30094920601115427,52.85130260380862,1847.1887748371148,54.31543167118286,0.9718080979958666
B1AK44,Homo sapiens K562 cell,0.11375454792805025,47.890296179283254,948.9972937085058,48.53376456819933,0.996392107053774
B1AK53,Homo sapiens K562 cell,0.1866106808380926,49.60307884159733,814.5647189597587,51.058777569043485,0.9965928276351522
B1AKJ5,Homo sapiens K562 cell,0.04361521734923259,50.08255777438611,1631.462099954074,50.23250678223401,0.9995376974906074
B1AKR6,Homo sapiens K562 cell,0.4470632521173678,51.849102854135005,1511.707005129531,56.20788737189124,0.9993355272539286
B1AKZ5,Homo sapiens K562 cell,0.18644282127978368,50.062815983640206,1321.2510111149472,50.96589601057227,0.9872958656023976
B1AM27,Homo sapiens K562 cell,0.10965867289931482,48.93732588590603,794.2951327181618,49.703099539916984,0.9977739605360069
B1ANH6,Homo sapiens K562 cell,0.0483491938944152,48.295838767735056,1379.0780954095064,48.47765850802074,0.9959672991770354
B1AP13,Homo sapiens K562 cell,0.24389262206922843,48.32489084848104,480.20312753697016,51.82029335599073,0.9863984270134839
B1AP22,Homo sapiens K562 cell,0.17895014316495178,52.70529301901646,2381.183371191807,53.251859342239015,0.9322554204766723
B1AQP5,Homo sapiens K562 cell,0.2734393993184985,52.19245428480977,7022.4133870813575,52.610618452206644,0.9664532390925725
B2RTY4,Homo sapiens K562 cell,0.13751436192483132,49.49204712834788,936.0797753682502,50.36012956518757,0.9890445851640386
B2RXH2,Homo sapiens K562 cell,0.035183425172906777,49.831952062871444,794.1091527931577,50.0630592547147,0.9811352297107214
B3KS98,Homo sapiens K562 cell,0.06097899925984308,48.35494147540501,1137.4949800679165,48.63109021090387,0.9968233169193598
B3KSH1,Homo sapiens K562 cell,0.06638261216598033,48.22669294490023,1131.3863732830769,48.53044340797803,0.9981192759529004
B3KSQ1,Homo sapiens K562 cell,0.18184939392596905,51.10117598772036,2119.2734326180976,51.68421899528681,0.9971579364690103
