accession,Tm,ogt
A0A3B3IS91,46.26717232891177,37.0
A0AVK6,41.47504947229305,37.0
A0AVT1,49.70331005381552,37.0
A0FGR8,53.58978157315154,37.0
A0JNW5,53.50552186756831,37.0
A0MZ66,47.65849926671216,37.0
A0PK00,55.02865891942019,37.0
A1A4S6,48.22293395455331,37.0
A1A5C7,59.5611904877709,37.0
A1L0T0,56.52769678974728,37.0
A1L188,59.589395192477454,37.0
A1X283,46.91571296550824,37.0
A2A3K4,43.06179997649187,37.0
A2RRP1,45.0829590471701,37.0
A2RTX5,47.61730264762687,37.0
A2RUC4,54.38121571687821,37.0
A2RUS2,46.98939440196184,37.0
A2VDF0,60.94057983858606,37.0
A2VDJ0,45.91663800912795,37.0
A3KMH1,49.29358436763513,37.0
A3KN83,49.7038812855452,37.0
A4D161,51.14503418608378,37.0
A4D1E9,45.52035113848184,37.0
A4D1P6,45.75183055940117,37.0
A4D1U4,54.95943291241347,37.0
A5D8V6,49.66827328339102,37.0
A5PLN9,47.313327578827824,37.0
A5YKK6,48.98036534475383,37.0
A6NC98,44.779598173072735,37.0
A6NCE7,52.35914401040552,37.0
A6NDG6,59.05170604994999,37.0
A6NDU8,48.72946180985957,37.0
A6NED2,53.32685718310053,37.0
A6NFY4,52.25831565553288,37.0
A6NHL2,55.815444418163565,37.0
A6NHX0,57.54809311084498,37.0
A6NIH7,50.29255603190316,37.0
A6NJ78,48.25464450750688,37.0
A6NKF1,47.68593519757286,37.0
A6NNL5,50.6047616182235,37.0
A6QL63,49.35619495713576,37.0
A7KAX9,53.02288790591599,37.0
A8K0Z3,50.38750235508188,37.0
A8MPS7,53.5296138982118,37.0
A8MVW0,54.4379125154836,37.0
A9UHW6,52.51038342661044,37.0
B0I1T2,47.30063103098605,37.0
B0YJ81,54.51610351184198,37.0
B2RTY4,44.573467165990266,37.0
B7ZAP0,50.36794453019246,37.0
B7ZAQ6,52.52461783008954,37.0
C0HLS1,44.13696512627695,37.0
O00115,61.972129666867794,37.0
O00116,52.94553972945411,37.0
O00139,49.64437622187178,37.0
O00142,56.2725720730588,37.0
O00148,47.27869709101768,37.0
O00151,55.89396860274516,37.0
O00154,60.612400632345896,37.0
O00161,60.78230543086576,37.0
O00165,47.24410582899294,37.0
O00178,49.974798844549404,37.0
O00182,50.77754305059598,37.0
O00186,47.282073683525326,37.0
O00193,63.10795019183082,37.0
O00203,49.51928025985398,37.0
O00214,49.277850831409694,37.0
O00217,53.15750197083245,37.0
O00221,48.43659237127999,37.0
O00231,49.68216735287309,37.0
O00232,51.95588782443585,37.0
O00233,57.23974530822343,37.0
O00237,52.29563370157816,37.0
O00244,57.78459437713897,37.0
O00255,43.789868660351566,37.0
O00258,59.367229807758456,37.0
O00264,57.07439680508537,37.0
O00267,49.86647141209057,37.0
O00268,48.88362984150688,37.0
O00273,55.66166832840676,37.0
O00299,51.849031210419085,37.0
O00303,46.64698777893541,37.0
O00311,41.35032800416753,37.0
O00329,49.8547557714213,37.0
O00330,57.55988851705966,37.0
O00391,56.91674073511684,37.0
O00399,53.59952912509949,37.0
O00400,59.10223348396045,37.0
O00401,52.1698934992608,37.0
O00410,53.648079031252486,37.0
O00411,45.60194288826611,37.0
O00418,45.49282894870705,37.0
O00425,48.83795314223476,37.0
O00429,51.38053149379729,37.0
O00442,53.34788471113622,37.0
O00443,45.73648293382137,37.0
O00459,46.89350560309068,37.0
O00462,55.866683425361394,37.0
O00463,45.50231933506561,37.0
