Protein,species,asymptote,mid,m,Tm,r2,ogt
A0AVT1,Homo sapiens K562 cell,0.05815005902155798,49.56033315117449,1519.1550701873832,49.76510178577406,0.9994818500089409,37
A0AVT1,Homo sapiens K562 cells,0.0264745681397837,49.407640844315765,1914.996659270064,49.48519610868036,0.9990508468308478,37
A0FGR8,Homo sapiens K562 cell,0.1552351202173662,49.244221204966884,743.6926297153093,50.498642390237926,0.995781365065152,37
A0FGR8,Homo sapiens K562 cells,1.8019702009528394e-20,55.21998362474035,939.7660020055944,55.22383396803217,0.965854741541722,37
A0JNW5,Homo sapiens K562 cell,0.1497177316049802,51.93043060004755,1303.8402702712053,52.68876697905022,0.9950736999049918,37
A0JNW5,Homo sapiens K562 cells,0.0070435483081934,52.79554875672213,1310.5821421930018,52.82695283842798,0.9918602421322876,37
A0MZ66,Homo sapiens K562 cell,0.11668835066000974,48.45514754394822,1199.6804260056604,48.98153012456662,0.9966996256264086,37
A0MZ66,Homo sapiens K562 cells,0.0278498384952345,47.329052483425535,1563.1924083759104,47.42042019723925,0.9985784308473395,37
A2VDF0,Homo sapiens K562 cell,0.37917088504302887,53.07843044695242,1396.2940005438188,56.123490659933516,0.9919525120734957,37
A2VDF0,Homo sapiens K562 cells,0.1178423370216707,54.94470129802768,710.2574937181037,56.11494973373698,0.985070492575028,37
A3KN83,Homo sapiens K562 cell,0.045160465445892334,50.15799218165002,1448.759005451777,50.33223244687086,0.9976573343911729,37
A3KN83,Homo sapiens K562 cells,0.0124656720483731,50.10204822309012,1371.1066036214484,50.15340656286065,0.9904478726709364,37
A4D1P6,Homo sapiens K562 cell,0.12310308778803324,48.20093026898638,1053.9412772920398,48.83778547246634,0.9960151466848913,37
A4D1P6,Homo sapiens K562 cells,0.0787061206407174,47.03954218603363,1803.9441262574364,47.2658462073246,0.9924854334839844,37
A5D8V6,Homo sapiens K562 cell,0.1010864262894764,49.80464069937586,1207.9295830835913,50.28373330466935,0.9987280755306752,37
A5D8V6,Homo sapiens K562 cells,0.0065070975589663,48.59174979984357,969.4170500093852,48.62797244591073,0.9961122755476188,37
A5YKK6,Homo sapiens K562 cell,0.05707436953542065,48.82886685069261,1011.3077466511556,49.120826164574794,0.9971328558799187,37
A5YKK6,Homo sapiens K562 cells,0.0268517726653077,49.51353185828449,1685.0425902303057,49.59924683223241,0.9971664868876644,37
A6NDU8,Homo sapiens K562 cell,0.0518803035524994,48.64548810954713,1512.8305521677462,48.819862174377455,0.9928536776319823,37
A6NDU8,Homo sapiens K562 cells,0.0077778203870882,48.16978544306333,1405.561168598172,48.202148717746496,0.9960127379258276,37
A6NED2,Homo sapiens K562 cell,0.12085473211067538,52.33114115919428,1543.7302248924568,52.83235160991589,0.9975102384734567,37
A6NED2,Homo sapiens K562 cells,8.321231919816178e-16,52.4994020565375,986.7137655026849,52.50414185365892,0.988367349934917,37
A6NFQ2,Homo sapiens K562 cell,0.12148939388331982,46.85406002756238,903.7610936835707,47.55189853721534,0.9943798585053526,37
A6NFQ2,Homo sapiens K562 cells,0.0355720094128307,44.02826717257226,1369.5443542178666,44.140446246041606,0.9983768057412792,37
A6NHL2,Homo sapiens K562 cell,0.17272414612535752,52.46410806227015,1068.7037600030894,53.59235198973664,0.9852845651941944,37
A6NHL2,Homo sapiens K562 cells,1.8848207336108255e-20,52.65333469945963,704.606629802428,52.65725026105167,0.9783771620046416,37
A6NHR9,Homo sapiens K562 cell,0.08434267746674567,46.02419282961616,888.5223151853664,46.47912462400987,0.9892203091823274,37
A6NHR9,Homo sapiens K562 cells,0.0751044024931274,46.04441179511609,3668.283198387072,46.1689939158942,0.9947750979015718,37
A6NHX0,Homo sapiens K562 cell,0.44134616619675127,52.41307902361276,1638.8362615754527,56.31510139350037,0.9932977395725776,37
A6NHX0,Homo sapiens K562 cells,1.1055973750723624e-26,60.71555863976541,1500.8450849896112,60.71767667860202,0.9554873612115552,37
A6NIH7,Homo sapiens K562 cell,0.11928643279037665,48.670286728167,1059.6788778373968,49.29881043547614,0.998002785002408,37
A6NIH7,Homo sapiens K562 cells,0.0589394602646333,48.71730822401264,1203.419675720126,48.966469638332825,0.9977013158333752,37
A8MPS7,Homo sapiens K562 cell,0.10144773335081049,51.50942093071482,1034.5914128019306,52.10203787566614,0.9913475110666142,37
A8MPS7,Homo sapiens K562 cells,3.500045240119065e-25,51.17073312306373,888.4835497023602,51.17437350971132,0.99497402063114,37
A8MXV4,Homo sapiens K562 cell,0.13917099748577869,52.53925384440644,1932.9829391207036,53.01028068289334,0.9936098448588664,37
A8MXV4,Homo sapiens K562 cells,0.0446752021190673,53.89837449218194,2542.3515869474263,54.0060849593998,0.9773259276969604,37
O00116,Homo sapiens K562 cell,0.17461953748613018,52.40235121854843,3466.600687553647,52.76109104805722,0.9239353208516417,37
O00116,Homo sapiens K562 cells,0.0842354852839922,52.72335006834589,9999.99999999265,52.723570833961226,0.9914946656035896,37
O00139,Homo sapiens K562 cell,0.06964377566811707,49.623301840698225,1467.2438619184572,49.878483302752855,0.999549462451035,37
O00139,Homo sapiens K562 cells,0.0233133100453556,48.7293970043199,1379.6038325818308,48.8132014231694,0.998773964546438,37
O00148,Homo sapiens K562 cell,0.048350268078397485,47.05895802445769,1109.110184418766,47.271263468322466,0.9918115730427183,37
O00148,Homo sapiens K562 cells,0.0329230489973728,46.64731600405404,1386.717258317539,46.75718101432663,0.9986463077599602,37
O00159,Homo sapiens K562 cell,0.0881793056077606,48.4087163017094,1282.1018442944048,48.77193900690831,0.9957892730279793,37
O00159,Homo sapiens K562 cells,0.0783142329986177,49.022106285807865,1322.2896701004609,49.34502373099565,0.9822667083885548,37
O00160,Homo sapiens K562 cell,0.10153361838242363,47.69394792487102,994.6446981309522,48.22785516827553,0.9852524495650968,37
O00160,Homo sapiens K562 cells,0.0449739854022196,47.41503918848447,2251.6821532909585,47.51975712986547,0.9964590168283384,37
O00170,Homo sapiens K562 cell,0.043480463501344754,48.924764378153185,1081.9071201958309,49.13160547038464,0.9995604248769391,37
O00170,Homo sapiens K562 cells,0.0097446087968877,48.36770242010024,1536.1589732025018,48.405054729406174,0.9987198485301668,37
O00178,Homo sapiens K562 cell,0.1107324330530428,50.608553549364984,1382.92015716417,51.08155911118608,0.998811887476763,37
O00178,Homo sapiens K562 cells,0.0102829739514467,50.302185503309765,1462.0338681465898,50.3452126581976,0.9991637423002871,37
O00186,Homo sapiens K562 cell,0.1563549472752483,50.43085165902016,1137.9594034322224,51.29651579397795,0.987667617205041,37
O00186,Homo sapiens K562 cells,0.0205090347251046,46.784865657005945,1331.9301385202414,46.85450130669849,0.9976011353884664,37
O00203,Homo sapiens K562 cell,0.06629113589809602,49.63111949279786,1410.547073124255,49.88279559714504,0.9990766663733801,37
O00203,Homo sapiens K562 cells,0.0126333561218968,49.06339296695041,1579.7986011440903,49.10721425158043,0.9979681901117936,37
O00221,Homo sapiens K562 cell,0.11738231471426266,49.40417853575749,1175.3110343140065,49.96727174764351,0.9963000147580096,37
O00221,Homo sapiens K562 cells,0.0787805951581108,49.11424042580165,1173.597856322162,49.479555065004895,0.99570058556618,37
O00231,Homo sapiens K562 cell,0.05435369003882862,52.041805449030434,1089.709690115872,52.337110482116806,0.9954066551926093,37
O00231,Homo sapiens K562 cells,3.831299708153342e-25,52.56392839016352,1154.2216246556072,52.56811728852293,0.9960920898639356,37
O00232,Homo sapiens K562 cell,0.02077891896421901,51.72517555262335,939.0512563730157,51.84845034517282,0.9957560422639796,37
O00232,Homo sapiens K562 cells,1.3150465672732683e-22,51.84182098275729,1041.5751926376047,51.84323032767816,0.9963782428820024,37
O00267,Homo sapiens K562 cell,0.07746170427774215,49.929577463194796,1377.7601567097004,50.2460199322502,0.9994839830238967,37
O00267,Homo sapiens K562 cells,0.0343826018353947,49.49052800503079,1964.861351779948,49.58567782217101,0.9987894850198104,37
O00273,Homo sapiens K562 cell,0.3749422758178783,52.67469223543745,1724.8912438618265,55.00294502424264,0.9975081884816136,37
