accession,Tm,ogt
A0A3B3IS91,49.880138225875335,37.0
A0AV96,50.13212170527677,37.0
A0AVF1,48.045966331068655,37.0
A0AVT1,49.62514894722721,37.0
A0FGR8,52.86123817913504,37.0
A0JLT2,51.38085131249714,37.0
A0JNW5,52.7578599087391,37.0
A0MZ66,48.200975160902935,37.0
A1A4S6,45.79154213086934,37.0
A1A5D9,52.593992867998566,37.0
A1L020,51.790927422341326,37.0
A1L188,58.48246050746216,37.0
A1X283,48.171909181488004,37.0
A2A274,50.71794185587952,37.0
A2A2Q9,49.054254774641656,37.0
A2A2Y4,46.58421640986525,37.0
A2A3N6,52.625065624122264,37.0
A2ABF8,49.53186322758899,37.0
A2ABF9,50.370961190814995,37.0
A2AJT9,51.92541707563918,37.0
A2RRP1,48.76485406260334,37.0
A2RTX5,51.43463145320861,37.0
A2RUC4,52.82967670758417,37.0
A2RUR9,49.36632649131529,37.0
A2VCL2,55.087856131194805,37.0
A2VDF0,56.11922019683524,37.0
A3KMH1,50.1473022633728,37.0
A3KN83,50.24281950486576,37.0
A4D104,53.23187549761265,37.0
A4D1E1,51.17941135513051,37.0
A4D1E9,48.79976846964693,37.0
A4D1F6,52.10384996879031,37.0
A4D1P6,48.05181583989547,37.0
A4D212,47.53463560642174,37.0
A4D2H0,48.00904947364563,37.0
A4D2P6,51.036696987436706,37.0
A4GXA9,53.02168844403553,37.0
A5D8V6,49.455852875290034,37.0
A5PL33,48.82133617614656,37.0
A5PLN9,48.36798692304369,37.0
A5YKK6,49.3600364984036,37.0
A6NCE7,52.65105949415818,37.0
A6NCM1,50.82009400666023,37.0
A6NDG6,59.73160273792883,37.0
A6NDK9,54.343783978713155,37.0
A6NDU8,48.51100544606197,37.0
A6NE01,55.64067446139734,37.0
A6NE52,54.710033122126795,37.0
A6NED2,52.668246731787406,37.0
A6NEM2,51.93735409261296,37.0
A6NEQ2,63.4976737553448,37.0
A6NFD8,55.88942853618851,37.0
A6NFI3,48.77743688628236,37.0
A6NFM0,49.90550015482111,37.0
A6NFQ2,45.84617239162847,37.0
A6NFV8,54.645366404051146,37.0
A6NFY7,52.402993991021624,37.0
A6NGB9,55.51991490765703,37.0
A6NH21,48.99249009179977,37.0
A6NHB5,49.95905149081275,37.0
A6NHL2,53.12480112539416,37.0
A6NHR9,46.32405926995203,37.0
A6NHX0,58.516389036051194,37.0
A6NHY2,55.55343608181004,37.0
A6NIH7,49.13264003690448,37.0
A6NIW2,50.07313226335195,37.0
A6NJ78,47.69284626884293,37.0
A6NJZ7,52.67183346236856,37.0
A6NK02,53.96264337873258,37.0
A6NK58,55.4049585751403,37.0
A6NKC9,49.644545135276445,37.0
A6NKD9,50.218770877034586,37.0
A6NKF1,48.24120390853005,37.0
A6NKG5,48.26726593648548,37.0
A6NKL6,51.12096658805399,37.0
A6NKP2,50.50379400145754,37.0
A6NM28,50.38176431740511,37.0
A6NM62,55.550884948843056,37.0
A6NMN0,49.14435789694257,37.0
A6NMQ1,48.522359569599004,37.0
A6NMX2,52.37183904974741,37.0
A6NMZ7,53.59465052054017,37.0
A6NNM8,49.738518747099356,37.0
A6NNV3,46.241578151585195,37.0
A6NNZ2,54.864109971234335,37.0
A6PVN5,54.53825106942431,37.0
A7E2V4,48.34085701347703,37.0
A7MD48,53.44057925287515,37.0
A8K0B5,52.756070215327654,37.0
A8K2U0,51.80156074188751,37.0
A8K7Q2,53.5238319494477,37.0
A8K8V0,51.447966173908064,37.0
A8MPP1,50.421759273962635,37.0
A8MPS7,51.63820569268873,37.0
A8MQ07,54.27581655748442,37.0
A8MQ11,53.75439877745521,37.0
A8MT69,51.45327244649974,37.0
A8MUM1,52.624692359383126,37.0
A8MUS3,55.612653901326304,37.0
A8MVJ9,48.312600188867926,37.0
A8MVX0,52.72603577745283,37.0
A8MW92,49.792594904609764,37.0
A8MW99,54.6682980063744,37.0
A8MWD9,54.8955160001513,37.0
A8MWY0,53.653668107506455,37.0
A8MX76,51.94694164634465,37.0
A8MXP9,45.606273075071826,37.0
A8MXV4,53.50818282114657,37.0
A8MYB1,50.930125002578606,37.0
A8MYK1,50.13332902060727,37.0
A9UHW6,51.73082649079861,37.0
A9Z1Z3,56.00978609818012,37.0
B0AZT5,52.74500955098062,37.0
B0I1T2,46.61077637111065,37.0
B0QY89,50.565878487807566,37.0
B0QY95,51.77615099865689,37.0
B0QYD3,49.14887642267804,37.0
B0QYN7,51.10613241961472,37.0
B0QYS7,50.97646946852739,37.0
B0QZ18,51.38924027296452,37.0
B0QZ40,50.7288056554433,37.0
B0YIW6,51.36176764145616,37.0
B1AHC4,49.798222268972815,37.0
B1AHD1,54.30047220962621,37.0
B1AHD3,56.32010232576672,37.0
B1AJZ9,54.31543167118286,37.0
B1AK44,48.53376456819933,37.0
B1AK53,51.058777569043485,37.0
B1AKJ5,50.23250678223401,37.0
B1AKR6,56.20788737189124,37.0
B1AKZ5,50.96589601057227,37.0
B1AM27,49.703099539916984,37.0
B1ANH6,48.47765850802074,37.0
B1AP13,51.82029335599073,37.0
B1AP22,53.251859342239015,37.0
B1AQP5,52.610618452206644,37.0
B2RTY4,50.36012956518757,37.0
B2RXH2,50.0630592547147,37.0
B3KS98,48.63109021090387,37.0
B3KSH1,48.53044340797803,37.0
B3KSQ1,51.68421899528681,37.0
B3KTM8,49.676754079492184,37.0
B3KVN2,51.23378666870839,37.0
B3KXW5,49.18047969122598,37.0
B3SHH9,54.28804096900514,37.0
B4DDJ7,53.99973259286279,37.0
B4DI41,50.45879887707513,37.0
B4DJ62,53.7144119114192,37.0
B4DJL6,49.93103088368971,37.0
B4DMR5,56.51856607680119,37.0
B4DNL7,54.9756080592027,37.0
B4DR52,49.77399114952967,37.0
B4DRL5,49.30749954009342,37.0
B4DRM7,47.567016433546264,37.0
B4DSS8,48.49527906444554,37.0
B4DT31,53.54527006693013,37.0
B4DUT8,48.48895053541971,37.0
B4DXA9,51.749102486929495,37.0
B4DXP9,53.083529964768836,37.0
B4DXR9,50.404113562623614,37.0
B4DZH6,51.065857975919755,37.0
B4E022,53.172837366169624,37.0
B4E0T2,47.81854591593313,37.0
B4E0Y9,48.9432242865071,37.0
B5MBW9,52.933889953086734,37.0
B5MBX0,50.99299206308208,37.0
B5MBZ0,49.42605792456517,37.0
B5MBZ8,52.10715972955185,37.0
B5MC59,52.85769396782489,37.0
B5MCG9,49.42436608154751,37.0
B5MCH7,49.999288269131114,37.0
B5MCP4,58.42049457438908,37.0
B5MCX3,55.97764662575303,37.0
B5MDF5,57.6421681677234,37.0
B5MDU6,52.11332075272467,37.0
B5ME19,48.238823855447684,37.0
B5ME49,55.95837469407104,37.0
B5ME97,52.81018026578761,37.0
B7WNH4,56.42338809689054,37.0
B7WPD9,56.33777288427298,37.0
B7WPE2,50.45709518053966,37.0
B7WPL0,50.21474673381127,37.0
B7Z1P2,50.72318775009929,37.0
B7Z2A4,51.44100499926727,37.0
B7Z2F4,54.833874518588836,37.0
B7Z2R4,53.44883555994178,37.0
B7Z4W5,56.166647328354166,37.0
B7Z6G2,47.97663682281904,37.0
B7Z6Z4,51.643417022553784,37.0
B7Z9C2,51.22098782029089,37.0
B7ZAP0,50.16187197897856,37.0
B7ZBN5,48.85866652521723,37.0
B7ZC38,48.84146038596144,37.0
B7ZKJ8,53.167856109199526,37.0
B8ZZ84,52.70461416771627,37.0
B8ZZ87,51.99519774000397,37.0
B8ZZ98,54.19268796090892,37.0
B8ZZA8,48.05049570196639,37.0
B8ZZD4,50.81148086567259,37.0
B8ZZN6,50.248542984931234,37.0
B8ZZP9,53.95372666052436,37.0
B8ZZS0,52.35017157131118,37.0
B9EGE7,49.038597519443,37.0
C0HLS1,45.36044859833034,37.0
C1IDX9,50.00066422676166,37.0
C4P0D6,50.768977836120456,37.0
C9J6K1,50.65126378504778,37.0
C9J7E5,50.98209015124852,37.0
C9J7I0,52.59733854489019,37.0
C9JA08,52.21118493555935,37.0
C9JC87,49.56030095101269,37.0
C9JCC6,54.954823450877086,37.0
C9JEH3,53.5979385495388,37.0
C9JEJ2,51.340879957408916,37.0
C9JJ19,49.95007103640916,37.0
C9JJ37,55.607834993318036,37.0
C9JJN9,49.00671191051112,37.0
C9JNU9,48.2565855275211,37.0
C9JTB0,53.931346705093944,37.0
C9JVE2,51.29152427938959,37.0
C9JXA7,51.49029921865646,37.0
C9JYJ0,51.48605649519021,37.0
C9K0W8,50.64563487461504,37.0
D2CFI5,51.08282427846348,37.0
D3YTA9,53.565680923905425,37.0
D4PHA4,54.923443089426115,37.0
D6R9V8,51.65229938340229,37.0
D6RBL4,52.50152869002878,37.0
D6REA1,49.51900221622356,37.0
D6REC4,50.125634163576926,37.0
D6RER5,55.37671335869551,37.0
D6REX3,48.805808539911276,37.0
D6RF23,52.48095211175183,37.0
D6RF62,55.65259031858438,37.0
D6RFG8,54.730272640151405,37.0
D6RFN0,54.829394616753014,37.0
D6RJ07,53.03560759154313,37.0
D6W592,47.24711546367334,37.0
D6W5Y5,53.671666294469986,37.0
E2QRJ6,49.04746409194204,37.0
E5KLJ5,51.28529809572934,37.0
E5KP25,45.27457462493456,37.0
E5RFU2,55.55244744030386,37.0
E5RFY4,51.53452071407281,37.0
E5RJF8,51.46569408999016,37.0
E5RJM6,44.70368107213931,37.0
E5RJZ4,55.76500409022262,37.0
E7EMA9,58.369211080881044,37.0
E7EMK3,59.32481164024413,37.0
E7EN19,50.52673857881952,37.0
E7EN32,44.9248544818939,37.0
E7EP87,49.3039634685877,37.0
E7EPF0,48.56644362926974,37.0
E7EQ34,52.66727239560801,37.0
E7EQ45,48.466512186264325,37.0
E7EQ78,57.455531426267704,37.0
E7EQB3,48.02548231574366,37.0
E7EQS8,50.795686556014466,37.0
E7EQY1,56.859219904625284,37.0
E7EQZ4,47.88266731777847,37.0
E7ER45,55.83460354014135,37.0
E7ERA6,46.35575095767274,37.0
E7ERK9,49.08863738214569,37.0
E7ERS3,53.232035523655384,37.0
E7ES52,56.69269847752318,37.0
E7ESA6,53.057947508443725,37.0
E7ESC6,51.477259082456065,37.0
E7ESC7,49.63920946663079,37.0
E7ESJ3,51.40546879596873,37.0
E7ETA6,51.546727708342466,37.0
E7ETB3,57.798709798237404,37.0
E7ETE0,46.698713443072975,37.0
E7ETU7,49.96595408500459,37.0
E7ETY2,53.5666569687811,37.0
E7EUC7,55.4301428898712,37.0
E7EUJ1,49.63945869511161,37.0
E7EUN2,51.482838979138435,37.0
E7EV46,52.19344597553204,37.0
E7EVC7,53.70866263426853,37.0
E7EW00,51.3264886203495,37.0
E7EW20,51.60329860133356,37.0
E7EW49,49.41610003180779,37.0
E7EWN3,45.11306761907049,37.0
E7EWW0,49.701155711820114,37.0
E7EWW9,51.987811242516344,37.0
E7EX59,55.74654546558998,37.0
E7EX73,47.54659730144791,37.0
E7EX90,48.16873748506479,37.0
E7EXA6,45.18264026822477,37.0
E9PAU2,46.38941791879678,37.0
E9PB61,53.5653372266617,37.0
E9PBQ7,55.051933539725624,37.0
E9PC47,48.91716717239431,37.0
E9PC62,50.312609701406856,37.0
E9PCH4,48.121936477144935,37.0
E9PCR7,50.7897484401849,37.0
E9PCT1,51.5691197369032,37.0
E9PD50,48.426537109835586,37.0
E9PEB9,61.15040928664589,37.0
E9PES4,49.98959039090884,37.0
E9PF32,51.94447126851349,37.0
E9PF82,51.13950883178653,37.0
E9PFD3,53.584650773418396,37.0
E9PFW3,53.09504606515829,37.0
E9PG19,48.027458896801306,37.0
E9PG82,53.802043313730024,37.0
E9PG84,46.752669291125635,37.0
E9PGC8,53.24821961052508,37.0
E9PGK7,53.158857264859016,37.0
E9PGZ4,50.54841528584175,37.0
E9PHG5,54.15297351020197,37.0
E9PHY5,52.905544988265255,37.0
E9PI62,52.59396306257938,37.0
E9PI68,49.610457189759266,37.0
E9PIB1,50.92993902097965,37.0
E9PJ55,47.878707838566875,37.0
E9PJD7,53.124353303995186,37.0
E9PL17,45.65885532024164,37.0
E9PLM6,54.169986277884945,37.0
E9PN70,50.47099332186406,37.0
E9PN81,49.98208523481631,37.0
E9PPN3,49.30961626740438,37.0
E9PQ57,48.273639001648995,37.0
E9PQA6,47.95943259729308,37.0
E9PR30,55.937462889750584,37.0
E9PR47,56.36132621982767,37.0
E9PRG8,56.456599534057816,37.0
E9PRY8,50.50360690220881,37.0
E9PSF4,53.31894431644347,37.0
E9PSH4,47.000201020855684,37.0
F2Z2J1,51.1849067102909,37.0
F2Z2M5,57.64367526971122,37.0
F2Z2U4,48.28925657698736,37.0
F2Z2W7,47.296914795395615,37.0
F2Z2X0,60.69863867643445,37.0
F2Z2X4,52.143689015840756,37.0
F2Z3K0,52.243014320731575,37.0
F5GWE5,53.86075981966447,37.0
F5GWP8,55.0724777369435,37.0
F5GX28,46.42131379008293,37.0
F5GXA0,54.523256667679064,37.0
F5GXD1,50.69208811943373,37.0
F5GXE4,51.611989084705655,37.0
F5GXJ1,54.655964555807,37.0
F5GXV7,50.651995679977844,37.0
F5GY05,48.20885273483334,37.0
F5GY88,50.943073216494994,37.0
F5GYQ1,51.81412773986967,37.0
F5H039,57.21822034245538,37.0
F5H094,51.43927807762033,37.0
F5H0C4,52.81504365022024,37.0
F5H0F9,50.217197799363746,37.0
F5H0R1,46.2551439690028,37.0
F5H189,53.58466378061989,37.0
F5H1Q2,54.85129338555588,37.0
F5H1U9,50.815483210032795,37.0
F5H1Y4,46.40893881928471,37.0
F5H211,48.32057248388603,37.0
F5H269,50.58546825765402,37.0
F5H2X7,53.95083873001372,37.0
F5H385,51.001388616867516,37.0
F5H450,50.019042527426805,37.0
F5H527,50.390277304552065,37.0
F5H5D3,53.66888580100457,37.0
F5H5P2,51.82345658499069,37.0
F5H5R8,48.81227157444151,37.0
F5H619,50.31240863857416,37.0
F5H6I0,51.808802346316114,37.0
F5H6Q1,51.04353839941063,37.0
F5H7Q8,57.18781235723676,37.0
F5H872,53.46454143780196,37.0
F6RH32,51.828721964024126,37.0
F6WH68,49.03913144541363,37.0
F6XEV2,51.74736639529851,37.0
F6XZQ7,51.93775790148094,37.0
