accession,Tm,ogt,species
A0AVF1,48.885179183303,37.0,Homo sapiens
A0AVK6,55.108556133973124,37.0,Homo sapiens
A0AVT1,47.21674923625095,37.0,Homo sapiens
A0FGR8,49.3487666079967,37.0,Homo sapiens
A0JLT2,54.14268340482007,37.0,Homo sapiens
A0JNW5,50.63203844197956,37.0,Homo sapiens
A0MZ66,51.15907889092795,37.0,Homo sapiens
A1A4S6,50.39746129973031,37.0,Homo sapiens
A1A5D9,52.26882369020326,37.0,Homo sapiens
A1IGU5,48.38375722475782,37.0,Homo sapiens
A1L0T0,54.090112435642396,37.0,Homo sapiens
A1L4H1,49.835972284435464,37.0,Homo sapiens
A1XBS5,52.14947921844348,37.0,Homo sapiens
A2A274,47.938901390872374,37.0,Homo sapiens
A2A2Q9,49.1570742007912,37.0,Homo sapiens
A2A3E7,47.31824339210535,37.0,Homo sapiens
A2A3K4,47.60923427375149,37.0,Homo sapiens
A2A3N6,52.2793035900747,37.0,Homo sapiens
A2ABF8,49.39614190368583,37.0,Homo sapiens
A2ABF9,49.68668916464939,37.0,Homo sapiens
A2IDC7,46.0859525374729,37.0,Homo sapiens
A2PYH4,57.823983803902365,37.0,Homo sapiens
A2RRP1,44.25466122180539,37.0,Homo sapiens
A2RTX5,48.72213763882885,37.0,Homo sapiens
A2RU37,49.097735854525354,37.0,Homo sapiens
A2RU67,53.60238871698352,37.0,Homo sapiens
A2RUC4,53.17396607508673,37.0,Homo sapiens
A2VCL2,54.03098312736982,37.0,Homo sapiens
A2VEC9,52.895332638796646,37.0,Homo sapiens
A3KFL1,57.34129225468345,37.0,Homo sapiens
A3KMH1,49.58073033579243,37.0,Homo sapiens
A3KN83,49.11186655847532,37.0,Homo sapiens
A3KN83-3,49.05043362437977,37.0,Homo sapiens
A4D104,56.58364478334627,37.0,Homo sapiens
A4D1E1,55.14825962269753,37.0,Homo sapiens
A4D1E9,45.56515701930531,37.0,Homo sapiens
A4D1P6,51.56361584355738,37.0,Homo sapiens
A4D212,47.426760346454735,37.0,Homo sapiens
A4D250,61.82769064686981,37.0,Homo sapiens
A4D2P6,49.85493679972924,37.0,Homo sapiens
A4D2Q0,51.796464010364865,37.0,Homo sapiens
A4GXA9,50.67725289841973,37.0,Homo sapiens
A5A3E0,51.09986931584438,37.0,Homo sapiens
A5D8V6,51.75820398713624,37.0,Homo sapiens
A5PL33,51.48743038147611,37.0,Homo sapiens
A5YKK6,48.39918499789024,37.0,Homo sapiens
A5YKK6-2,48.963637232042196,37.0,Homo sapiens
A6H8Y1,54.3484334977317,37.0,Homo sapiens
A6H8Z3,48.55434359903835,37.0,Homo sapiens
A6NC57,49.0547792018444,37.0,Homo sapiens
A6NC86,54.766068595005564,37.0,Homo sapiens
A6NC98,53.56286896450878,37.0,Homo sapiens
A6NCC3,52.74670733296225,37.0,Homo sapiens
A6NCE7,52.475329810214205,37.0,Homo sapiens
A6NCM1,53.88319512527862,37.0,Homo sapiens
A6NDK9,51.49684483209322,37.0,Homo sapiens
A6NDU8,49.101297104626504,37.0,Homo sapiens
A6NE52,56.00290140938048,37.0,Homo sapiens
A6NED2,52.52848843340328,37.0,Homo sapiens
A6NEM2,52.041722415647655,37.0,Homo sapiens
A6NFD8,56.19512454844939,37.0,Homo sapiens
A6NFI3,48.78168709542516,37.0,Homo sapiens
A6NFM0,48.208663731573125,37.0,Homo sapiens
A6NFQ2,52.07544207189203,37.0,Homo sapiens
A6NFR9,53.74222285403365,37.0,Homo sapiens
A6NFV8,53.904487453432196,37.0,Homo sapiens
A6NFY7,48.4886297943806,37.0,Homo sapiens
A6NGG8,53.0256373842113,37.0,Homo sapiens
A6NGJ0,53.297893568283214,37.0,Homo sapiens
A6NHB5,50.20209931181926,37.0,Homo sapiens
A6NHC7,56.440698088794136,37.0,Homo sapiens
A6NHJ4,47.353755790965536,37.0,Homo sapiens
A6NHL2,47.953384482945864,37.0,Homo sapiens
A6NHM7,51.642266946833374,37.0,Homo sapiens
A6NHQ4,58.72104456092567,37.0,Homo sapiens
A6NHR9,43.09515316689577,37.0,Homo sapiens
A6NHU9,52.10355242180013,37.0,Homo sapiens
A6NHX0,58.785648810337264,37.0,Homo sapiens
A6NHZ5,49.91044347901762,37.0,Homo sapiens
A6NI28,48.67311382796526,37.0,Homo sapiens
A6NIH7,50.4658557785872,37.0,Homo sapiens
A6NIK2,51.238837033246476,37.0,Homo sapiens
A6NIW2,48.76660335664208,37.0,Homo sapiens
A6NIZ1,53.83911037706248,37.0,Homo sapiens
A6NIZ6,52.89812302698789,37.0,Homo sapiens
A6NJ78,44.613219622760425,37.0,Homo sapiens
A6NJ88,56.27524925170443,37.0,Homo sapiens
A6NK53,56.5535117771521,37.0,Homo sapiens
A6NK58,53.802128747300415,37.0,Homo sapiens
A6NK88,53.090228975693364,37.0,Homo sapiens
A6NKD9,54.297702753246135,37.0,Homo sapiens
A6NKF1,48.0393565256859,37.0,Homo sapiens
A6NKG5,48.96635592010809,37.0,Homo sapiens
A6NKU9,46.30559607657751,37.0,Homo sapiens
A6NKZ2,53.61435068390426,37.0,Homo sapiens
A6NM28,51.723949974130804,37.0,Homo sapiens
A6NMH6,49.9833106734143,37.0,Homo sapiens
A6NMK8,49.78923326127631,37.0,Homo sapiens
A6NMN0,46.73382611722406,37.0,Homo sapiens
A6NMQ1,49.07554809835628,37.0,Homo sapiens
A6NNH0,50.48797663155558,37.0,Homo sapiens
A6PW57,43.21386897048781,37.0,Homo sapiens
A6QL63,51.52419737913497,37.0,Homo sapiens
A6QL64,56.26603318188534,37.0,Homo sapiens
A6QRH7,48.6391323077131,37.0,Homo sapiens
A6ZKI3,48.65868483013746,37.0,Homo sapiens
A7E2Y1,50.303332689377925,37.0,Homo sapiens
A8CG34,54.55047269935496,37.0,Homo sapiens
A8K0B5,51.30245530932464,37.0,Homo sapiens
A8K7Q2,49.89727732576017,37.0,Homo sapiens
A8MPS7,51.53113607204526,37.0,Homo sapiens
A8MQ07,51.94241764344667,37.0,Homo sapiens
A8MRB1,52.07670140275626,37.0,Homo sapiens
A8MT02,56.97207138820189,37.0,Homo sapiens
A8MT69,49.63797900112749,37.0,Homo sapiens
A8MTA8,54.94471022534672,37.0,Homo sapiens
A8MTK3,48.54821838181926,37.0,Homo sapiens
A8MTM1,52.397948683637075,37.0,Homo sapiens
A8MTY0,49.18586582572069,37.0,Homo sapiens
A8MTY9,46.18715610085974,37.0,Homo sapiens
A8MU28,49.53944779165683,37.0,Homo sapiens
A8MUB1,46.69400525070284,37.0,Homo sapiens
A8MUL9,55.33792246511948,37.0,Homo sapiens
A8MUM1,51.90613110084705,37.0,Homo sapiens
A8MVN1,48.981297448947245,37.0,Homo sapiens
A8MVQ8,50.633052711672825,37.0,Homo sapiens
A8MVW0,46.98184771990829,37.0,Homo sapiens
A8MVZ6,47.81564955599419,37.0,Homo sapiens
A8MW95,52.96275856879995,37.0,Homo sapiens
A8MWA6,56.88940687320046,37.0,Homo sapiens
A8MWD9,53.474908827086665,37.0,Homo sapiens
A8MXB7,48.469725836741226,37.0,Homo sapiens
A8MXB9,46.10209123188554,37.0,Homo sapiens
A8MXP9,45.27855830531827,37.0,Homo sapiens
A8MXV4,53.59517001613754,37.0,Homo sapiens
A8MXZ9,55.57347639779309,37.0,Homo sapiens
A8MYB1,48.890818989807585,37.0,Homo sapiens
A8MYK1,48.584597292557255,37.0,Homo sapiens
A8MZF9,48.207805085162725,37.0,Homo sapiens
A9Z1X7,51.969908463825035,37.0,Homo sapiens
B0AZT5,50.56451656330032,37.0,Homo sapiens
B0FLL2,49.9808595515038,37.0,Homo sapiens
B0QY89,50.24551631304872,37.0,Homo sapiens
B0QY95,49.540993885148524,37.0,Homo sapiens
B0QYD3,48.30292651713274,37.0,Homo sapiens
B0QYL9,59.442020002400156,37.0,Homo sapiens
B0QYN7,51.698928539358555,37.0,Homo sapiens
B0QYS7,51.38527556704336,37.0,Homo sapiens
B0QZ18,52.77415746757074,37.0,Homo sapiens
B0QZ40,50.31360507880335,37.0,Homo sapiens
B0S7V7,45.268365611263754,37.0,Homo sapiens
B0S872,50.89409244264545,37.0,Homo sapiens
B0UXB6,48.06225056189923,37.0,Homo sapiens
B0UZY3,45.61714677908975,37.0,Homo sapiens
B0V043,44.636571794827,37.0,Homo sapiens
B0YIW6,49.794409906413705,37.0,Homo sapiens
B1AH59,47.562072577243434,37.0,Homo sapiens
B1AHD1,47.17231837162289,37.0,Homo sapiens
B1AHD3,56.424945083551876,37.0,Homo sapiens
B1AHQ6,50.70466688110423,37.0,Homo sapiens
B1AJZ9,51.97664231552964,37.0,Homo sapiens
B1AK44,47.93420655729055,37.0,Homo sapiens
B1AK53,50.29449908922477,37.0,Homo sapiens
B1AK81,49.7075262862915,37.0,Homo sapiens
B1AK87,54.00379858850418,37.0,Homo sapiens
B1AK88,55.737738584528024,37.0,Homo sapiens
B1AKJ5,50.83501037683929,37.0,Homo sapiens
B1AKZ5,56.74276976854786,37.0,Homo sapiens
B1AL69,56.23167204634954,37.0,Homo sapiens
B1ALG6,55.00277378652719,37.0,Homo sapiens
B1AM27,51.24959872954011,37.0,Homo sapiens
B1AMF0,50.25742908614586,37.0,Homo sapiens
B1AMS2,49.805768861305715,37.0,Homo sapiens
B1AMU7,48.30682637190665,37.0,Homo sapiens
B1ANH0,47.36220875673084,37.0,Homo sapiens
B1ANH6,46.357062608722245,37.0,Homo sapiens
B1AP13,52.955368265210005,37.0,Homo sapiens
B1APM4,52.74710193186701,37.0,Homo sapiens
B1APN9,47.76472452015538,37.0,Homo sapiens
B2RTY4,50.33955608918434,37.0,Homo sapiens
B3KP81,49.070410285490226,37.0,Homo sapiens
B3KPG5,55.78307170182084,37.0,Homo sapiens
B3KQ23,55.20126630600395,37.0,Homo sapiens
B3KQZ9,50.97130483313077,37.0,Homo sapiens
B3KR64,47.79230737893048,37.0,Homo sapiens
B3KS98,50.48688742106262,37.0,Homo sapiens
B3KSH1,49.146408590794366,37.0,Homo sapiens
B3KSI9,50.846542590283505,37.0,Homo sapiens
B3KSQ1,47.4932296233219,37.0,Homo sapiens
B3KTM8,49.86366270485076,37.0,Homo sapiens
B3KVZ3,45.41727565596416,37.0,Homo sapiens
B3KXW5,51.422074185574026,37.0,Homo sapiens
B3KY83,49.53566499158456,37.0,Homo sapiens
