# Reciprocal collectivity of fluctuations=  3.0
# kappa=  1.000
# Frequency reported in internal units: 0.156 ps^(-1), kT/h/ is 2.47 internal units (om-2)= 0.164
#mode pc_therm cumul om-2(harm)  RMSD  Coll_cart Coll_MW Coll_tors Max_dev_atom
    0  0.5983 0.598  5.022e+04      3.8  0.119 0.027 0.029  104.723
    1  0.2876 0.886  2.414e+04     2.64  0.058 0.023 0.026  68.436
    2  0.0564 0.942     4733     1.17  0.145 0.038 0.027  24.081
    3  0.0206 0.963     1727    0.705  0.231 0.041 0.032  14.904
    4  0.0172 0.980     1440    0.644  0.261 0.039 0.028  8.759
    5  0.0065 0.986    543.1    0.395  0.055 0.043 0.022  15.744
    6  0.0052 0.992    440.5    0.356  0.077 0.038 0.039  13.420
    7  0.0028 0.995    233.3    0.259  0.063 0.045 0.033  6.131
    8  0.0012 0.996    104.2    0.173  0.072 0.044 0.029  3.465
    9  0.0007 0.996    61.54    0.133  0.059 0.043 0.032  4.854
   10  0.0005 0.997    42.87    0.111  0.056 0.034 0.033  2.847
   11  0.0004 0.997    34.46   0.0996  0.055 0.037 0.046  2.638
   12  0.0003 0.998    21.48   0.0786  0.044 0.039 0.034  2.837
   13  0.0002 0.998    18.79   0.0735  0.055 0.052 0.034  2.159
   14  0.0002 0.998    15.07   0.0659  0.044 0.124 0.053  2.794
   15  0.0002 0.998    14.69    0.065  0.032 0.129 0.039  3.298
   16  0.0001 0.998       12   0.0588  0.034 0.039 0.032  3.189
   17  0.0001 0.999    9.358   0.0519  0.065 0.043 0.032  1.208
   18  0.0001 0.999    8.358    0.049  0.030 0.034 0.037  1.886
   19  0.0001 0.999    7.451   0.0463  0.024 0.241 0.030  2.076
   20  0.0001 0.999    7.363    0.046  0.060 0.079 0.042  1.209
   21  0.0001 0.999    6.476   0.0432  0.037 0.040 0.043  1.598
   22  0.0001 0.999    5.347   0.0392  0.053 0.047 0.038  1.431
   23  0.0001 0.999    4.247    0.035  0.075 0.197 0.038  0.990
