# Reciprocal collectivity of fluctuations=  5.3
# kappa=  1.000
# Frequency reported in internal units: 0.156 ps^(-1), kT/h/ is 2.47 internal units (om-2)= 0.164
#mode pc_therm cumul om-2(harm)  RMSD  Coll_cart Coll_MW Coll_tors Max_dev_atom
    0  0.3966 0.397  1.99e+05     8.11  0.204 0.393 0.075  110.100
    1  0.3140 0.711  1.575e+05     7.22  0.176 0.343 0.065  105.102
    2  0.1003 0.811  5.03e+04     4.08  0.286 0.165 0.107  59.292
    3  0.0735 0.884  3.688e+04     3.49  0.407 0.251 0.097  55.369
    4  0.0393 0.924  1.971e+04     2.55  0.357 0.340 0.098  36.911
    5  0.0227 0.946  1.14e+04     1.94  0.415 0.375 0.098  18.236
    6  0.0137 0.960     6859     1.51  0.432 0.301 0.138  17.543
    7  0.0085 0.969     4263     1.19  0.384 0.317 0.122  18.282
    8  0.0071 0.976     3551     1.08  0.357 0.245 0.085  16.488
    9  0.0057 0.981     2868    0.974  0.457 0.265 0.108  12.925
   10  0.0030 0.984     1486    0.701  0.461 0.334 0.146  6.144
   11  0.0021 0.986     1052     0.59  0.312 0.217 0.128  9.873
   12  0.0020 0.988     1023    0.582  0.336 0.242 0.113  10.369
   13  0.0018 0.990    901.5    0.546  0.119 0.101 0.054  14.418
   14  0.0011 0.991    568.1    0.434  0.327 0.255 0.165  5.904
   15  0.0011 0.992    540.4    0.423  0.354 0.297 0.148  4.274
   16  0.0009 0.993      432    0.378  0.207 0.216 0.135  7.794
   17  0.0008 0.994    378.4    0.354  0.209 0.196 0.101  5.866
   18  0.0007 0.995    327.2    0.329  0.231 0.247 0.122  5.116
   19  0.0005 0.995      258    0.292  0.135 0.066 0.062  6.016
   20  0.0004 0.996    208.3    0.263  0.302 0.297 0.185  4.706
   21  0.0004 0.996    177.7    0.243  0.346 0.218 0.157  3.203
   22  0.0003 0.996    158.3    0.229  0.311 0.273 0.148  2.940
   23  0.0003 0.997    132.7     0.21  0.304 0.281 0.148  2.400
   24  0.0002 0.997    120.5      0.2  0.341 0.296 0.184  2.733
   25  0.0002 0.997    112.6    0.193  0.305 0.259 0.169  2.699
   26  0.0002 0.997    106.9    0.188  0.253 0.197 0.131  2.447
   27  0.0002 0.997    98.13     0.18  0.254 0.234 0.137  2.521
