species,Protein,asymptote,mid,m,Tm,r2
Escherichia coli cells,P00350_gnd,0.0973160667319612,58.172863035414785,3400.2438301260886,58.40977504984235,0.9503882276988985
Escherichia coli cells,P00370_gdhA,0.06927991015113187,55.46790774269072,1242.9536683758608,55.842748847514315,0.9799363996567139
Escherichia coli cells,P00393_ndh,0.141515487016222,50.38297566199193,1121.2012230227226,51.15593111990603,0.9953192584071073
Escherichia coli cells,P00448_sodA,0.22590984018524338,64.15064277469627,9999.999999999789,64.49782535694429,0.9450155052832406
Escherichia coli cells,P00509_aspC,0.0736575529166493,59.20190928580057,2677.379984580618,59.424488537323626,0.9717297358746553
Escherichia coli cells,P00547_thrB,0.09768609907644814,52.394347381388535,790.4222146642942,53.16549055035914,0.9805224773674388
Escherichia coli cells,P00803_lepB,0.14492146733324152,57.50332348720473,1813.1273650603168,58.14364162033447,0.9623439394243273
Escherichia coli cells,P00805_ansB,0.14184802606714308,55.705759174551154,1573.6207477342552,56.38639862635626,0.9696206640258039
Escherichia coli cells,P00811_ampC,0.13122056501408358,52.23258634601576,1107.1047475323576,52.993898365641485,0.9892410497157419
Escherichia coli cells,P00861_lysA,0.04448028427100078,51.45716142100708,942.1494116364538,51.72494937152731,0.9662635517505056
Escherichia coli cells,P00887_aroH,0.10819258591330821,44.22218574015715,1068.2159842311,44.68329664138276,0.9870040937050633
Escherichia coli cells,P00893_ilvI,0.12735490335753183,54.55010166188775,1430.6819958170374,55.177495290751345,0.9633563942740831
Escherichia coli cells,P00895_trpE,0.21634292640850303,40.037217502767774,1182.3900333105526,40.83463714778516,0.9291973107046738
Escherichia coli cells,P00903_pabA,0.1603185204997582,49.95684610288403,583.7320016718762,51.674909097296386,0.9707517695057116
Escherichia coli cells,P00909_trpC,0.09347401980303177,42.51412343629897,948.0655821612227,42.91487911069316,0.9946179247075516
Escherichia coli cells,P00914_phrB,0.15228764692499833,53.29855954458647,681.0012526000102,54.86240145088387,0.9879224208352257
Escherichia coli cells,P00926_dsdA,0.052495336147062525,49.06468917481085,1092.7166578832844,49.31859347316834,0.991758618965976
Escherichia coli cells,P00934_thrC,0.10060993457939976,47.22606631117187,418.8109513032462,48.46124229339911,0.9619470593106693
Escherichia coli cells,P00935_metB,0.15073639189322013,61.521864526615985,4191.301919889886,61.85317598558863,0.9679122246405581
Escherichia coli cells,P00944_xylA,0.15331825385815678,47.9405760906192,718.5031721809426,49.14765467262922,0.9785949811567077
Escherichia coli cells,P00946_manA,0.08380299235881575,47.90709519208952,1279.3714951142151,48.24909091604068,0.9720452997539178
Escherichia coli cells,P00954_trpS,0.0637989127319488,52.02002433514728,1163.6656622868695,52.34797318307574,0.9916280045126823
Escherichia coli cells,P00960_glyQ,0.08882728001870732,48.68693382041104,1309.77476870183,49.04637912961349,0.9894761476517853
Escherichia coli cells,P00962_glnS,0.08418211935296965,51.51278360578681,1528.7399945169207,51.83852413984559,0.9349840732719186
Escherichia coli cells,P00963_asnA,0.15771708367270504,41.860856820279245,482.87267017047833,43.29289501678964,0.9179042732589578
Escherichia coli cells,P02358_rpsF,0.19605119222336245,46.30648969295017,1880.6275513252697,46.88926103435495,0.9666604080823589
Escherichia coli cells,P02359_rpsG,0.060524767727989856,44.91808269082124,721.6634417514167,45.28937777210859,0.9765485092955059
Escherichia coli cells,P02413_rplO,0.13386451147382236,46.70446789038653,1851.930978381852,47.083588165928134,0.9941243893688168
Escherichia coli cells,P02924_araF,0.36324131834386825,47.354971507609875,1645.5992524348467,49.22642152534243,0.9056437049584098
Escherichia coli cells,P02942_tsr,0.2104099023793051,47.713255809939405,1268.4003985212828,48.73058183923184,0.9773097222152093
Escherichia coli cells,P03004_dnaA,0.11415067607337004,45.75225618195603,1690.249699425828,46.08358487080519,0.9870559003091214
Escherichia coli cells,P03023_lacI,0.08124094301527826,50.682412792753865,766.7040665259287,51.29069274031525,0.9838954357645782
Escherichia coli cells,P03024_galR,0.11366754826650846,47.065490904562814,1068.8104961369345,47.61738168927946,0.9931810450848039
Escherichia coli cells,P03813_ygeA,0.03314871004715224,54.488138907504606,719.7846957895681,54.77602627770759,0.9925721707026919
Escherichia coli cells,P03817_mioC,0.24012270351051393,43.07148330541661,1044.199233786873,44.28923390531122,0.9639734523937477
Escherichia coli cells,P03841_malM,0.38534094461125135,47.75926566144302,1631.2770775235647,49.92696329184692,0.9464544034277937
Escherichia coli cells,P04079_guaA,0.09528787889481112,51.56084494077368,2124.646717353597,51.830544367664814,0.9969689350271944
Escherichia coli cells,P04335_frsA,2.1810426307550534e-26,50.90002011739488,566.2635455018976,50.901495813781246,0.9976229674244341
Escherichia coli cells,P04395_alkA,0.035500450293905285,47.36269160267796,557.0482311056322,47.6664739885475,0.9755717348910049
Escherichia coli cells,P04425_gshB,0.11017101449734971,61.84043040445442,3383.2214018694135,62.13565642364862,0.981720982109015
Escherichia coli cells,P04693_tyrB,8.972123670869795e-20,50.92303787929411,500.7543157298457,50.92424249171001,0.9775014346566496
Escherichia coli cells,P04805_gltX,0.04349641832959225,54.24225655924162,1067.839944024478,54.50081748174006,0.945141029450022
Escherichia coli cells,P04816_livK,2.4712020800021702e-23,57.521519784942306,627.0246564901937,57.525819320998856,0.9877772438540894
Escherichia coli cells,P04951_kdsB,0.059601068409798945,60.59694471696839,1977.1848042586869,60.835987024589585,0.9631418872425264
Escherichia coli cells,P04968_ilvA,0.17388409589730305,56.7225061315815,4136.608200609816,57.07102310468806,0.9807626556096074
Escherichia coli cells,P04983_rbsA,0.03771041473292577,49.2422499827818,656.0075123033841,49.540027965990916,0.983281811088593
Escherichia coli cells,P04994_xseA,4.0685607745868103e-19,57.544086936132494,417.68218946464606,57.54836578228934,0.9613962021845648
Escherichia coli cells,P04995_sbcB,0.0878128940048076,45.048546181471536,598.1207198171625,45.72016544683767,0.9854181884600546
Escherichia coli cells,P05020_pyrC,6.657841068976324e-48,64.31297066239668,1048.2421466056348,64.31673364317517,0.9256299866216057
Escherichia coli cells,P05042_fumC,0.12475277314872278,53.77303287403955,2247.846180525197,54.15798622771835,0.9835525735806586
Escherichia coli cells,P05194_aroD,1.608895087218081e-19,51.0004149207434,697.0246456973731,51.00042548247089,0.967686431390252
Escherichia coli cells,P05459_pdxB,0.08251624571344165,52.31912730655366,1549.0391417814349,52.648209470729924,0.9920223404555902
Escherichia coli cells,P05637_apaH,8.214610376838211e-19,57.98639268330094,621.6084084874584,57.9865863379427,0.983762974740283
Escherichia coli cells,P05704_trg,0.20975934457189055,51.13496492160994,886.6597564407789,52.80015545905529,0.92069726011189
Escherichia coli cells,P05719_hsdS,0.16937924477046312,45.570626386626884,766.7829727361502,46.72972141295723,0.9836765601008859
Escherichia coli cells,P05791_ilvD,0.20094786598203607,52.52166023080406,1198.6626180823605,53.744315306691206,0.9279526098507893
Escherichia coli cells,P05793_ilvC,0.09324346483966747,50.94646940736727,988.9001246332864,51.50364701153182,0.9943031939812983
Escherichia coli cells,P05827_ilvY,0.09514300541926653,47.724670827956245,621.7221747237118,48.519235339961675,0.9644451398919347
Escherichia coli cells,P05852_tsaD,0.3172501691943234,51.43798223706715,899.6622736595431,54.59999575392101,0.9700184901346406
Escherichia coli cells,P06149_dld,0.023490302225469502,57.848584365769156,719.6534178511215,58.07477444276734,0.9465520612674647
Escherichia coli cells,P06282_cdh,0.18438375057191528,55.47486577829677,1478.0215733053788,56.46736130558841,0.9824521007569704
Escherichia coli cells,P06610_btuE,0.0863332924100823,42.09090819684343,1532.7423042624132,42.32944883186357,0.9982264725578945
Escherichia coli cells,P06709_birA,0.08937763662805384,42.5152915672468,650.2994873477819,43.073004923988194,0.9817417824849293
Escherichia coli cells,P06710_dnaX,0.16582917020200302,50.35500803434397,906.5319574793875,51.52116455209918,0.9336147114477132
Escherichia coli cells,P06715_gor,2.668232000507893e-18,60.124106701059354,963.8414281733645,60.126389849339745,0.9672631963287255
Escherichia coli cells,P06721_metC,0.028669267280563633,55.260622689705244,810.7570636704172,55.489431119687694,0.9743517364042528
Escherichia coli cells,P06846_ebgR,5.643804271628095e-21,58.410813220224,865.449211741486,58.41517675696109,0.9419197206443832
Escherichia coli cells,P06961_cca,0.1317659695329421,51.93911561494705,828.6405438964238,52.95592105333567,0.9913497600442783
Escherichia coli cells,P06966_dicA,0.08771840619932933,50.46170804674776,781.519735620122,51.10168101502113,0.9765465249778643
Escherichia coli cells,P06974_fliM,0.08452767242357452,50.705764826947714,786.8724509974581,51.325963977650645,0.992141119534964
Escherichia coli cells,P06986_hisC,0.08993084578934624,50.23282422187754,1302.2837640120313,50.62926164630786,0.9948611804080989
Escherichia coli cells,P06987_hisB,0.052212291180910524,46.865324939607035,719.2926263812057,47.21023334081823,0.9887381889413694
Escherichia coli cells,P06992_rsmA,0.1025996710431125,50.74764135906436,1173.804568719347,51.26665356744933,0.9958063466050568
Escherichia coli cells,P06999_pfkB,0.04634672780517633,53.77850384249393,1177.1066508705972,54.01932237653187,0.9748640959367242
Escherichia coli cells,P07004_proA,0.08568426341424756,62.40003679853804,2727.5364487223014,62.67716389964616,0.9636593857794516
Escherichia coli cells,P07012_prfB,0.11120741940130817,43.11294135454849,687.2595401851456,43.810280909557484,0.9755825051197375
Escherichia coli cells,P07013_priB,0.21893817273674682,53.694080051384006,1318.9178118657337,54.98451839370122,0.9621254027666625
Escherichia coli cells,P07017_tar,0.2048552233095317,48.926181001481595,1055.0953133627606,50.16292479041179,0.9563775945147837
Escherichia coli cells,P07018_tap,0.21154514576052694,48.69126746132057,1324.8587132970174,49.71330680882729,0.9789651689559161
Escherichia coli cells,P07023_tyrA,0.03004782678652652,43.80926116906017,715.3800256761818,43.97657397305317,0.9737633538135062
Escherichia coli cells,P07024_ushA,0.11823807465544847,55.39049951436773,1078.641453479025,56.175331031513004,0.9753626921468439
Escherichia coli cells,P07026_sdiA,0.1137875415091654,53.661103384432316,971.8764178319374,54.447179776930376,0.9850936754136135
Escherichia coli cells,P07102_appA,0.08720779601394686,50.32593343067108,1103.2022589435837,50.775446143063945,0.9783298859355549
Escherichia coli cells,P07109_hisP,0.19196213224857223,52.308161298431784,1273.8227967571772,53.38739141395509,0.9435660642933378
Escherichia coli cells,P07330_cheB,0.14810346883458037,44.987835081629584,928.7402245868402,45.775762888975216,0.9907365329817964
Escherichia coli cells,P07363_cheA,0.11948101659759361,46.62329101476025,781.7106977090641,47.40635470825917,0.9946060482389144
Escherichia coli cells,P07464_lacA,1.5372265211843155e-13,55.508314388658505,376.75397772533216,55.51280899103609,0.9500901628216716
Escherichia coli cells,P07604_tyrR,0.10763644620516061,48.16281673001775,1419.8625863492753,48.57509372795013,0.9955308739328367
Escherichia coli cells,P07639_aroB,0.02961401031218696,51.42883732065247,758.695396521157,51.64755278573869,0.9812869558455833
Escherichia coli cells,P07649_truA,0.10723528187951614,54.856403524852496,1348.7594447518693,55.41170180250201,0.9960193235694393
Escherichia coli cells,P07650_deoA,0.06179284934959598,52.06009578248821,1441.3499687163205,52.3189222093812,0.9862648707423485
Escherichia coli cells,P07821_fhuC,1.2308698144885344e-17,65.12531729837103,2568.214893988063,65.12945107035216,0.9101769786468423
Escherichia coli cells,P07862_ddlB,0.06873485107819216,53.765272242752,1885.900258521107,53.99296345744035,0.9595981025407287
Escherichia coli cells,P07913_tdh,0.04560964191829475,58.421153713361015,1488.7909400930553,58.64651066484712,0.9970055352351227
Escherichia coli cells,P08142_ilvB,0.11294649950027554,51.16325424589775,1341.4558520713952,51.67757191249068,0.996587849122507
Escherichia coli cells,P08178_purM,0.0629389781717085,52.97759661526986,1091.6205035404228,53.3336197473872,0.9937182151570589
Escherichia coli cells,P08179_purN,0.06977423606507181,46.25293212826905,1277.4757583401724,46.516715220567804,0.9471950795928008
Escherichia coli cells,P08192_folC,0.047702473516269724,46.18206323298819,702.14937047538,46.49607930579856,0.9957259930988006
