species,Protein,asymptote,mid,m,Tm,r2
Mus musculus BMDC lysate,A0A023T778_Magohb,0.10691865539506068,54.58082973863802,1749.907014544821,54.99367375656585,0.9948889528113547
Mus musculus BMDC lysate,A0A067XG53_Cask,0.06601513616965296,51.045048369884704,715.7561695103849,51.572661999096034,0.9970491311225267
Mus musculus BMDC lysate,A0A068BIS6_B3galt4,0.0824682337185638,52.39942986139467,759.8166333939402,53.0609870681987,0.9919379332870513
Mus musculus BMDC lysate,A0A068BIT0_Slc39a7,0.08064028282797686,52.358913053989596,636.0132280541828,53.13170667154597,0.9665417308912311
Mus musculus BMDC lysate,A0A077S9N1_Lyz1,0.18534508169452546,55.832078301315015,598.5457169480821,58.36161293491664,0.9747397294803063
Mus musculus BMDC lysate,A0A087WNV1_Agfg1,1.1175619454445871e-23,51.92863019539125,514.5485195097841,51.92973080954079,0.9590759763000016
Mus musculus BMDC lysate,A0A087WP63_Gm42715,0.27316603744942425,46.34630206748066,716.1924757779668,48.853984835858355,0.9862753769880255
Mus musculus BMDC lysate,A0A087WPH5_Glb1l,0.30949915692513774,49.09854346145293,845.1427417899534,52.01578749000961,0.9453205022150206
Mus musculus BMDC lysate,A0A087WPL5_Dhx9,0.1806344454677838,51.75029145184328,1770.5528615404419,52.46032111776652,0.995518535660829
Mus musculus BMDC lysate,A0A087WPP8_Abi2,0.16285433060697277,49.478285331014085,942.0452289264049,50.537765119146755,0.9941545642122932
Mus musculus BMDC lysate,A0A087WPR9_Fam134a,0.1948035207021759,49.180530284079545,586.6036624139563,51.31402567035041,0.9577491327793238
Mus musculus BMDC lysate,A0A087WPX0_Ktn1,0.3405168838434915,47.62469066070643,845.9495996264126,50.90776218758802,0.9744083211527046
Mus musculus BMDC lysate,A0A087WQ86_Dock10,0.07221078579724238,49.933387376568874,1448.3050014216426,50.212762882813564,0.9933453393143861
Mus musculus BMDC lysate,A0A087WQE6_Tceb1,2.029556360626432e-24,49.70795475357928,505.65460442638687,49.71180577866543,0.9653291702891306
Mus musculus BMDC lysate,A0A087WQS2_Bzw1,0.03468660911559239,46.308406327879275,671.367738288982,46.54574534121435,0.991503001272013
Mus musculus BMDC lysate,A0A087WRE5_Nudt16,1.5420404931280441e-19,53.64299376535709,434.6681868005984,53.647143854602454,0.9778959792133878
Mus musculus BMDC lysate,A0A087WRE7_Adhfe1,0.18128516072487205,52.87051017081525,782.1981092679036,54.541989379210655,0.9716136822270635
Mus musculus BMDC lysate,A0A087WRJ2_Abhd14b,0.0040213799498864744,51.5773193509367,431.63739531110025,51.6316066685461,0.9902176013707629
Mus musculus BMDC lysate,A0A087WRV0_Gm973,0.4361028516533485,48.05556207296706,1162.0965394569344,52.569106545329184,0.9212181542212701
Mus musculus BMDC lysate,A0A087WRW6_Mdfic,0.37063042041575256,48.82993519166809,1144.2189039957311,51.83953678371471,0.954042729434938
Mus musculus BMDC lysate,A0A087WST1_Il19,0.01562376803876864,47.991706188706196,2500.203551382268,48.023423118167145,0.9835518413117956
Mus musculus BMDC lysate,A0A0A0MQ68_Gcdh,0.02851692556676191,49.989384235104275,994.7838207855648,50.14148498686352,0.9962510224801733
Mus musculus BMDC lysate,A0A0A0MQ73_Kmt2d,0.37267989754215664,50.199530796271446,9999.999999999998,50.75120814316754,0.9470141518798754
Mus musculus BMDC lysate,A0A0A0MQ79_Prrc2c,0.4675895477185502,47.21177338456704,977.5149258879198,54.440352317493044,0.9082669061251825
Mus musculus BMDC lysate,A0A0A0MQ89_Actr5,0.047208679856801244,47.997087536440446,602.3515752758517,48.38607974294084,0.9859104297711814
Mus musculus BMDC lysate,A0A0A0MQ98_Jmjd1c,0.20846541262862398,48.35422556817142,928.0690321647659,49.76438045642743,0.9891985950285749
Mus musculus BMDC lysate,A0A0A0MQ99_Swi5,0.19945603913389023,49.26911588342514,980.6962305166445,50.57829763391197,0.9292755518696374
Mus musculus BMDC lysate,A0A0A0MQA5_Tuba4a,1.3366721710974082e-22,48.04260950659592,559.1884772399255,48.04363723029349,0.9970889246122314
Mus musculus BMDC lysate,A0A0A0MQD4_9530068E07Rik,0.25259754812718027,46.19454457693033,457.49936029652196,49.73724083070408,0.9480408876749828
Mus musculus BMDC lysate,A0A0A0MQE5_Camsap1,0.06049959076482274,47.07858747770317,783.6142473201623,47.45442816392913,0.9914372096807118
Mus musculus BMDC lysate,A0A0A0MQF5_Otud6b,0.10660084744210231,43.55675833805755,758.790727536543,44.172084193622155,0.9923073878563337
Mus musculus BMDC lysate,A0A0A0MQM0_Eif5a,0.1852530735502223,48.007426570591676,858.930868075484,49.29544447316628,0.9890424887555208
Mus musculus BMDC lysate,A0A0A0MQM6_Pou2f1,0.0676322769191786,48.729295351913024,589.5743733116799,49.32845214915578,0.9944213240596824
