species,Protein,asymptote,mid,m,Tm,r2
Mus musculus liver lysate,A0JNU3_Aspg,0.08184784723492822,57.61595726980909,2166.3919455227187,57.89298142403405,0.9583574028363143
Mus musculus liver lysate,A2A8L5_Ptprf,0.07128983285048127,45.14893113206725,565.9873752074578,45.715928831338225,0.9878251036883322
Mus musculus liver lysate,A2A8Z1_Osbpl9,0.03867019999918752,43.734944880582105,946.7589910555106,43.899669778849024,0.9953320042441623
Mus musculus liver lysate,A2ADA5_Pusl1,0.12726625102169184,55.99759987353849,1984.9505629784408,56.48160817399247,0.9172286524000047
Mus musculus liver lysate,A2ADY9_Ddi2,2.4885325093191544e-15,53.265391869390726,728.0684295445469,53.26954105626874,0.9641757423231407
Mus musculus liver lysate,A2AGT5_Ckap5,0.03090662364495347,46.29222268786582,509.894935503163,46.568004173832435,0.9900557158811327
Mus musculus liver lysate,A2AI05_Ndor1,4.043170851184526e-24,53.37022347139989,554.3812109663495,53.3747756947355,0.9489950884159253
Mus musculus liver lysate,A2AIL4_Ndufaf6,0.04927747036023967,48.86176814772155,713.8334637582485,49.216607759697766,0.9926335176308344
Mus musculus liver lysate,A2AKG8_Focad,0.11450663137627523,46.83699399104606,638.9606989303064,47.75402570533402,0.9911337809765112
Mus musculus liver lysate,A2ALW5_Dnajc25,3.1956206242296303e-17,45.907307497004844,407.71364259565786,45.90892111634811,0.9603823860641567
Mus musculus liver lysate,A2AN08_Ubr4,0.038561263423198926,43.728802572774036,916.6741807286295,43.898445522029945,0.9892334117410126
Mus musculus liver lysate,A2AR02_Ppig,1.0149611132808268e-15,55.76298969107618,519.6958145250612,55.76600652025442,0.9388601714889321
Mus musculus liver lysate,A2ASQ1_Agrn,0.35335040370699544,54.54660615195059,1150.6130152460619,57.92220332704037,0.9444213020192188
Mus musculus liver lysate,A2ATU0_Dhtkd1,0.04097367434850551,48.20670265781372,596.8686614166287,48.54824131021846,0.9656351446225092
Mus musculus liver lysate,A2AWA9_Rabgap1,0.09794461129996176,41.64359888029915,645.401199702403,42.24661842989891,0.9524880627655875
Mus musculus liver lysate,A2AWP8_Arhgef10l,0.019619783404268763,49.29885720553185,1308.8198313710068,49.38064358904222,0.9718732832833422
Mus musculus liver lysate,A2BDX3_Mocs3,0.12277775415375805,47.338854606958776,751.8802205836015,48.201436611419304,0.9758599285494829
Mus musculus liver lysate,A2RSX7_Tyw5,0.06424646789451204,51.30169843546501,1196.0601658192002,51.61352895235146,0.9826021839228836
Mus musculus liver lysate,A2RTL5_Rsrc2,0.3418526297406493,56.27837253130535,3425.8171600747723,57.43374256120398,0.9101907924247685
Mus musculus liver lysate,A3KGB4_Tbc1d8b,0.2772641556968286,42.325271477010766,1131.6323329365352,43.67441239590476,0.9267383489557235
Mus musculus liver lysate,A3KMP2_Ttc38,0.07599428898180717,57.33422827226445,9999.999313486014,57.44868686900172,0.9234079054386175
Mus musculus liver lysate,A4FUP9_Glt1d1,0.10576430514736623,50.867911398715904,1190.5963176728335,51.40150521096,0.9548203937977867
Mus musculus liver lysate,A6H5Y3_Mtr,2.0143949769373232e-22,48.42478049137796,331.8447673653058,48.42988332235628,0.9223968965457799
Mus musculus liver lysate,A6H611_Mipep,0.02187281215159068,44.87260492474721,458.9269382471809,45.07156159580276,0.9496254769993066
Mus musculus liver lysate,A6H630_Armt1,1.074242611525252e-13,47.3370988290852,829.686801240716,47.34261870929294,0.9328039427893811
Mus musculus liver lysate,A6H6A9_Rabgap1l,0.09410817276006254,44.688678771226854,441.201797454152,45.660090832053086,0.9657134226549813
Mus musculus liver lysate,A6H8H2_Dennd4c,0.28087046434528873,45.19765023405679,1021.2109018350488,46.91830023928681,0.977044665104237
Mus musculus liver lysate,A6X8Z5_Arhgap31,0.30904254393393016,43.427068069552504,671.3286819190364,46.33088197530838,0.9610491557719079
Mus musculus liver lysate,A6X935_Itih4,0.17049088041622293,54.70638691168793,1204.1224255984694,55.77206329341785,0.9657798787116284
Mus musculus liver lysate,B1AR13_Cisd3,0.008364111385536164,51.36307779341782,397.0563872152588,51.48043145857812,0.9606254553172057
Mus musculus liver lysate,B1AY13_Usp24,3.360850094294898e-14,44.86961523417477,339.31162703739517,44.871939232096615,0.9200996677038928
Mus musculus liver lysate,B2RQC6_Cad,0.03900787423225955,42.56225175474349,534.4118459371109,42.84266890112033,0.964001971621447
Mus musculus liver lysate,B2RXC1_Trappc11,0.02649401883689172,48.85803557735326,689.4131852937562,49.048644746243504,0.9973898051491965
Mus musculus liver lysate,B2RXR6_Ankrd44,0.09145231644853109,50.68695054592637,329.80874799086143,52.31640515961737,0.9073552613919293
Mus musculus liver lysate,B2RXS4_Plxnb2,1.0058563602855621e-21,49.05144037611008,348.28970600963214,49.052510004716865,0.9634533463284665
Mus musculus liver lysate,B2RY56_Rbm25,0.04388089670881676,52.731042579521045,1849.1580069530044,52.87029805921072,0.9678346228008197
Mus musculus liver lysate,B8JK39_Itga9,0.22324097777880164,56.23980701308446,3920.336881705465,56.748156696432886,0.9630964053504404
Mus musculus liver lysate,B8ZXI1_Qtrt2,7.399407585034056e-14,49.83685219269733,535.0370289033225,49.83922862229847,0.9424911827814672
Mus musculus liver lysate,E9PV24_Fga,0.12701547567562588,47.83472659801807,691.7870753141215,48.82949378413293,0.9707311985738049
Mus musculus liver lysate,E9PVA8_Gcn1,0.09635712368446073,42.162598858424225,681.3311448063245,42.73612888349993,0.9778320556688761
Mus musculus liver lysate,E9Q3C1_C2cd2,0.14203946497034015,45.91850113903474,564.9795110811469,47.20776420823354,0.9687707383391503
Mus musculus liver lysate,E9Q414_Apob,3.738888578324876e-21,51.89535414124326,662.6221598549096,51.896778839668805,0.9776313300805125
Mus musculus liver lysate,E9Q4P1_Wdfy1,0.010902478271920995,53.243464163699,937.2147576930349,53.315348160176484,0.9907069696323212
Mus musculus liver lysate,E9Q4Z2_Acacb,0.04164606234459305,45.246730260228226,724.7117592194836,45.50114149426314,0.9835047407171201
Mus musculus liver lysate,E9Q555_Rnf213,0.3279487656809368,42.72318818631843,1074.3780602739876,44.65079413269208,0.9148964294155942
Mus musculus liver lysate,E9QAM5_Helz2,2.0001072826863566e-25,50.55272501362297,812.2537631499083,50.557375720772384,0.9905921448302694
Mus musculus liver lysate,G3X9K3_Arfgef1,1.4062909010199503e-20,47.252140913867194,417.8872664564475,47.25639701401092,0.9532316108061877
Mus musculus liver lysate,G5E829_Atp2b1,0.07611099411070527,43.8640837768456,790.7608445937269,44.278506199908755,0.9919933518385488
Mus musculus liver lysate,O08528_Hk2,0.05731852732262628,51.51948600562769,1146.776091334655,51.80647113025997,0.9905150731342796
Mus musculus liver lysate,O08529_Capn2,0.09400337923479275,55.47660489912323,3628.949314915313,55.66335878840474,0.9517125309746538
Mus musculus liver lysate,O08547_Sec22b,0.11703983774434669,47.21146829204156,874.1385159961687,47.90461049074555,0.9861030184391509
Mus musculus liver lysate,O08553_Dpysl2,0.10802985278665272,58.431996599488386,2396.9405153623848,58.786974710723086,0.92940640825093
Mus musculus liver lysate,O08573_Lgals9,0.044973006545571195,55.68655739728413,2369.173425971251,55.8110587620312,0.9935358295842877
Mus musculus liver lysate,O08582_Gtpbp1,0.1887942540661322,49.18314508152595,604.4961320284654,51.16320496445346,0.9790532428088956
Mus musculus liver lysate,O08586_Pten,0.06782742024747872,48.077720413774124,859.3943147017236,48.481620603958554,0.995811056238459
Mus musculus liver lysate,O08599_Stxbp1,0.06197095643176892,46.00761284133642,3028.802530844804,46.11788264728903,0.9952263165271086
Mus musculus liver lysate,O08600_Endog,5.327945099311282e-21,48.68080305772948,503.4218957030277,48.684962326062134,0.9789538332388503
Mus musculus liver lysate,O08601_Mttp,0.03486868042277642,54.994837729196554,3607.076616461842,55.06285242502169,0.9925113651835095
Mus musculus liver lysate,O08609_Mlx,0.048929137728319555,50.567582274517704,662.6387612952152,50.968785542940715,0.9833751445661967
Mus musculus liver lysate,O08663_Metap2,0.26517453353021997,54.62800167351618,836.8366199202537,57.47874868340794,0.968919147195182
Mus musculus liver lysate,O08756_Hsd17b10,0.03953627334737466,52.86178934611716,1245.2509581515249,53.049197180611635,0.9860928792568767
Mus musculus liver lysate,O08759_Ube3a,0.10327835867732771,49.31848312533696,664.1194067241279,50.186425623943435,0.9868344363710733
Mus musculus liver lysate,O08788_Dctn1,0.13854305106705742,45.908432533803484,1144.828143390469,46.529353646055064,0.9873083477826556
Mus musculus liver lysate,O08795_Prkcsh,0.2143125846398149,55.29904203870149,3524.300414122197,55.80707668263403,0.9502352551953678
Mus musculus liver lysate,O08808_Diaph1,0.12695086824573698,48.11397219593794,887.2811435800402,48.89422166766108,0.9795639275366372
Mus musculus liver lysate,O08832_Galnt4,0.04364853582765107,44.54437614242376,1215.7642854631204,44.69903754984561,0.9876533225579885
Mus musculus liver lysate,O08911_Mapk12,0.08933389729290615,54.328836849128095,1343.9976133673786,54.770177296000945,0.9707073366053958
Mus musculus liver lysate,O08912_Galnt1,0.2501869265703529,49.94794040833189,8379.203803094431,50.28938773004012,0.9507872881520965
Mus musculus liver lysate,O08914_Faah,0.055061028182486454,54.91675877522661,2564.0647183299106,55.05917337661456,0.9877900460105549
Mus musculus liver lysate,O08915_Aip,0.04342729093599786,50.0914026860321,1012.4197176474232,50.324890190453885,0.9618539391697039
Mus musculus liver lysate,O09012_Pex5,0.11138131636329707,43.50657446010678,553.51345297972,44.39561511889028,0.9496368274016692
Mus musculus liver lysate,O09110_Map2k3,0.13057588743614876,41.97428917373501,991.8577529137308,42.53467039540056,0.9786481647924824
Mus musculus liver lysate,O09111_Ndufb11,0.08038308239355406,50.25265868244924,1391.1518090298746,50.58253079633937,0.9818251981516051
Mus musculus liver lysate,O09117_Sypl1,0.12606730789983658,47.38764932245752,491.191490036746,48.760404163013,0.9709007090409328
Mus musculus liver lysate,O09158_Cyp3a25,0.053641311057524156,49.55881034357819,735.0348201597104,49.94215385577168,0.9924193889281818
Mus musculus liver lysate,O09172_Gclm,0.025193628870929373,47.71859578702712,790.6918786591633,47.87000389720451,0.9755226888977785
Mus musculus liver lysate,O09174_Amacr,3.2316910610480215e-15,53.82882433706245,961.7578851653598,53.83058811757917,0.956093751520184
Mus musculus liver lysate,O35075_Dscr3,0.10022795080317967,44.03623745068499,1332.7492459538812,44.38031596180616,0.9908039968375414
Mus musculus liver lysate,O35239_Ptpn9,0.05294991732782467,43.01413794043352,538.1448736649462,43.41022602484179,0.9713352833330005
Mus musculus liver lysate,O35250_Exoc7,0.09272140421915487,40.91672908883609,946.650539934073,41.295530371510544,0.9812094083676245
Mus musculus liver lysate,O35286_Dhx15,0.07780674645362491,49.49002464289717,833.6670927740962,49.992199109714356,0.9870845257301236
Mus musculus liver lysate,O35309_Nmi,0.06097393599927371,53.821539797823974,2042.1659574369833,54.00717719001163,0.9888428873095535
Mus musculus liver lysate,O35344_Kpna3,0.09334461823115124,44.090299216568866,940.4233005255849,44.53304596279712,0.9863750922021013
Mus musculus liver lysate,O35345_Kpna6,0.13441871803268163,42.223465671476454,1191.0627895246032,42.709950304634845,0.9815120640068458
