species,Protein,asymptote,mid,m,Tm,r2
Saccharomyces cerevisiae lysate,A0A023PXQ4_YMR173W-A,3.619650918284247e-23,52.403025614512075,544.77968318729,52.4077619837866,0.9827024648110132
Saccharomyces cerevisiae lysate,O13297_CET1,0.08341704376171631,48.85951951914721,530.7589752993154,49.70051633812824,0.995764214577139
Saccharomyces cerevisiae lysate,O13516_RPS9A,0.032705755096819666,41.14605414013523,1318.5263688700543,41.24433475747843,0.9981475730224701
Saccharomyces cerevisiae lysate,O13539_THP2,0.25590747485724447,51.223369691963825,2114.061206740206,52.15025568557167,0.9881981063771471
Saccharomyces cerevisiae lysate,O14455_RPL36B,0.12105718276443914,41.39968323344554,964.3820392263203,41.90207199824378,0.9906747904301348
Saccharomyces cerevisiae lysate,O43137_YBR085C-A,0.2152729981949045,47.228635247568214,634.3235938582809,49.307422587035234,0.9940534308803319
Saccharomyces cerevisiae lysate,O60200_MDM35,0.30931102668542493,51.29895221581354,701.7400864445034,55.198994510454284,0.9705160581037662
Saccharomyces cerevisiae lysate,O75012_MRP10,0.2032630542565038,42.017317654466495,855.5037959154719,43.132538131069616,0.9816280058926918
Saccharomyces cerevisiae lysate,P00045_CYC7,6.1211618381568e-16,54.66768935394398,405.4885197454676,54.67163047254264,0.9848918203661269
Saccharomyces cerevisiae lysate,P00127_QCR6,0.2482963935806565,47.672348739470365,704.5494847637783,49.994490617655565,0.9719424776245933
Saccharomyces cerevisiae lysate,P00128_QCR7,0.37511119502980955,45.27454855997653,720.0026588673117,49.626634987875576,0.9788396588737472
Saccharomyces cerevisiae lysate,P00175_CYB2,0.04129068509405314,50.44511439683307,553.9148096323735,50.84705400537315,0.9965158742746372
Saccharomyces cerevisiae lysate,P00330_ADH1,0.1276534517131502,50.6966671902937,773.1976305983242,51.703829052822165,0.9970603350515251
Saccharomyces cerevisiae lysate,P00358_TDH2,0.02616839917356192,53.301726561811115,474.27763108964143,53.63044738015164,0.9980948406507838
Saccharomyces cerevisiae lysate,P00359_TDH3,0.0570693872626546,54.94102264211751,409.29498395478726,55.85227104916114,0.9932882295705425
Saccharomyces cerevisiae lysate,P00360_TDH1,0.3081600347560852,48.47088196128974,557.4615710273035,52.881633272031856,0.9967725388331548
Saccharomyces cerevisiae lysate,P00427_COX6,0.242617660528354,49.12645556684575,587.5854200604715,52.01504839239407,0.9976791501827034
Saccharomyces cerevisiae lysate,P00431_CCP1,0.09237816956447478,51.90190792978173,595.4888132475363,52.84629947903717,0.9982802372226655
Saccharomyces cerevisiae lysate,P00498_HIS1,0.10159784832197179,52.19812708590651,453.9233011398679,53.60465350477977,0.9958439460518533
Saccharomyces cerevisiae lysate,P00546_CDC28,5.360411045485717e-19,49.66552338100693,499.288640625903,49.66974552672315,0.9743342905675632
Saccharomyces cerevisiae lysate,P00549_CDC19,2.863520225959413e-22,50.39883962411014,697.7422757652887,50.403885944775034,0.9909674594986845
Saccharomyces cerevisiae lysate,P00560_PGK1,4.402613148666671e-19,52.08524596848148,681.0587204073565,52.08707589490666,0.9830865713310141
Saccharomyces cerevisiae lysate,P00572_CDC8,0.10454121971003245,49.91172101012348,1311.8663098038596,50.374030360634826,0.9922454687917851
Saccharomyces cerevisiae lysate,P00635_PHO5,0.4141633839126457,47.43234615053673,650.1061475507305,54.454038136605284,0.9886541837486037
Saccharomyces cerevisiae lysate,P00724_SUC2,0.037975097039280134,50.08170187602199,723.0410504892417,50.363493987382206,0.9885227930038945
Saccharomyces cerevisiae lysate,P00729_PRC1,0.19734103384631294,50.62857978501246,454.946619073904,53.63311178238379,0.9954939708509617
Saccharomyces cerevisiae lysate,P00812_CAR1,7.904744728709871e-22,53.21196472504975,554.9835697803628,53.21540495414168,0.9969281207805376
Saccharomyces cerevisiae lysate,P00815_HIS4,0.06561715903668927,48.87510950721975,872.3980964737896,49.27072262447864,0.9954688658453762
Saccharomyces cerevisiae lysate,P00817_IPP1,0.09371262238495155,52.22345753026759,899.1392670409376,52.86417799337254,0.9954148091102584
Saccharomyces cerevisiae lysate,P00830_ATP2,0.07519526413244401,49.77709963511996,721.0710873126721,50.35104461023574,0.9964221609921999
Saccharomyces cerevisiae lysate,P00890_CIT1,0.11989793083440431,50.676610053966414,512.8923324823048,52.09038665115433,0.998456190170487
Saccharomyces cerevisiae lysate,P00899_TRP2,0.06751331467845363,50.55411137497479,575.3490551886971,51.211657732397136,0.9997972968460457
Saccharomyces cerevisiae lysate,P00912_TRP1,0.1552579563998261,47.44245398380142,681.5464102628553,48.712168788753445,0.998138839934118
Saccharomyces cerevisiae lysate,P00924_ENO1,5.514316835523504e-20,52.17482045145174,663.777122427378,52.17803996886834,0.9890787411901618
Saccharomyces cerevisiae lysate,P00925_ENO2,1.6696933707670152e-25,52.552631447472756,697.3047415849551,52.55718523027333,0.9939978722084715
Saccharomyces cerevisiae lysate,P00927_ILV1,0.1344604933801989,45.28162340746507,556.9624596610007,46.47532294856606,0.9943170076919445
Saccharomyces cerevisiae lysate,P00931_TRP5,0.049961410917571475,50.65767243537567,576.3006395256907,51.1340427292122,0.9964192927430245
Saccharomyces cerevisiae lysate,P00937_TRP3,0.037330882697635175,50.35015499245518,526.0548794117907,50.73127774081908,0.9987809739908492
Saccharomyces cerevisiae lysate,P00942_TPI1,7.151619525871938e-15,56.82691417593652,398.3070688007621,56.829311921801875,0.9754548266684773
Saccharomyces cerevisiae lysate,P00950_GPM1,2.4571722666842118e-17,52.49493945158024,606.4376127636967,52.49970192925908,0.9866078514998379
Saccharomyces cerevisiae lysate,P00958_MES1,0.06938488346669522,46.365549079565305,604.8130599495173,46.905026418927946,0.9967944339623498
Saccharomyces cerevisiae lysate,P01094_PAI3,0.4872904605590399,49.741289584774755,961.0647174206497,61.447264005706636,0.9914049456280271
Saccharomyces cerevisiae lysate,P01097_INH1,0.4632253557927906,47.37479723657121,602.9929100784476,59.61565910938229,0.9882662737602325
Saccharomyces cerevisiae lysate,P01119_RAS1,0.34069764434310507,48.31205550371676,810.0494455563667,51.86081738712159,0.9972575262286132
Saccharomyces cerevisiae lysate,P01120_RAS2,0.09278103836217223,48.97141671491463,679.9212670315889,49.71279210244292,0.9974556231793997
Saccharomyces cerevisiae lysate,P01123_YPT1,0.058073660083521494,46.868381848029095,580.0626655193104,47.34756223694362,0.9978504560351202
Saccharomyces cerevisiae lysate,P02294_HTB2,0.1711394967212778,45.21229673338099,641.6364411612235,46.599943060631816,0.9913366278982946
Saccharomyces cerevisiae lysate,P02309_HHF1,0.05780616391166796,43.72541128238493,653.3966277964146,44.091144143072164,0.9857372199201302
Saccharomyces cerevisiae lysate,P02381_VAR1,0.12576642826232812,49.87669601879229,454.16827018293117,51.52371576091091,0.9647782845234446
Saccharomyces cerevisiae lysate,P02406_RPL28,0.07070326623527264,41.86627986640492,827.1459256307529,42.19994011360479,0.9880797076809533
