species,Protein,asymptote,mid,m,Tm,r2
Thermus thermophilus HB27 cells,O50147_lysZ,0.14539636075087148,84.54964189900349,5756.168417921695,84.9791409374504,0.9698867878151304
Thermus thermophilus HB27 cells,O87197_uppS,0.16333249698605393,80.95951704033139,4259.3855783498675,81.5896601674176,0.9680019283158574
Thermus thermophilus HB27 cells,O87198_lys20,0.022037874432443958,82.2708442765977,1119.5891338341987,82.54767231580328,0.9326659148130749
Thermus thermophilus HB27 cells,P16608_trpA,0.13839208744861903,83.09838224605393,2174.386132179193,84.1454662638851,0.9709006386956175
Thermus thermophilus HB27 cells,P54893_proC,0.11161194245540366,89.26629990993997,2025.632955333248,90.2769115137248,0.98000401443794
Thermus thermophilus HB27 cells,P61488_ask,0.1785416527037318,82.44438170498873,9999.999999999998,82.76122594007556,0.9535670341441183
Thermus thermophilus HB27 cells,P61490_groL,0.20981224655816727,85.82920315500142,3828.2977715047564,86.89518951004158,0.9910133429622576
Thermus thermophilus HB27 cells,P61500_recA,0.11419143775207378,77.84253343775686,5180.135531523415,78.16055937980121,0.9366398648890611
Thermus thermophilus HB27 cells,P61526_argG,0.14228280414902839,85.38379173820334,2244.3366405233246,86.49472471819992,0.9087614460107036
Thermus thermophilus HB27 cells,P61537_ruvB,0.2365644709420966,74.92697423060734,9999.999999993765,75.36492251580198,0.9899974077500727
Thermus thermophilus HB27 cells,P61671_mutS,0.14667769712838633,77.69042824095789,2711.4619500561594,78.48390771110047,0.9752405785639593
Thermus thermophilus HB27 cells,P61707_alaS,0.080324097935269,79.58347762110293,1275.2379221086169,80.46813808240518,0.9727216056919549
Thermus thermophilus HB27 cells,P61747_gpsA,0.2698660957648692,90.01753268891275,9999.999999999998,90.69467263079191,0.9538647600765539
Thermus thermophilus HB27 cells,P61781_hisH,0.20457765188905414,84.8121848985651,3976.9938749145676,85.78648243403795,0.9447419421783203
Thermus thermophilus HB27 cells,P61989_cbiD,0.22792779975896996,76.05133504603118,3870.4206114737935,76.97379727146514,0.9904498193218022
Thermus thermophilus HB27 cells,P62350_hisI,0.11215421247916342,81.28484824534489,1723.8159630517873,82.27625658354212,0.9680814892141687
Thermus thermophilus HB27 cells,P62356_hisA,0.17588836443071307,81.37127043372429,2441.667385098232,82.57611867991096,0.9528898058164521
Thermus thermophilus HB27 cells,P62374_hisS,0.17299625689286552,91.6736109635126,5437.024755048193,92.35428447778959,0.93533961368994
Thermus thermophilus HB27 cells,P62420_pgk,0.15610367809398004,92.71053390757434,3788.748333681424,93.57933000517933,0.9437162620832704
Thermus thermophilus HB27 cells,P62442_rplK,0.18048391780747153,79.68338331365429,1733.4243960789606,81.3679361161559,0.9512991280554608
Thermus thermophilus HB27 cells,P62453_hisF,0.17753523527801104,85.81877985540295,4928.935388964645,86.50000401030721,0.9470457767977092
Thermus thermophilus HB27 cells,P62476_rsmH,0.18928397445133688,75.28901771825575,9999.999999999998,75.60306325228068,0.9734703577361625
Thermus thermophilus HB27 cells,P62655_rpsM,0.27009837238472517,75.02481574489616,5090.75543263337,75.90565186287375,0.9632897180362178
Thermus thermophilus HB27 cells,P62657_rpsO,0.11668120658160722,75.63513377114302,9999.999999999998,75.78522819708478,0.9673270872179763
Thermus thermophilus HB27 cells,P62658_rpsQ,0.2255699827338357,76.90977618724064,5373.204993636031,77.60779962483865,0.9250102343877231
Thermus thermophilus HB27 cells,P62662_rpsB,0.11369876682773371,73.65531401246034,4413.1367523702675,73.9741851295668,0.9950330489655776
Thermus thermophilus HB27 cells,P62663_rpsC,0.12747094547616863,75.34865241631566,9999.999999999998,75.54722147455368,0.9369046551290606
Thermus thermophilus HB27 cells,P62666_rpsF,0.3899454041495359,82.61423971996864,1506.194493915276,90.10023475001384,0.9030468957468425
Thermus thermophilus HB27 cells,P62667_rpsG,0.3751720821383461,75.12803422680412,9999.999999999998,75.94348939338299,0.9618953759083694
Thermus thermophilus HB27 cells,P96495_carB,0.056706656634797875,84.27728337971237,1785.592083021491,84.76187887574795,0.9829007960662287
Thermus thermophilus HB27 cells,Q60050_proB,0.18707485067780316,80.7919208261463,5564.691242473157,81.37372715733929,0.9701307890874951
Thermus thermophilus HB27 cells,Q72G64_TT_C1984,0.15938321259387664,76.74434486151107,2475.795799355206,77.67886869531182,0.9930200509522025
Thermus thermophilus HB27 cells,Q72G65_ispH,0.24009848023057287,85.16145626600657,4344.773589988436,86.29062348970128,0.9276585015589374
Thermus thermophilus HB27 cells,Q72G70_TT_C1978,0.1351891815310952,82.65117929305998,4281.813640790207,83.16799323714366,0.9702908688397786
Thermus thermophilus HB27 cells,Q72G71_TT_C1977,0.20277583335848215,84.3135587641452,4510.050111594082,85.15517540997983,0.9716538844089978
Thermus thermophilus HB27 cells,Q72G74_TT_C1974,0.3750702638777237,80.5531116326581,1395.9382964202784,87.57667268336827,0.9027841026691727
Thermus thermophilus HB27 cells,Q72G82_TT_C1966,0.1847253055435493,86.9959806518619,3357.445051865051,88.05150335184338,0.9835178369835599
