# epoch,train_loss,valid_loss,train_pcc,valid_pcc,train_rmse,valid_rmse,train_mae,valid_mae,train_mse,valid_mse,train_r2,valid_r2
1,9.64360641,0.64577438,0.06673423,0.66364944,30.19943428,7.81482840,19.71443748,5.75506449,912.00579834,61.07154465,-8.64360619,0.35137892
2,0.76879941,0.38118659,0.52808022,0.82553697,8.52678967,6.00409937,6.42346191,4.83017969,72.70614624,36.04920959,0.23120058,0.61713302
3,0.49980779,0.29744418,0.70799947,0.84321386,6.87512445,5.30373478,5.23266983,4.21268129,47.26733780,28.12960243,0.50019217,0.70124459
4,0.43593429,0.26832866,0.75137788,0.86837786,6.42080593,5.03747129,4.88419819,3.96421885,41.22674942,25.37611771,0.56406569,0.73048854
5,0.39131148,0.27708009,0.78042781,0.86940688,6.08331585,5.11895990,4.63779449,4.01679611,37.00673294,26.20374870,0.60868847,0.72169852
6,0.36409942,0.24239800,0.79756296,0.87406707,5.86798573,4.78788328,4.45543146,3.74410176,34.43325806,22.92382812,0.63590056,0.75653344
7,0.36932714,0.25797831,0.79425275,0.87509817,5.90996170,4.93935966,4.50286198,3.85725284,34.92764664,24.39727211,0.63067287,0.74088448
8,0.33745603,0.23943392,0.81409180,0.87960309,5.64920902,4.75852013,4.30759621,3.75750804,31.91356277,22.64351273,0.66254395,0.75951064
9,0.32711715,0.21521368,0.82036501,0.88656372,5.56199646,4.51142788,4.23889494,3.49448061,30.93580627,20.35297966,0.67288280,0.78383762
10,0.32689319,0.23972792,0.82062662,0.88405287,5.56009197,4.76144028,4.22393799,3.71322966,30.91462517,22.67131424,0.67310679,0.75921535
11,0.30621095,0.22709896,0.83304423,0.88720262,5.38132763,4.63432646,4.10094595,3.56135225,28.95868492,21.47698021,0.69378901,0.77189994
12,0.28727857,0.23720366,0.84431368,0.89029825,5.21231508,4.73630619,3.94714880,3.62720752,27.16823006,22.43259430,0.71272141,0.76175070
13,0.28907679,0.22355184,0.84319001,0.88097245,5.22860289,4.59799147,3.92759728,3.58814788,27.33828926,21.14152718,0.71092319,0.77546269
14,0.29320201,0.21246043,0.84080088,0.88715190,5.26577759,4.48247719,3.96848249,3.48736215,27.72841454,20.09260178,0.70679796,0.78660297
15,0.25767584,0.23387435,0.86169398,0.88636696,4.93646336,4.70295000,3.72947383,3.70073843,24.36866951,22.11773682,0.74232411,0.76509470
16,0.24111785,0.22428351,0.87118489,0.88177842,4.77522373,4.60551023,3.57908058,3.54896212,22.80276299,21.21072388,0.75888211,0.77472782
17,0.23781859,0.23425829,0.87308788,0.87832344,4.74244118,4.70680857,3.54554820,3.59856415,22.49074936,22.15404892,0.76218140,0.76470906
18,0.21866085,0.27004705,0.88395947,0.87252712,4.54741478,5.05357552,3.40376878,3.89252687,20.67898178,25.53862762,0.78133911,0.72876251
19,0.22285115,0.26144816,0.88159716,0.87236667,4.59078026,4.97246599,3.40563512,3.87689996,21.07526207,24.72542000,0.77714884,0.73739934
20,0.21348217,0.23575391,0.88686472,0.87610292,4.49324226,4.72180986,3.36847401,3.67186904,20.18922806,22.29549026,0.78651786,0.76320684
21,0.21428724,0.22843309,0.88646066,0.87821305,4.50170660,4.64791918,3.36194229,3.56462336,20.26536369,21.60315132,0.78571272,0.77055991
