"epoch","1-graph - _step","1-graph - _step__MIN","1-graph - _step__MAX","1-graph - train.r2","1-graph - train.r2__MIN","1-graph - train.r2__MAX","1-graph - valid.r2","1-graph - valid.r2__MIN","1-graph - valid.r2__MAX","2-str-0 - _step","2-str-0 - _step__MIN","2-str-0 - _step__MAX","2-str-0 - train.r2","2-str-0 - train.r2__MIN","2-str-0 - train.r2__MAX","2-str-0 - valid.r2","2-str-0 - valid.r2__MIN","2-str-0 - valid.r2__MAX","only_backbone - _step","only_backbone - _step__MIN","only_backbone - _step__MAX","only_backbone - train.r2","only_backbone - train.r2__MIN","only_backbone - train.r2__MAX","only_backbone - valid.r2","only_backbone - valid.r2__MIN","only_backbone - valid.r2__MAX","baseline_e - _step","baseline_e - _step__MIN","baseline_e - _step__MAX","baseline_e - train.r2","baseline_e - train.r2__MIN","baseline_e - train.r2__MAX","baseline_e - valid.r2","baseline_e - valid.r2__MIN","baseline_e - valid.r2__MAX","0-ogt - _step","0-ogt - _step__MIN","0-ogt - _step__MAX","0-ogt - train.r2","0-ogt - train.r2__MIN","0-ogt - train.r2__MAX","0-ogt - valid.r2","0-ogt - valid.r2__MIN","0-ogt - valid.r2__MAX"
"1","0","0","0","-10.85975456237793","-10.85975456237793","-10.85975456237793","0.2816013693809509","0.2816013693809509","0.2816013693809509","0","0","0","-2.9435884952545166","-2.9435884952545166","-2.9435884952545166","0.47363609075546265","0.47363609075546265","0.47363609075546265","0","0","0","-1.8308525085449219","-1.8308525085449219","-1.8308525085449219","0.3448783755302429","0.3448783755302429","0.3448783755302429","0","0","0","0.1582903265953064","0.1582903265953064","0.1582903265953064","0.47375398874282837","0.47375398874282837","0.47375398874282837","0","0","0","0.04985678195953369","0.04985678195953369","0.04985678195953369","0.3527674674987793","0.3527674674987793","0.3527674674987793"
"2","1","1","1","0.12371861934661865","0.12371861934661865","0.12371861934661865","0.3345481753349304","0.3345481753349304","0.3345481753349304","1","1","1","0.4118196368217468","0.4118196368217468","0.4118196368217468","0.6199254989624023","0.6199254989624023","0.6199254989624023","1","1","1","0.3330921530723572","0.3330921530723572","0.3330921530723572","0.5941916704177856","0.5941916704177856","0.5941916704177856","1","1","1","0.34042888879776","0.34042888879776","0.34042888879776","0.5645449161529541","0.5645449161529541","0.5645449161529541","1","1","1","0.28988778591156006","0.28988778591156006","0.28988778591156006","0.4319225549697876","0.4319225549697876","0.4319225549697876"
"3","2","2","2","0.3891110420227051","0.3891110420227051","0.3891110420227051","0.5512964725494385","0.5512964725494385","0.5512964725494385","2","2","2","0.5283927917480469","0.5283927917480469","0.5283927917480469","0.6756346225738525","0.6756346225738525","0.6756346225738525","2","2","2","0.4403659701347351","0.4403659701347351","0.4403659701347351","0.6456810832023621","0.6456810832023621","0.6456810832023621","2","2","2","0.35499870777130127","0.35499870777130127","0.35499870777130127","0.5155304670333862","0.5155304670333862","0.5155304670333862","2","2","2","0.3189249038696289","0.3189249038696289","0.3189249038696289","0.39686232805252075","0.39686232805252075","0.39686232805252075"
"4","3","3","3","0.5036610960960388","0.5036610960960388","0.5036610960960388","0.6302765607833862","0.6302765607833862","0.6302765607833862","3","3","3","0.5724374055862427","0.5724374055862427","0.5724374055862427","0.7003476619720459","0.7003476619720459","0.7003476619720459","3","3","3","0.5228438377380371","0.5228438377380371","0.5228438377380371","0.6747887134552002","0.6747887134552002","0.6747887134552002","3","3","3","0.37887459993362427","0.37887459993362427","0.37887459993362427","0.5588608980178833","0.5588608980178833","0.5588608980178833","3","3","3","0.32056230306625366","0.32056230306625366","0.32056230306625366","0.44457221031188965","0.44457221031188965","0.44457221031188965"
"5","4","4","4","0.5581432580947876","0.5581432580947876","0.5581432580947876","0.644531786441803","0.644531786441803","0.644531786441803","4","4","4","0.5996747016906738","0.5996747016906738","0.5996747016906738","0.7053751945495605","0.7053751945495605","0.7053751945495605","4","4","4","0.5681024789810181","0.5681024789810181","0.5681024789810181","0.673275351524353","0.673275351524353","0.673275351524353","4","4","4","0.36698514223098755","0.36698514223098755","0.36698514223098755","0.596988320350647","0.596988320350647","0.596988320350647","4","4","4","0.3381175398826599","0.3381175398826599","0.3381175398826599","0.29132938385009766","0.29132938385009766","0.29132938385009766"
"6","5","5","5","0.5694641470909119","0.5694641470909119","0.5694641470909119","0.6680465340614319","0.6680465340614319","0.6680465340614319","5","5","5","0.6093404293060303","0.6093404293060303","0.6093404293060303","0.7410873770713806","0.7410873770713806","0.7410873770713806","5","5","5","0.5752608776092529","0.5752608776092529","0.5752608776092529","0.7238689064979553","0.7238689064979553","0.7238689064979553","5","5","5","0.36753708124160767","0.36753708124160767","0.36753708124160767","0.6035405993461609","0.6035405993461609","0.6035405993461609","5","5","5","0.34230494499206543","0.34230494499206543","0.34230494499206543","0.47673559188842773","0.47673559188842773","0.47673559188842773"
"7","6","6","6","0.589532196521759","0.589532196521759","0.589532196521759","0.7047981023788452","0.7047981023788452","0.7047981023788452","6","6","6","0.6210865378379822","0.6210865378379822","0.6210865378379822","0.7219813466072083","0.7219813466072083","0.7219813466072083","6","6","6","0.5850049257278442","0.5850049257278442","0.5850049257278442","0.7335994243621826","0.7335994243621826","0.7335994243621826","6","6","6","0.36567866802215576","0.36567866802215576","0.36567866802215576","0.5918796062469482","0.5918796062469482","0.5918796062469482","6","6","6","0.368407666683197","0.368407666683197","0.368407666683197","0.4732462763786316","0.4732462763786316","0.4732462763786316"
"8","7","7","7","0.6157915592193604","0.6157915592193604","0.6157915592193604","0.7051510810852051","0.7051510810852051","0.7051510810852051","7","7","7","0.632696270942688","0.632696270942688","0.632696270942688","0.7557561993598938","0.7557561993598938","0.7557561993598938","7","7","7","0.5963866710662842","0.5963866710662842","0.5963866710662842","0.7530878782272339","0.7530878782272339","0.7530878782272339","7","7","7","0.3774069547653198","0.3774069547653198","0.3774069547653198","0.5255430936813354","0.5255430936813354","0.5255430936813354","7","7","7","0.3742612600326538","0.3742612600326538","0.3742612600326538","0.45591551065444946","0.45591551065444946","0.45591551065444946"
"9","8","8","8","0.6516447067260742","0.6516447067260742","0.6516447067260742","0.7169826030731201","0.7169826030731201","0.7169826030731201","8","8","8","0.6472610235214233","0.6472610235214233","0.6472610235214233","0.7240573167800903","0.7240573167800903","0.7240573167800903","8","8","8","0.6297086477279663","0.6297086477279663","0.6297086477279663","0.7425495386123657","0.7425495386123657","0.7425495386123657","8","8","8","0.3600795269012451","0.3600795269012451","0.3600795269012451","0.5087727308273315","0.5087727308273315","0.5087727308273315","8","8","8","0.3589059114456177","0.3589059114456177","0.3589059114456177","0.38615137338638306","0.38615137338638306","0.38615137338638306"
"10","9","9","9","0.6448457837104797","0.6448457837104797","0.6448457837104797","0.7481855154037476","0.7481855154037476","0.7481855154037476","9","9","9","0.6483706831932068","0.6483706831932068","0.6483706831932068","0.7551990747451782","0.7551990747451782","0.7551990747451782","9","9","9","0.6220835447311401","0.6220835447311401","0.6220835447311401","0.7487950325012207","0.7487950325012207","0.7487950325012207","9","9","9","0.3562769293785095","0.3562769293785095","0.3562769293785095","0.5988572835922241","0.5988572835922241","0.5988572835922241","9","9","9","0.34830737113952637","0.34830737113952637","0.34830737113952637","0.4532472491264343","0.4532472491264343","0.4532472491264343"
"11","10","10","10","0.6605769395828247","0.6605769395828247","0.6605769395828247","0.7412112951278687","0.7412112951278687","0.7412112951278687","10","10","10","0.6567219495773315","0.6567219495773315","0.6567219495773315","0.7642825841903687","0.7642825841903687","0.7642825841903687","10","10","10","0.6226655840873718","0.6226655840873718","0.6226655840873718","0.7743364572525024","0.7743364572525024","0.7743364572525024","10","10","10","0.35590821504592896","0.35590821504592896","0.35590821504592896","0.5748317837715149","0.5748317837715149","0.5748317837715149","10","10","10","0.3716506361961365","0.3716506361961365","0.3716506361961365","0.4865207076072693","0.4865207076072693","0.4865207076072693"
"12","11","11","11","0.6761173009872437","0.6761173009872437","0.6761173009872437","0.7287402749061584","0.7287402749061584","0.7287402749061584","11","11","11","0.6676208972930908","0.6676208972930908","0.6676208972930908","0.7585902214050293","0.7585902214050293","0.7585902214050293","11","11","11","0.6463885307312012","0.6463885307312012","0.6463885307312012","0.7720475196838379","0.7720475196838379","0.7720475196838379","11","11","11","0.3835458755493164","0.3835458755493164","0.3835458755493164","0.5575405359268188","0.5575405359268188","0.5575405359268188","11","11","11","0.38541561365127563","0.38541561365127563","0.38541561365127563","0.49334198236465454","0.49334198236465454","0.49334198236465454"
"13","12","12","12","0.6747725605964661","0.6747725605964661","0.6747725605964661","0.7518818974494934","0.7518818974494934","0.7518818974494934","12","12","12","0.6699178218841553","0.6699178218841553","0.6699178218841553","0.7845122218132019","0.7845122218132019","0.7845122218132019","12","12","12","0.627526581287384","0.627526581287384","0.627526581287384","0.7427288293838501","0.7427288293838501","0.7427288293838501","12","12","12","0.36409324407577515","0.36409324407577515","0.36409324407577515","0.5494465231895447","0.5494465231895447","0.5494465231895447","12","12","12","0.3684192895889282","0.3684192895889282","0.3684192895889282","0.47378140687942505","0.47378140687942505","0.47378140687942505"
"14","13","13","13","0.6762734055519104","0.6762734055519104","0.6762734055519104","0.7590091824531555","0.7590091824531555","0.7590091824531555","13","13","13","0.6681175231933594","0.6681175231933594","0.6681175231933594","0.7645153999328613","0.7645153999328613","0.7645153999328613","13","13","13","0.6288503408432007","0.6288503408432007","0.6288503408432007","0.7328671216964722","0.7328671216964722","0.7328671216964722","13","13","13","0.36291176080703735","0.36291176080703735","0.36291176080703735","0.5351046919822693","0.5351046919822693","0.5351046919822693","13","13","13","0.38111573457717896","0.38111573457717896","0.38111573457717896","0.42000555992126465","0.42000555992126465","0.42000555992126465"
"15","14","14","14","0.6889708042144775","0.6889708042144775","0.6889708042144775","0.7477992177009583","0.7477992177009583","0.7477992177009583","14","14","14","0.6746935844421387","0.6746935844421387","0.6746935844421387","0.7688119411468506","0.7688119411468506","0.7688119411468506","14","14","14","0.6424291729927063","0.6424291729927063","0.6424291729927063","0.750889778137207","0.750889778137207","0.750889778137207","14","14","14","0.37908023595809937","0.37908023595809937","0.37908023595809937","0.5931347608566284","0.5931347608566284","0.5931347608566284","14","14","14","0.37515586614608765","0.37515586614608765","0.37515586614608765","0.3691003918647766","0.3691003918647766","0.3691003918647766"
