"epoch","1-graph - _step","1-graph - _step__MIN","1-graph - _step__MAX","1-graph - train.rmse","1-graph - train.rmse__MIN","1-graph - train.rmse__MAX","1-graph - valid.rmse","1-graph - valid.rmse__MIN","1-graph - valid.rmse__MAX","only_backbone - _step","only_backbone - _step__MIN","only_backbone - _step__MAX","only_backbone - train.rmse","only_backbone - train.rmse__MIN","only_backbone - train.rmse__MAX","only_backbone - valid.rmse","only_backbone - valid.rmse__MIN","only_backbone - valid.rmse__MAX","baseline_e - _step","baseline_e - _step__MIN","baseline_e - _step__MAX","baseline_e - train.rmse","baseline_e - train.rmse__MIN","baseline_e - train.rmse__MAX","baseline_e - valid.rmse","baseline_e - valid.rmse__MIN","baseline_e - valid.rmse__MAX"
"1","0","0","0","33.490135192871094","33.490135192871094","33.490135192871094","8.224446296691895","8.224446296691895","8.224446296691895","0","0","0","16.362049102783203","16.362049102783203","16.362049102783203","7.853891372680664","7.853891372680664","7.853891372680664","0","0","0","8.921958923339844","8.921958923339844","8.921958923339844","7.039119243621826","7.039119243621826","7.039119243621826"
"2","1","1","1","9.103341102600098","9.103341102600098","9.103341102600098","7.9155707359313965","7.9155707359313965","7.9155707359313965","1","1","1","7.941671848297119","7.941671848297119","7.941671848297119","6.181365013122559","6.181365013122559","6.181365013122559","1","1","1","7.897867679595947","7.897867679595947","7.897867679595947","6.403178691864014","6.403178691864014","6.403178691864014"
"3","2","2","2","7.6008148193359375","7.6008148193359375","7.6008148193359375","6.499854564666748","6.499854564666748","6.499854564666748","2","2","2","7.274967670440674","7.274967670440674","7.274967670440674","5.775918960571289","5.775918960571289","5.775918960571289","2","2","2","7.810149192810059","7.810149192810059","7.810149192810059","6.753939628601074","6.753939628601074","6.753939628601074"
"4","3","3","3","6.851224422454834","6.851224422454834","6.851224422454834","5.90014123916626","5.90014123916626","5.90014123916626","3","3","3","6.717525482177734","6.717525482177734","6.717525482177734","5.5335869789123535","5.5335869789123535","5.5335869789123535","3","3","3","7.66423225402832","7.66423225402832","7.66423225402832","6.444833755493164","6.444833755493164","6.444833755493164"
"5","4","4","4","6.464274883270264","6.464274883270264","6.464274883270264","5.785279273986816","5.785279273986816","5.785279273986816","4","4","4","6.3910088539123535","6.3910088539123535","6.3910088539123535","5.546447277069092","5.546447277069092","5.546447277069092","4","4","4","7.737238883972168","7.737238883972168","7.737238883972168","6.16002893447876","6.16002893447876","6.16002893447876"
"6","5","5","5","6.380926132202148","6.380926132202148","6.380926132202148","5.590652942657471","5.590652942657471","5.590652942657471","5","5","5","6.33782434463501","6.33782434463501","6.33782434463501","5.098959445953369","5.098959445953369","5.098959445953369","5","5","5","7.733864784240723","7.733864784240723","7.733864784240723","6.109747886657715","6.109747886657715","6.109747886657715"
"7","6","6","6","6.230438232421875","6.230438232421875","6.230438232421875","5.272098541259766","5.272098541259766","5.272098541259766","6","6","6","6.264703273773193","6.264703273773193","6.264703273773193","5.0083136558532715","5.0083136558532715","5.0083136558532715","6","6","6","7.7452192306518555","7.7452192306518555","7.7452192306518555","6.198949337005615","6.198949337005615","6.198949337005615"
"8","7","7","7","6.02785062789917","6.02785062789917","6.02785062789917","5.268945217132568","5.268945217132568","5.268945217132568","7","7","7","6.178197383880615","6.178197383880615","6.178197383880615","4.821643829345703","4.821643829345703","4.821643829345703","7","7","7","7.673282146453857","7.673282146453857","7.673282146453857","6.683783054351807","6.683783054351807","6.683783054351807"
"9","8","8","8","5.7397141456604","5.7397141456604","5.7397141456604","5.162148952484131","5.162148952484131","5.162148952484131","8","8","8","5.917670726776123","5.917670726776123","5.917670726776123","4.923464298248291","4.923464298248291","4.923464298248291","8","8","8","7.779327392578125","7.779327392578125","7.779327392578125","6.8008809089660645","6.8008809089660645","6.8008809089660645"
"10","9","9","9","5.795454978942871","5.795454978942871","5.795454978942871","4.869275093078613","4.869275093078613","4.869275093078613","9","9","9","5.978289604187012","5.978289604187012","5.978289604187012","4.863378047943115","4.863378047943115","4.863378047943115","9","9","9","7.8024067878723145","7.8024067878723145","7.8024067878723145","6.145728588104248","6.145728588104248","6.145728588104248"
