"epoch","base1cd5-no_graphs - _step","base1cd5-no_graphs - _step__MIN","base1cd5-no_graphs - _step__MAX","base1cd5-no_graphs - train.mae","base1cd5-no_graphs - train.mae__MIN","base1cd5-no_graphs - train.mae__MAX","base1cd5-no_graphs - valid.mae","base1cd5-no_graphs - valid.mae__MIN","base1cd5-no_graphs - valid.mae__MAX","base3cd5_s1n64-all_graphs - _step","base3cd5_s1n64-all_graphs - _step__MIN","base3cd5_s1n64-all_graphs - _step__MAX","base3cd5_s1n64-all_graphs - train.mae","base3cd5_s1n64-all_graphs - train.mae__MIN","base3cd5_s1n64-all_graphs - train.mae__MAX","base3cd5_s1n64-all_graphs - valid.mae","base3cd5_s1n64-all_graphs - valid.mae__MIN","base3cd5_s1n64-all_graphs - valid.mae__MAX","DeepSTABp - _step","DeepSTABp - _step__MIN","DeepSTABp - _step__MAX","DeepSTABp - train.mae","DeepSTABp - train.mae__MIN","DeepSTABp - train.mae__MAX","DeepSTABp - valid.mae","DeepSTABp - valid.mae__MIN","DeepSTABp - valid.mae__MAX","base3d5_s1n16-all_graphs-bs64 - _step","base3d5_s1n16-all_graphs-bs64 - _step__MIN","base3d5_s1n16-all_graphs-bs64 - _step__MAX","base3d5_s1n16-all_graphs-bs64 - train.mae","base3d5_s1n16-all_graphs-bs64 - train.mae__MIN","base3d5_s1n16-all_graphs-bs64 - train.mae__MAX","base3d5_s1n16-all_graphs-bs64 - valid.mae","base3d5_s1n16-all_graphs-bs64 - valid.mae__MIN","base3d5_s1n16-all_graphs-bs64 - valid.mae__MAX","base3d5_s1n64-all_graphs - _step","base3d5_s1n64-all_graphs - _step__MIN","base3d5_s1n64-all_graphs - _step__MAX","base3d5_s1n64-all_graphs - train.mae","base3d5_s1n64-all_graphs - train.mae__MIN","base3d5_s1n64-all_graphs - train.mae__MAX","base3d5_s1n64-all_graphs - valid.mae","base3d5_s1n64-all_graphs - valid.mae__MIN","base3d5_s1n64-all_graphs - valid.mae__MAX"
"1","0","0","0","112.57434844970703","112.57434844970703","112.57434844970703","9.112112045288086","9.112112045288086","9.112112045288086","0","0","0","135.34510803222656","135.34510803222656","135.34510803222656","12.25357437133789","12.25357437133789","12.25357437133789","0","0","0","1.81","1.81","1.81","3.22","3.22","3.22","0","0","0","14.309624671936035","14.309624671936035","14.309624671936035","5.163087368011475","5.163087368011475","5.163087368011475","0","0","0","45.3055534362793","45.3055534362793","45.3055534362793","7.072666645050049","7.072666645050049","7.072666645050049"
"2","1","1","1","64.5689926147461","64.5689926147461","64.5689926147461","8.22040843963623","8.22040843963623","8.22040843963623","1","1","1","81.59861755371094","81.59861755371094","81.59861755371094","10.784993171691895","10.784993171691895","10.784993171691895","1","1","1","1.81","1.81","1.81","3.22","3.22","3.22","1","1","1","5.489569187164307","5.489569187164307","5.489569187164307","4.420704364776611","4.420704364776611","4.420704364776611","1","1","1","22.06440544128418","22.06440544128418","22.06440544128418","6.297990322113037","6.297990322113037","6.297990322113037"
"3","2","2","2","49.84465408325195","49.84465408325195","49.84465408325195","7.8458404541015625","7.8458404541015625","7.8458404541015625","2","2","2","64.02532196044922","64.02532196044922","64.02532196044922","9.449454307556152","9.449454307556152","9.449454307556152","2","2","2","1.81","1.81","1.81","3.22","3.22","3.22","2","2","2","4.875922679901123","4.875922679901123","4.875922679901123","3.924720048904419","3.924720048904419","3.924720048904419","2","2","2","13.699217796325684","13.699217796325684","13.699217796325684","5.453833103179932","5.453833103179932","5.453833103179932"
"4","3","3","3","38.03800582885742","38.03800582885742","38.03800582885742","6.267273426055908","6.267273426055908","6.267273426055908","3","3","3","53.029144287109375","53.029144287109375","53.029144287109375","7.6391472816467285","7.6391472816467285","7.6391472816467285","3","3","3","1.81","1.81","1.81","3.22","3.22","3.22","3","3","3","4.658044815063477","4.658044815063477","4.658044815063477","3.9135265350341797","3.9135265350341797","3.9135265350341797","3","3","3","9.657485961914062","9.657485961914062","9.657485961914062","4.745944976806641","4.745944976806641","4.745944976806641"
"5","4","4","4","30.346454620361328","30.346454620361328","30.346454620361328","5.968350887298584","5.968350887298584","5.968350887298584","4","4","4","43.21885299682617","43.21885299682617","43.21885299682617","7.662624835968018","7.662624835968018","7.662624835968018","4","4","4","1.81","1.81","1.81","3.22","3.22","3.22","4","4","4","4.425817966461182","4.425817966461182","4.425817966461182","3.7628531455993652","3.7628531455993652","3.7628531455993652","4","4","4","7.474532604217529","7.474532604217529","7.474532604217529","4.401310920715332","4.401310920715332","4.401310920715332"
"6","5","5","5","24.660926818847656","24.660926818847656","24.660926818847656","5.69697380065918","5.69697380065918","5.69697380065918","5","5","5","35.943050384521484","35.943050384521484","35.943050384521484","6.385475158691406","6.385475158691406","6.385475158691406","5","5","5","1.81","1.81","1.81","3.22","3.22","3.22","5","5","5","4.384561538696289","4.384561538696289","4.384561538696289","3.8507423400878906","3.8507423400878906","3.8507423400878906","5","5","5","6.290246486663818","6.290246486663818","6.290246486663818","4.442936420440674","4.442936420440674","4.442936420440674"
"7","6","6","6","20.23919105529785","20.23919105529785","20.23919105529785","5.37103271484375","5.37103271484375","5.37103271484375","6","6","6","30.0009765625","30.0009765625","30.0009765625","5.461944580078125","5.461944580078125","5.461944580078125","6","6","6","1.81","1.81","1.81","3.22","3.22","3.22","6","6","6","4.301083564758301","4.301083564758301","4.301083564758301","3.5436222553253174","3.5436222553253174","3.5436222553253174","6","6","6","5.57012414932251","5.57012414932251","5.57012414932251","4.037121772766113","4.037121772766113","4.037121772766113"
"8","7","7","7","16.960208892822266","16.960208892822266","16.960208892822266","5.146821975708008","5.146821975708008","5.146821975708008","7","7","7","25.351604461669922","25.351604461669922","25.351604461669922","5.706133842468262","5.706133842468262","5.706133842468262","7","7","7","1.81","1.81","1.81","3.22","3.22","3.22","7","7","7","4.181318759918213","4.181318759918213","4.181318759918213","3.6877379417419434","3.6877379417419434","3.6877379417419434","7","7","7","5.123443603515625","5.123443603515625","5.123443603515625","3.954530954360962","3.954530954360962","3.954530954360962"
"9","8","8","8","14.259159088134766","14.259159088134766","14.259159088134766","5.037725925445557","5.037725925445557","5.037725925445557","8","8","8","21.892045974731445","21.892045974731445","21.892045974731445","5.442287921905518","5.442287921905518","5.442287921905518","8","8","8","1.81","1.81","1.81","3.22","3.22","3.22","8","8","8","4.213939189910889","4.213939189910889","4.213939189910889","3.5028607845306396","3.5028607845306396","3.5028607845306396","8","8","8","4.8938798904418945","4.8938798904418945","4.8938798904418945","3.927031993865967","3.927031993865967","3.927031993865967"
"10","9","9","9","12.400507926940918","12.400507926940918","12.400507926940918","4.967678546905518","4.967678546905518","4.967678546905518","9","9","9","19.161052703857422","19.161052703857422","19.161052703857422","5.551306247711182","5.551306247711182","5.551306247711182","9","9","9","1.81","1.81","1.81","3.22","3.22","3.22","9","9","9","4.1309814453125","4.1309814453125","4.1309814453125","3.5887537002563477","3.5887537002563477","3.5887537002563477","9","9","9","4.633920669555664","4.633920669555664","4.633920669555664","3.909245014190674","3.909245014190674","3.909245014190674"
