"epoch","base1cd5-no_graphs - _step","base1cd5-no_graphs - _step__MIN","base1cd5-no_graphs - _step__MAX","base1cd5-no_graphs - train.pcc","base1cd5-no_graphs - train.pcc__MIN","base1cd5-no_graphs - train.pcc__MAX","base1cd5-no_graphs - valid.pcc","base1cd5-no_graphs - valid.pcc__MIN","base1cd5-no_graphs - valid.pcc__MAX","base3cd5_s1n64-all_graphs - _step","base3cd5_s1n64-all_graphs - _step__MIN","base3cd5_s1n64-all_graphs - _step__MAX","base3cd5_s1n64-all_graphs - train.pcc","base3cd5_s1n64-all_graphs - train.pcc__MIN","base3cd5_s1n64-all_graphs - train.pcc__MAX","base3cd5_s1n64-all_graphs - valid.pcc","base3cd5_s1n64-all_graphs - valid.pcc__MIN","base3cd5_s1n64-all_graphs - valid.pcc__MAX","DeepSTABp - _step","DeepSTABp - _step__MIN","DeepSTABp - _step__MAX","DeepSTABp - train.pcc","DeepSTABp - train.pcc__MIN","DeepSTABp - train.pcc__MAX","DeepSTABp - valid.pcc","DeepSTABp - valid.pcc__MIN","DeepSTABp - valid.pcc__MAX","base3d5_s1n16-all_graphs-bs64 - _step","base3d5_s1n16-all_graphs-bs64 - _step__MIN","base3d5_s1n16-all_graphs-bs64 - _step__MAX","base3d5_s1n16-all_graphs-bs64 - train.pcc","base3d5_s1n16-all_graphs-bs64 - train.pcc__MIN","base3d5_s1n16-all_graphs-bs64 - train.pcc__MAX","base3d5_s1n16-all_graphs-bs64 - valid.pcc","base3d5_s1n16-all_graphs-bs64 - valid.pcc__MIN","base3d5_s1n16-all_graphs-bs64 - valid.pcc__MAX","base3d5_s1n64-all_graphs - _step","base3d5_s1n64-all_graphs - _step__MIN","base3d5_s1n64-all_graphs - _step__MAX","base3d5_s1n64-all_graphs - train.pcc","base3d5_s1n64-all_graphs - train.pcc__MIN","base3d5_s1n64-all_graphs - train.pcc__MAX","base3d5_s1n64-all_graphs - valid.pcc","base3d5_s1n64-all_graphs - valid.pcc__MIN","base3d5_s1n64-all_graphs - valid.pcc__MAX"
"1","0","0","0","0.025105569511651993","0.025105569511651993","0.025105569511651993","0.4594338834285736","0.4594338834285736","0.4594338834285736","0","0","0","0.02391844242811203","0.02391844242811203","0.02391844242811203","0.06476740539073944","0.06476740539073944","0.06476740539073944","0","0","0","0.97","0.97","0.97","0.9","0.9","0.9","0","0","0","0.12978890538215637","0.12978890538215637","0.12978890538215637","0.8053522706031799","0.8053522706031799","0.8053522706031799","0","0","0","0.028866847977042198","0.028866847977042198","0.028866847977042198","0.11007905006408691","0.11007905006408691","0.11007905006408691"
"2","1","1","1","0.05343107134103775","0.05343107134103775","0.05343107134103775","0.43516427278518677","0.43516427278518677","0.43516427278518677","1","1","1","0.043679237365722656","0.043679237365722656","0.043679237365722656","0.3650828003883362","0.3650828003883362","0.3650828003883362","1","1","1","0.97","0.97","0.97","0.9","0.9","0.9","1","1","1","0.6544400453567505","0.6544400453567505","0.6544400453567505","0.8478922843933105","0.8478922843933105","0.8478922843933105","1","1","1","0.056290123611688614","0.056290123611688614","0.056290123611688614","0.457646906375885","0.457646906375885","0.457646906375885"
"3","2","2","2","0.07272586226463318","0.07272586226463318","0.07272586226463318","0.475426584482193","0.475426584482193","0.475426584482193","2","2","2","0.05408574268221855","0.05408574268221855","0.05408574268221855","0.421659916639328","0.421659916639328","0.421659916639328","2","2","2","0.97","0.97","0.97","0.9","0.9","0.9","2","2","2","0.7464969754219055","0.7464969754219055","0.7464969754219055","0.8649972677230835","0.8649972677230835","0.8649972677230835","2","2","2","0.13288553059101105","0.13288553059101105","0.13288553059101105","0.7387115955352783","0.7387115955352783","0.7387115955352783"
"4","3","3","3","0.09830059856176376","0.09830059856176376","0.09830059856176376","0.5429672598838806","0.5429672598838806","0.5429672598838806","3","3","3","0.07900548726320267","0.07900548726320267","0.07900548726320267","0.4790325462818146","0.4790325462818146","0.4790325462818146","3","3","3","0.97","0.97","0.97","0.9","0.9","0.9","3","3","3","0.7749582529067993","0.7749582529067993","0.7749582529067993","0.8717175722122192","0.8717175722122192","0.8717175722122192","3","3","3","0.2962970733642578","0.2962970733642578","0.2962970733642578","0.8037115335464478","0.8037115335464478","0.8037115335464478"
"5","4","4","4","0.10739047825336456","0.10739047825336456","0.10739047825336456","0.5835704207420349","0.5835704207420349","0.5835704207420349","4","4","4","0.07691864669322968","0.07691864669322968","0.07691864669322968","0.6041147708892822","0.6041147708892822","0.6041147708892822","4","4","4","0.97","0.97","0.97","0.9","0.9","0.9","4","4","4","0.7989317774772644","0.7989317774772644","0.7989317774772644","0.8723924160003662","0.8723924160003662","0.8723924160003662","4","4","4","0.472552627325058","0.472552627325058","0.472552627325058","0.8289557099342346","0.8289557099342346","0.8289557099342346"
"6","5","5","5","0.13689585030078888","0.13689585030078888","0.13689585030078888","0.6407182216644287","0.6407182216644287","0.6407182216644287","5","5","5","0.08773691952228546","0.08773691952228546","0.08773691952228546","0.6110491156578064","0.6110491156578064","0.6110491156578064","5","5","5","0.97","0.97","0.97","0.9","0.9","0.9","5","5","5","0.8044095635414124","0.8044095635414124","0.8044095635414124","0.8787060976028442","0.8787060976028442","0.8787060976028442","5","5","5","0.5961211323738098","0.5961211323738098","0.5961211323738098","0.8385872840881348","0.8385872840881348","0.8385872840881348"
"7","6","6","6","0.15611431002616882","0.15611431002616882","0.15611431002616882","0.6797962784767151","0.6797962784767151","0.6797962784767151","6","6","6","0.11289896816015244","0.11289896816015244","0.11289896816015244","0.6728202700614929","0.6728202700614929","0.6728202700614929","6","6","6","0.97","0.97","0.97","0.9","0.9","0.9","6","6","6","0.8124387264251709","0.8124387264251709","0.8124387264251709","0.8820880055427551","0.8820880055427551","0.8820880055427551","6","6","6","0.6817958950996399","0.6817958950996399","0.6817958950996399","0.851398229598999","0.851398229598999","0.851398229598999"
"8","7","7","7","0.18843744695186615","0.18843744695186615","0.18843744695186615","0.705227792263031","0.705227792263031","0.705227792263031","7","7","7","0.14143088459968567","0.14143088459968567","0.14143088459968567","0.629646360874176","0.629646360874176","0.629646360874176","7","7","7","0.97","0.97","0.97","0.9","0.9","0.9","7","7","7","0.8216884732246399","0.8216884732246399","0.8216884732246399","0.8849079012870789","0.8849079012870789","0.8849079012870789","7","7","7","0.7341632843017578","0.7341632843017578","0.7341632843017578","0.8595202565193176","0.8595202565193176","0.8595202565193176"
"9","8","8","8","0.23675759136676788","0.23675759136676788","0.23675759136676788","0.7205789685249329","0.7205789685249329","0.7205789685249329","8","8","8","0.13774771988391876","0.13774771988391876","0.13774771988391876","0.6812228560447693","0.6812228560447693","0.6812228560447693","8","8","8","0.97","0.97","0.97","0.9","0.9","0.9","8","8","8","0.819920003414154","0.819920003414154","0.819920003414154","0.8883052468299866","0.8883052468299866","0.8883052468299866","8","8","8","0.7601613998413086","0.7601613998413086","0.7601613998413086","0.8630791902542114","0.8630791902542114","0.8630791902542114"
"10","9","9","9","0.27251124382019043","0.27251124382019043","0.27251124382019043","0.7264581918716431","0.7264581918716431","0.7264581918716431","9","9","9","0.17445555329322815","0.17445555329322815","0.17445555329322815","0.6593234539031982","0.6593234539031982","0.6593234539031982","9","9","9","0.97","0.97","0.97","0.9","0.9","0.9","9","9","9","0.8286399841308594","0.8286399841308594","0.8286399841308594","0.8886810541152954","0.8886810541152954","0.8886810541152954","9","9","9","0.790834367275238","0.790834367275238","0.790834367275238","0.8672235012054443","0.8672235012054443","0.8672235012054443"
