"epoch","base1cd5-no_graphs - _step","base1cd5-no_graphs - _step__MIN","base1cd5-no_graphs - _step__MAX","base1cd5-no_graphs - train.r2","base1cd5-no_graphs - train.r2__MIN","base1cd5-no_graphs - train.r2__MAX","base1cd5-no_graphs - valid.r2","base1cd5-no_graphs - valid.r2__MIN","base1cd5-no_graphs - valid.r2__MAX","base3cd5_s1n64-all_graphs - _step","base3cd5_s1n64-all_graphs - _step__MIN","base3cd5_s1n64-all_graphs - _step__MAX","base3cd5_s1n64-all_graphs - train.r2","base3cd5_s1n64-all_graphs - train.r2__MIN","base3cd5_s1n64-all_graphs - train.r2__MAX","base3cd5_s1n64-all_graphs - valid.r2","base3cd5_s1n64-all_graphs - valid.r2__MIN","base3cd5_s1n64-all_graphs - valid.r2__MAX","DeepSTABp - _step","DeepSTABp - _step__MIN","DeepSTABp - _step__MAX","DeepSTABp - train.r2","DeepSTABp - train.r2__MIN","DeepSTABp - train.r2__MAX","DeepSTABp - valid.r2","DeepSTABp - valid.r2__MIN","DeepSTABp - valid.r2__MAX","base3d5_s1n16-all_graphs-bs64 - _step","base3d5_s1n16-all_graphs-bs64 - _step__MIN","base3d5_s1n16-all_graphs-bs64 - _step__MAX","base3d5_s1n16-all_graphs-bs64 - train.r2","base3d5_s1n16-all_graphs-bs64 - train.r2__MIN","base3d5_s1n16-all_graphs-bs64 - train.r2__MAX","base3d5_s1n16-all_graphs-bs64 - valid.r2","base3d5_s1n16-all_graphs-bs64 - valid.r2__MIN","base3d5_s1n16-all_graphs-bs64 - valid.r2__MAX","base3d5_s1n64-all_graphs - _step","base3d5_s1n64-all_graphs - _step__MIN","base3d5_s1n64-all_graphs - _step__MAX","base3d5_s1n64-all_graphs - train.r2","base3d5_s1n64-all_graphs - train.r2__MIN","base3d5_s1n64-all_graphs - train.r2__MAX","base3d5_s1n64-all_graphs - valid.r2","base3d5_s1n64-all_graphs - valid.r2__MIN","base3d5_s1n64-all_graphs - valid.r2__MAX"
"1","0","0","0","-300.7156677246094","-300.7156677246094","-300.7156677246094","-0.48699939250946045","-0.48699939250946045","-0.48699939250946045","0","0","0","-507.0455017089844","-507.0455017089844","-507.0455017089844","-1.7150182723999023","-1.7150182723999023","-1.7150182723999023","0","0","0","0.93","0.93","0.93","0.8","0.8","0.8","0","0","0","-4.246631145477295","-4.246631145477295","-4.246631145477295","0.4940913915634155","0.4940913915634155","0.4940913915634155","0","0","0","-43.229373931884766","-43.229373931884766","-43.229373931884766","-0.10033178329467773","-0.10033178329467773","-0.10033178329467773"
"2","1","1","1","-81.23421478271484","-81.23421478271484","-81.23421478271484","-0.2896440029144287","-0.2896440029144287","-0.2896440029144287","1","1","1","-129.12892150878906","-129.12892150878906","-129.12892150878906","-1.032057285308838","-1.032057285308838","-1.032057285308838","1","1","1","0.93","0.93","0.93","0.8","0.8","0.8","1","1","1","0.4261261224746704","0.4261261224746704","0.4261261224746704","0.6518058776855469","0.6518058776855469","0.6518058776855469","1","1","1","-9.552550315856934","-9.552550315856934","-9.552550315856934","0.18189573287963867","0.18189573287963867","0.18189573287963867"
"3","2","2","2","-49.715579986572266","-49.715579986572266","-49.715579986572266","-0.14473271369934082","-0.14473271369934082","-0.14473271369934082","2","2","2","-80.31572723388672","-80.31572723388672","-80.31572723388672","-0.5058276653289795","-0.5058276653289795","-0.5058276653289795","2","2","2","0.93","0.93","0.93","0.8","0.8","0.8","2","2","2","0.5570942759513855","0.5570942759513855","0.5570942759513855","0.7229089736938477","0.7229089736938477","0.7229089736938477","2","2","2","-3.0063271522521973","-3.0063271522521973","-3.0063271522521973","0.4048422574996948","0.4048422574996948","0.4048422574996948"
"4","3","3","3","-28.580020904541016","-28.580020904541016","-28.580020904541016","0.2668110132217407","0.2668110132217407","0.2668110132217407","3","3","3","-55.65585708618164","-55.65585708618164","-55.65585708618164","-0.07274210453033447","-0.07274210453033447","-0.07274210453033447","3","3","3","0.93","0.93","0.93","0.8","0.8","0.8","3","3","3","0.6004319190979004","0.6004319190979004","0.6004319190979004","0.7342362403869629","0.7342362403869629","0.7342362403869629","3","3","3","-0.8908218145370483","-0.8908218145370483","-0.8908218145370483","0.5897352695465088","0.5897352695465088","0.5897352695465088"
"5","4","4","4","-17.890380859375","-17.890380859375","-17.890380859375","0.3228592276573181","0.3228592276573181","0.3228592276573181","4","4","4","-36.85551834106445","-36.85551834106445","-36.85551834106445","-0.10084891319274902","-0.10084891319274902","-0.10084891319274902","4","4","4","0.93","0.93","0.93","0.8","0.8","0.8","4","4","4","0.6381276845932007","0.6381276845932007","0.6381276845932007","0.7488397359848022","0.7488397359848022","0.7488397359848022","4","4","4","-0.07709205150604248","-0.07709205150604248","-0.07709205150604248","0.6513498425483704","0.6513498425483704","0.6513498425483704"
"6","5","5","5","-11.494315147399902","-11.494315147399902","-11.494315147399902","0.3863866925239563","0.3863866925239563","0.3863866925239563","5","5","5","-25.024831771850586","-25.024831771850586","-25.024831771850586","0.28753167390823364","0.28753167390823364","0.28753167390823364","5","5","5","0.93","0.93","0.93","0.8","0.8","0.8","5","5","5","0.6469182968139648","0.6469182968139648","0.6469182968139648","0.7321056723594666","0.7321056723594666","0.7321056723594666","5","5","5","0.2678610682487488","0.2678610682487488","0.2678610682487488","0.654837965965271","0.654837965965271","0.654837965965271"
"7","6","6","6","-7.458468437194824","-7.458468437194824","-7.458468437194824","0.45398956537246704","0.45398956537246704","0.45398956537246704","6","6","6","-17.418161392211914","-17.418161392211914","-17.418161392211914","0.4368225336074829","0.4368225336074829","0.4368225336074829","6","6","6","0.93","0.93","0.93","0.8","0.8","0.8","6","6","6","0.6599469184875488","0.6599469184875488","0.6599469184875488","0.7771366238594055","0.7771366238594055","0.7771366238594055","6","6","6","0.43697094917297363","0.43697094917297363","0.43697094917297363","0.7150663137435913","0.7150663137435913","0.7150663137435913"
"8","7","7","7","-4.877587795257568","-4.877587795257568","-4.877587795257568","0.4923955798149109","0.4923955798149109","0.4923955798149109","7","7","7","-12.061480522155762","-12.061480522155762","-12.061480522155762","0.39343321323394775","0.39343321323394775","0.39343321323394775","7","7","7","0.93","0.93","0.93","0.8","0.8","0.8","7","7","7","0.6750695705413818","0.6750695705413818","0.6750695705413818","0.7617062926292419","0.7617062926292419","0.7617062926292419","7","7","7","0.5304543375968933","0.5304543375968933","0.5304543375968933","0.725551962852478","0.725551962852478","0.725551962852478"
"9","8","8","8","-3.074545383453369","-3.074545383453369","-3.074545383453369","0.5032650828361511","0.5032650828361511","0.5032650828361511","8","8","8","-8.613211631774902","-8.613211631774902","-8.613211631774902","0.4478268623352051","0.4478268623352051","0.4478268623352051","8","8","8","0.93","0.93","0.93","0.8","0.8","0.8","8","8","8","0.6720976233482361","0.6720976233482361","0.6720976233482361","0.7808394432067871","0.7808394432067871","0.7808394432067871","8","8","8","0.5727903842926025","0.5727903842926025","0.5727903842926025","0.7278944849967957","0.7278944849967957","0.7278944849967957"
"10","9","9","9","-2.0672810077667236","-2.0672810077667236","-2.0672810077667236","0.5136244297027588","0.5136244297027588","0.5136244297027588","9","9","9","-6.5319600105285645","-6.5319600105285645","-6.5319600105285645","0.4046618938446045","0.4046618938446045","0.4046618938446045","9","9","9","0.93","0.93","0.93","0.8","0.8","0.8","9","9","9","0.6865407228469849","0.6865407228469849","0.6865407228469849","0.7638373374938965","0.7638373374938965","0.7638373374938965","9","9","9","0.6239117383956909","0.6239117383956909","0.6239117383956909","0.730438232421875","0.730438232421875","0.730438232421875"
