"epoch","base1cd5-no_graphs - _step","base1cd5-no_graphs - _step__MIN","base1cd5-no_graphs - _step__MAX","base1cd5-no_graphs - train.rmse","base1cd5-no_graphs - train.rmse__MIN","base1cd5-no_graphs - train.rmse__MAX","base1cd5-no_graphs - valid.rmse","base1cd5-no_graphs - valid.rmse__MIN","base1cd5-no_graphs - valid.rmse__MAX","base3cd5_s1n64-all_graphs - _step","base3cd5_s1n64-all_graphs - _step__MIN","base3cd5_s1n64-all_graphs - _step__MAX","base3cd5_s1n64-all_graphs - train.rmse","base3cd5_s1n64-all_graphs - train.rmse__MIN","base3cd5_s1n64-all_graphs - train.rmse__MAX","base3cd5_s1n64-all_graphs - valid.rmse","base3cd5_s1n64-all_graphs - valid.rmse__MIN","base3cd5_s1n64-all_graphs - valid.rmse__MAX","DeepSTABp - _step","DeepSTABp - _step__MIN","DeepSTABp - _step__MAX","DeepSTABp - train.rmse","DeepSTABp - train.rmse__MIN","DeepSTABp - train.rmse__MAX","DeepSTABp - valid.rmse","DeepSTABp - valid.rmse__MIN","DeepSTABp - valid.rmse__MAX","base3d5_s1n16-all_graphs-bs64 - _step","base3d5_s1n16-all_graphs-bs64 - _step__MIN","base3d5_s1n16-all_graphs-bs64 - _step__MAX","base3d5_s1n16-all_graphs-bs64 - train.rmse","base3d5_s1n16-all_graphs-bs64 - train.rmse__MIN","base3d5_s1n16-all_graphs-bs64 - train.rmse__MAX","base3d5_s1n16-all_graphs-bs64 - valid.rmse","base3d5_s1n16-all_graphs-bs64 - valid.rmse__MIN","base3d5_s1n16-all_graphs-bs64 - valid.rmse__MAX","base3d5_s1n64-all_graphs - _step","base3d5_s1n64-all_graphs - _step__MIN","base3d5_s1n64-all_graphs - _step__MAX","base3d5_s1n64-all_graphs - train.rmse","base3d5_s1n64-all_graphs - train.rmse__MIN","base3d5_s1n64-all_graphs - train.rmse__MAX","base3d5_s1n64-all_graphs - valid.rmse","base3d5_s1n64-all_graphs - valid.rmse__MIN","base3d5_s1n64-all_graphs - valid.rmse__MAX"
"1","0","0","0","169.30953979492188","169.30953979492188","169.30953979492188","11.68699836730957","11.68699836730957","11.68699836730957","0","0","0","219.70188903808594","219.70188903808594","219.70188903808594","15.791885375976562","15.791885375976562","15.791885375976562","0","0","0","2.35","2.35","2.35","4.3","4.3","4.3","0","0","0","22.326608657836914","22.326608657836914","22.326608657836914","6.816848278045654","6.816848278045654","6.816848278045654","0","0","0","64.82431030273438","64.82431030273438","64.82431030273438","10.05331802368164","10.05331802368164","10.05331802368164"
"2","1","1","1","88.39114379882812","88.39114379882812","88.39114379882812","10.883849143981934","10.883849143981934","10.883849143981934","1","1","1","111.1909408569336","111.1909408569336","111.1909408569336","13.662040710449219","13.662040710449219","13.662040710449219","1","1","1","2.35","2.35","2.35","4.3","4.3","4.3","1","1","1","7.383983612060547","7.383983612060547","7.383983612060547","5.655334949493408","5.655334949493408","5.655334949493408","1","1","1","31.663665771484375","31.663665771484375","31.663665771484375","8.668659210205078","8.668659210205078","8.668659210205078"
"3","2","2","2","69.41497802734375","69.41497802734375","69.41497802734375","10.254149436950684","10.254149436950684","10.254149436950684","2","2","2","87.89613342285156","87.89613342285156","87.89613342285156","11.76075553894043","11.76075553894043","11.76075553894043","2","2","2","2.35","2.35","2.35","4.3","4.3","4.3","2","2","2","6.486913681030273","6.486913681030273","6.486913681030273","5.0449724197387695","5.0449724197387695","5.0449724197387695","2","2","2","19.509929656982422","19.509929656982422","19.509929656982422","7.393730640411377","7.393730640411377","7.393730640411377"
"4","3","3","3","53.01292037963867","53.01292037963867","53.01292037963867","8.206454277038574","8.206454277038574","8.206454277038574","3","3","3","73.3676986694336","73.3676986694336","73.3676986694336","9.92647933959961","9.92647933959961","9.92647933959961","3","3","3","2.35","2.35","2.35","4.3","4.3","4.3","3","3","3","6.161378383636475","6.161378383636475","6.161378383636475","4.940779209136963","4.940779209136963","4.940779209136963","3","3","3","13.403178215026855","13.403178215026855","13.403178215026855","6.13874626159668","6.13874626159668","6.13874626159668"
"5","4","4","4","42.36457443237305","42.36457443237305","42.36457443237305","7.886550426483154","7.886550426483154","7.886550426483154","4","4","4","59.9718017578125","59.9718017578125","59.9718017578125","10.055680274963379","10.055680274963379","10.055680274963379","4","4","4","2.35","2.35","2.35","4.3","4.3","4.3","4","4","4","5.86354398727417","5.86354398727417","5.86354398727417","4.8031158447265625","4.8031158447265625","4.8031158447265625","4","4","4","10.116002082824707","10.116002082824707","10.116002082824707","5.659037113189697","5.659037113189697","5.659037113189697"
"6","5","5","5","34.45392608642578","34.45392608642578","34.45392608642578","7.50749397277832","7.50749397277832","7.50749397277832","5","5","5","49.72519302368164","49.72519302368164","49.72519302368164","8.089661598205566","8.089661598205566","8.089661598205566","5","5","5","2.35","2.35","2.35","4.3","4.3","4.3","5","5","5","5.791887283325195","5.791887283325195","5.791887283325195","4.960544586181641","4.960544586181641","4.960544586181641","5","5","5","8.340253829956055","8.340253829956055","8.340253829956055","5.630657196044922","5.630657196044922","5.630657196044922"
"7","6","6","6","28.348388671875","28.348388671875","28.348388671875","7.08187198638916","7.08187198638916","7.08187198638916","6","6","6","41.83171081542969","41.83171081542969","41.83171081542969","7.192339897155762","7.192339897155762","7.192339897155762","6","6","6","2.35","2.35","2.35","4.3","4.3","4.3","6","6","6","5.684023857116699","5.684023857116699","5.684023857116699","4.5244622230529785","4.5244622230529785","4.5244622230529785","6","6","6","7.313880920410156","7.313880920410156","7.313880920410156","5.115869522094727","5.115869522094727","5.115869522094727"
"8","7","7","7","23.630998611450195","23.630998611450195","23.630998611450195","6.828263759613037","6.828263759613037","6.828263759613037","7","7","7","35.22724533081055","35.22724533081055","35.22724533081055","7.46426248550415","7.46426248550415","7.46426248550415","7","7","7","2.35","2.35","2.35","4.3","4.3","4.3","7","7","7","5.556197166442871","5.556197166442871","5.556197166442871","4.678470134735107","4.678470134735107","4.678470134735107","7","7","7","6.6791534423828125","6.6791534423828125","6.6791534423828125","5.020854949951172","5.020854949951172","5.020854949951172"
"9","8","8","8","19.67533302307129","19.67533302307129","19.67533302307129","6.754760265350342","6.754760265350342","6.754760265350342","8","8","8","30.2215518951416","30.2215518951416","30.2215518951416","7.121725559234619","7.121725559234619","7.121725559234619","8","8","8","2.35","2.35","2.35","4.3","4.3","4.3","8","8","8","5.581549644470215","5.581549644470215","5.581549644470215","4.48671817779541","4.48671817779541","4.48671817779541","8","8","8","6.370932579040527","6.370932579040527","6.370932579040527","4.9993815422058105","4.9993815422058105","4.9993815422058105"
"10","9","9","9","17.071012496948242","17.071012496948242","17.071012496948242","6.683954238891602","6.683954238891602","6.683954238891602","9","9","9","26.750782012939453","26.750782012939453","26.750782012939453","7.394851207733154","7.394851207733154","7.394851207733154","9","9","9","2.35","2.35","2.35","4.3","4.3","4.3","9","9","9","5.457240104675293","5.457240104675293","5.457240104675293","4.657503604888916","4.657503604888916","4.657503604888916","9","9","9","5.977607727050781","5.977607727050781","5.977607727050781","4.975957870483398","4.975957870483398","4.975957870483398"
"11","10","10","10","14.88988971710205","14.88988971710205","14.88988971710205","6.64626932144165","6.64626932144165","6.64626932144165","10","10","10","23.191720962524414","23.191720962524414","23.191720962524414","6.769404888153076","6.769404888153076","6.769404888153076","10","10","10","2.35","2.35","2.35","4.3","4.3","4.3","10","10","10","5.449629306793213","5.449629306793213","5.449629306793213","4.500183582305908","4.500183582305908","4.500183582305908","10","10","10","5.779397010803223","5.779397010803223","5.779397010803223","4.89102029800415","4.89102029800415","4.89102029800415"
"12","11","11","11","13.249120712280273","13.249120712280273","13.249120712280273","6.707528114318848","6.707528114318848","6.707528114318848","11","11","11","20.328439712524414","20.328439712524414","20.328439712524414","6.81185245513916","6.81185245513916","6.81185245513916","11","11","11","2.35","2.35","2.35","4.3","4.3","4.3","11","11","11","5.467496395111084","5.467496395111084","5.467496395111084","4.394222736358643","4.394222736358643","4.394222736358643","11","11","11","5.7662811279296875","5.7662811279296875","5.7662811279296875","4.793993949890137","4.793993949890137","4.793993949890137"
"13","12","12","12","11.762088775634766","11.762088775634766","11.762088775634766","6.615326404571533","6.615326404571533","6.615326404571533","12","12","12","18.037574768066406","18.037574768066406","18.037574768066406","6.906704425811768","6.906704425811768","6.906704425811768","12","12","12","2.35","2.35","2.35","4.3","4.3","4.3","12","12","12","5.316405773162842","5.316405773162842","5.316405773162842","4.416660308837891","4.416660308837891","4.416660308837891","12","12","12","5.551100730895996","5.551100730895996","5.551100730895996","4.7430267333984375","4.7430267333984375","4.7430267333984375"
