"epoch","c1e-N - _step","c1e-N - _step__MIN","c1e-N - _step__MAX","c1e-N - train.mae","c1e-N - train.mae__MIN","c1e-N - train.mae__MAX","c1e-N - valid.mae","c1e-N - valid.mae__MIN","c1e-N - valid.mae__MAX","DeepSTABp_architecture - _step","DeepSTABp_architecture - _step__MIN","DeepSTABp_architecture - _step__MAX","DeepSTABp_architecture - train.mae","DeepSTABp_architecture - train.mae__MIN","DeepSTABp_architecture - train.mae__MAX","DeepSTABp_architecture - valid.mae","DeepSTABp_architecture - valid.mae__MIN","DeepSTABp_architecture - valid.mae__MAX","gcn_d3e_FFF-1x32-0_Nmean - _step","gcn_d3e_FFF-1x32-0_Nmean - _step__MIN","gcn_d3e_FFF-1x32-0_Nmean - _step__MAX","gcn_d3e_FFF-1x32-0_Nmean - train.mae","gcn_d3e_FFF-1x32-0_Nmean - train.mae__MIN","gcn_d3e_FFF-1x32-0_Nmean - train.mae__MAX","gcn_d3e_FFF-1x32-0_Nmean - valid.mae","gcn_d3e_FFF-1x32-0_Nmean - valid.mae__MIN","gcn_d3e_FFF-1x32-0_Nmean - valid.mae__MAX","gcn_d3_FFF-1x32-0_Nmean - _step","gcn_d3_FFF-1x32-0_Nmean - _step__MIN","gcn_d3_FFF-1x32-0_Nmean - _step__MAX","gcn_d3_FFF-1x32-0_Nmean - train.mae","gcn_d3_FFF-1x32-0_Nmean - train.mae__MIN","gcn_d3_FFF-1x32-0_Nmean - train.mae__MAX","gcn_d3_FFF-1x32-0_Nmean - valid.mae","gcn_d3_FFF-1x32-0_Nmean - valid.mae__MIN","gcn_d3_FFF-1x32-0_Nmean - valid.mae__MAX","d0e_F - _step","d0e_F - _step__MIN","d0e_F - _step__MAX","d0e_F - train.mae","d0e_F - train.mae__MIN","d0e_F - train.mae__MAX","d0e_F - valid.mae","d0e_F - valid.mae__MIN","d0e_F - valid.mae__MAX"
"1","0","0","0","92.56217193603516","92.56217193603516","92.56217193603516","10.556228637695312","10.556228637695312","10.556228637695312","0","0","0","7.711794853210449","7.711794853210449","7.711794853210449","4.161704063415527","4.161704063415527","4.161704063415527","0","0","0","17.760658264160156","17.760658264160156","17.760658264160156","5.500273704528809","5.500273704528809","5.500273704528809","0","0","0","19.262977600097656","19.262977600097656","19.262977600097656","5.814232349395752","5.814232349395752","5.814232349395752","0","0","0","6.203341960906982","6.203341960906982","6.203341960906982","5.281676769256592","5.281676769256592","5.281676769256592"
"2","1","1","1","45.53656005859375","45.53656005859375","45.53656005859375","7.2422709465026855","7.2422709465026855","7.2422709465026855","1","1","1","4.592892646789551","4.592892646789551","4.592892646789551","3.7150135040283203","3.7150135040283203","3.7150135040283203","1","1","1","6.092922687530518","6.092922687530518","6.092922687530518","4.747125625610352","4.747125625610352","4.747125625610352","1","1","1","6.73689603805542","6.73689603805542","6.73689603805542","5.457126617431641","5.457126617431641","5.457126617431641","1","1","1","5.67404842376709","5.67404842376709","5.67404842376709","5.1375298500061035","5.1375298500061035","5.1375298500061035"
"3","2","2","2","30.30866813659668","30.30866813659668","30.30866813659668","5.9382524490356445","5.9382524490356445","5.9382524490356445","2","2","2","4.099772930145264","4.099772930145264","4.099772930145264","3.5802438259124756","3.5802438259124756","3.5802438259124756","2","2","2","5.149073123931885","5.149073123931885","5.149073123931885","4.187692165374756","4.187692165374756","4.187692165374756","2","2","2","5.753966331481934","5.753966331481934","5.753966331481934","5.194825172424316","5.194825172424316","5.194825172424316","2","2","2","5.659683704376221","5.659683704376221","5.659683704376221","5.156157493591309","5.156157493591309","5.156157493591309"
"4","3","3","3","21.48991584777832","21.48991584777832","21.48991584777832","5.590795040130615","5.590795040130615","5.590795040130615","3","3","3","3.889303207397461","3.889303207397461","3.889303207397461","3.510631799697876","3.510631799697876","3.510631799697876","3","3","3","4.7375407218933105","4.7375407218933105","4.7375407218933105","3.9243862628936768","3.9243862628936768","3.9243862628936768","3","3","3","5.506265640258789","5.506265640258789","5.506265640258789","4.968376636505127","4.968376636505127","4.968376636505127","3","3","3","5.66059684753418","5.66059684753418","5.66059684753418","5.4053449630737305","5.4053449630737305","5.4053449630737305"
"5","4","4","4","16.123550415039062","16.123550415039062","16.123550415039062","5.313771724700928","5.313771724700928","5.313771724700928","4","4","4","3.7396318912506104","3.7396318912506104","3.7396318912506104","3.46054744720459","3.46054744720459","3.46054744720459","4","4","4","4.538221836090088","4.538221836090088","4.538221836090088","3.9603099822998047","3.9603099822998047","3.9603099822998047","4","4","4","5.329979419708252","5.329979419708252","5.329979419708252","4.922630786895752","4.922630786895752","4.922630786895752","4","4","4","5.671621799468994","5.671621799468994","5.671621799468994","5.213459491729736","5.213459491729736","5.213459491729736"
"6","5","5","5","12.51663875579834","12.51663875579834","12.51663875579834","5.088879585266113","5.088879585266113","5.088879585266113","5","5","5","3.6972873210906982","3.6972873210906982","3.6972873210906982","3.483198881149292","3.483198881149292","3.483198881149292","5","5","5","4.452073574066162","4.452073574066162","4.452073574066162","3.839477777481079","3.839477777481079","3.839477777481079","5","5","5","5.162057876586914","5.162057876586914","5.162057876586914","4.696837425231934","4.696837425231934","4.696837425231934","5","5","5","5.634213447570801","5.634213447570801","5.634213447570801","5.122524738311768","5.122524738311768","5.122524738311768"
"7","6","6","6","10.577640533447266","10.577640533447266","10.577640533447266","5.268031120300293","5.268031120300293","5.268031120300293","6","6","6","3.673853874206543","3.673853874206543","3.673853874206543","3.3766252994537354","3.3766252994537354","3.3766252994537354","6","6","6","4.352478981018066","4.352478981018066","4.352478981018066","3.8445332050323486","3.8445332050323486","3.8445332050323486","6","6","6","5.080717086791992","5.080717086791992","5.080717086791992","4.553094387054443","4.553094387054443","4.553094387054443","6","6","6","5.676804542541504","5.676804542541504","5.676804542541504","5.198571681976318","5.198571681976318","5.198571681976318"
"8","7","7","7","8.836803436279297","8.836803436279297","8.836803436279297","5.080491065979004","5.080491065979004","5.080491065979004","7","7","7","3.581319808959961","3.581319808959961","3.581319808959961","3.365332841873169","3.365332841873169","3.365332841873169","7","7","7","4.231685161590576","4.231685161590576","4.231685161590576","3.560192108154297","3.560192108154297","3.560192108154297","7","7","7","4.965549945831299","4.965549945831299","4.965549945831299","4.4990434646606445","4.4990434646606445","4.4990434646606445","7","7","7","5.636948108673096","5.636948108673096","5.636948108673096","5.057740688323975","5.057740688323975","5.057740688323975"
"9","8","8","8","7.840065956115723","7.840065956115723","7.840065956115723","4.935500621795654","4.935500621795654","4.935500621795654","8","8","8","3.555575370788574","3.555575370788574","3.555575370788574","3.3533926010131836","3.3533926010131836","3.3533926010131836","8","8","8","4.136298656463623","4.136298656463623","4.136298656463623","3.6349294185638428","3.6349294185638428","3.6349294185638428","8","8","8","4.827060699462891","4.827060699462891","4.827060699462891","4.206662178039551","4.206662178039551","4.206662178039551","8","8","8","5.525745868682861","5.525745868682861","5.525745868682861","5.0352325439453125","5.0352325439453125","5.0352325439453125"
"10","9","9","9","7.234070777893066","7.234070777893066","7.234070777893066","5.052937984466553","5.052937984466553","5.052937984466553","9","9","9","3.5753660202026367","3.5753660202026367","3.5753660202026367","3.3518588542938232","3.3518588542938232","3.3518588542938232","9","9","9","4.1428656578063965","4.1428656578063965","4.1428656578063965","3.628493070602417","3.628493070602417","3.628493070602417","9","9","9","4.728976249694824","4.728976249694824","4.728976249694824","4.2010722160339355","4.2010722160339355","4.2010722160339355","9","9","9","5.671834468841553","5.671834468841553","5.671834468841553","5.104527473449707","5.104527473449707","5.104527473449707"
"11","10","10","10","6.66242790222168","6.66242790222168","6.66242790222168","4.870752811431885","4.870752811431885","4.870752811431885","10","10","10","3.482801675796509","3.482801675796509","3.482801675796509","3.318369150161743","3.318369150161743","3.318369150161743","10","10","10","4.111789226531982","4.111789226531982","4.111789226531982","3.6690542697906494","3.6690542697906494","3.6690542697906494","10","10","10","4.5340256690979","4.5340256690979","4.5340256690979","4.274333953857422","4.274333953857422","4.274333953857422","10","10","10","5.616039276123047","5.616039276123047","5.616039276123047","4.997262001037598","4.997262001037598","4.997262001037598"
"12","11","11","11","6.304176330566406","6.304176330566406","6.304176330566406","4.876445293426514","4.876445293426514","4.876445293426514","11","11","11","3.4902615547180176","3.4902615547180176","3.4902615547180176","3.427910089492798","3.427910089492798","3.427910089492798","11","11","11","4.0361409187316895","4.0361409187316895","4.0361409187316895","3.6306793689727783","3.6306793689727783","3.6306793689727783","11","11","11","4.368117809295654","4.368117809295654","4.368117809295654","4.250428676605225","4.250428676605225","4.250428676605225","11","11","11","5.595032691955566","5.595032691955566","5.595032691955566","5.495442867279053","5.495442867279053","5.495442867279053"
"13","12","12","12","5.997845649719238","5.997845649719238","5.997845649719238","4.786183834075928","4.786183834075928","4.786183834075928","12","12","12","3.4771175384521484","3.4771175384521484","3.4771175384521484","3.3277573585510254","3.3277573585510254","3.3277573585510254","12","12","12","4.0635986328125","4.0635986328125","4.0635986328125","3.5382845401763916","3.5382845401763916","3.5382845401763916","12","12","12","4.300244331359863","4.300244331359863","4.300244331359863","3.903455972671509","3.903455972671509","3.903455972671509","12","12","12","5.6029953956604","5.6029953956604","5.6029953956604","4.8640851974487305","4.8640851974487305","4.8640851974487305"
