"epoch","c1e-N - _step","c1e-N - _step__MIN","c1e-N - _step__MAX","c1e-N - train.pcc","c1e-N - train.pcc__MIN","c1e-N - train.pcc__MAX","c1e-N - valid.pcc","c1e-N - valid.pcc__MIN","c1e-N - valid.pcc__MAX","DeepSTABp_architecture - _step","DeepSTABp_architecture - _step__MIN","DeepSTABp_architecture - _step__MAX","DeepSTABp_architecture - train.pcc","DeepSTABp_architecture - train.pcc__MIN","DeepSTABp_architecture - train.pcc__MAX","DeepSTABp_architecture - valid.pcc","DeepSTABp_architecture - valid.pcc__MIN","DeepSTABp_architecture - valid.pcc__MAX","gcn_d3e_FFF-1x32-0_Nmean - _step","gcn_d3e_FFF-1x32-0_Nmean - _step__MIN","gcn_d3e_FFF-1x32-0_Nmean - _step__MAX","gcn_d3e_FFF-1x32-0_Nmean - train.pcc","gcn_d3e_FFF-1x32-0_Nmean - train.pcc__MIN","gcn_d3e_FFF-1x32-0_Nmean - train.pcc__MAX","gcn_d3e_FFF-1x32-0_Nmean - valid.pcc","gcn_d3e_FFF-1x32-0_Nmean - valid.pcc__MIN","gcn_d3e_FFF-1x32-0_Nmean - valid.pcc__MAX","gcn_d3_FFF-1x32-0_Nmean - _step","gcn_d3_FFF-1x32-0_Nmean - _step__MIN","gcn_d3_FFF-1x32-0_Nmean - _step__MAX","gcn_d3_FFF-1x32-0_Nmean - train.pcc","gcn_d3_FFF-1x32-0_Nmean - train.pcc__MIN","gcn_d3_FFF-1x32-0_Nmean - train.pcc__MAX","gcn_d3_FFF-1x32-0_Nmean - valid.pcc","gcn_d3_FFF-1x32-0_Nmean - valid.pcc__MIN","gcn_d3_FFF-1x32-0_Nmean - valid.pcc__MAX","d0e_F - _step","d0e_F - _step__MIN","d0e_F - _step__MAX","d0e_F - train.pcc","d0e_F - train.pcc__MIN","d0e_F - train.pcc__MAX","d0e_F - valid.pcc","d0e_F - valid.pcc__MIN","d0e_F - valid.pcc__MAX"
"1","0","0","0","0.03608061000704765","0.03608061000704765","0.03608061000704765","0.21550016105175018","0.21550016105175018","0.21550016105175018","0","0","0","0.38734105229377747","0.38734105229377747","0.38734105229377747","0.8419932723045349","0.8419932723045349","0.8419932723045349","0","0","0","0.09007109701633453","0.09007109701633453","0.09007109701633453","0.7320552468299866","0.7320552468299866","0.7320552468299866","0","0","0","0.061941683292388916","0.061941683292388916","0.061941683292388916","0.6520277261734009","0.6520277261734009","0.6520277261734009","0","0","0","0.41612640023231506","0.41612640023231506","0.41612640023231506","0.835619330406189","0.835619330406189","0.835619330406189"
"2","1","1","1","0.06544021517038345","0.06544021517038345","0.06544021517038345","0.5445547699928284","0.5445547699928284","0.5445547699928284","1","1","1","0.7997773289680481","0.7997773289680481","0.7997773289680481","0.8770658373832703","0.8770658373832703","0.8770658373832703","1","1","1","0.5772865414619446","0.5772865414619446","0.5772865414619446","0.7913467884063721","0.7913467884063721","0.7913467884063721","1","1","1","0.4367995262145996","0.4367995262145996","0.4367995262145996","0.6778931021690369","0.6778931021690369","0.6778931021690369","1","1","1","0.574447751045227","0.574447751045227","0.574447751045227","0.8390428423881531","0.8390428423881531","0.8390428423881531"
"3","2","2","2","0.10313602536916733","0.10313602536916733","0.10313602536916733","0.6352695822715759","0.6352695822715759","0.6352695822715759","2","2","2","0.8428570032119751","0.8428570032119751","0.8428570032119751","0.8861931562423706","0.8861931562423706","0.8861931562423706","2","2","2","0.7177984714508057","0.7177984714508057","0.7177984714508057","0.8324149250984192","0.8324149250984192","0.8324149250984192","2","2","2","0.6102085709571838","0.6102085709571838","0.6102085709571838","0.6899451613426208","0.6899451613426208","0.6899451613426208","2","2","2","0.5762311816215515","0.5762311816215515","0.5762311816215515","0.8308278918266296","0.8308278918266296","0.8308278918266296"
"4","3","3","3","0.1318148821592331","0.1318148821592331","0.1318148821592331","0.6818455457687378","0.6818455457687378","0.6818455457687378","3","3","3","0.8586363196372986","0.8586363196372986","0.8586363196372986","0.8882144689559937","0.8882144689559937","0.8882144689559937","3","3","3","0.767514705657959","0.767514705657959","0.767514705657959","0.8592001795768738","0.8592001795768738","0.8592001795768738","3","3","3","0.6566595435142517","0.6566595435142517","0.6566595435142517","0.7348503470420837","0.7348503470420837","0.7348503470420837","3","3","3","0.5838943123817444","0.5838943123817444","0.5838943123817444","0.8122955560684204","0.8122955560684204","0.8122955560684204"
"5","4","4","4","0.1809990257024765","0.1809990257024765","0.1809990257024765","0.6999145150184631","0.6999145150184631","0.6999145150184631","4","4","4","0.870333194732666","0.870333194732666","0.870333194732666","0.8927646279335022","0.8927646279335022","0.8927646279335022","4","4","4","0.7875468730926514","0.7875468730926514","0.7875468730926514","0.8584305644035339","0.8584305644035339","0.8584305644035339","4","4","4","0.6860299706459045","0.6860299706459045","0.6860299706459045","0.7364055514335632","0.7364055514335632","0.7364055514335632","4","4","4","0.5831531286239624","0.5831531286239624","0.5831531286239624","0.8141813278198242","0.8141813278198242","0.8141813278198242"
"6","5","5","5","0.23624363541603088","0.23624363541603088","0.23624363541603088","0.7398217916488647","0.7398217916488647","0.7398217916488647","5","5","5","0.872532308101654","0.872532308101654","0.872532308101654","0.8926544785499573","0.8926544785499573","0.8926544785499573","5","5","5","0.7971524000167847","0.7971524000167847","0.7971524000167847","0.8610469698905945","0.8610469698905945","0.8610469698905945","5","5","5","0.7059665322303772","0.7059665322303772","0.7059665322303772","0.7708640098571777","0.7708640098571777","0.7708640098571777","5","5","5","0.5888388752937317","0.5888388752937317","0.5888388752937317","0.8266698718070984","0.8266698718070984","0.8266698718070984"
"7","6","6","6","0.2845294177532196","0.2845294177532196","0.2845294177532196","0.7127453088760376","0.7127453088760376","0.7127453088760376","6","6","6","0.8737958669662476","0.8737958669662476","0.8737958669662476","0.8957050442695618","0.8957050442695618","0.8957050442695618","6","6","6","0.8061444163322449","0.8061444163322449","0.8061444163322449","0.8589112758636475","0.8589112758636475","0.8589112758636475","6","6","6","0.7212377786636353","0.7212377786636353","0.7212377786636353","0.7880595922470093","0.7880595922470093","0.7880595922470093","6","6","6","0.5777837634086609","0.5777837634086609","0.5777837634086609","0.822813093662262","0.822813093662262","0.822813093662262"
"8","7","7","7","0.3639468848705292","0.3639468848705292","0.3639468848705292","0.7429669499397278","0.7429669499397278","0.7429669499397278","7","7","7","0.8819873929023743","0.8819873929023743","0.8819873929023743","0.8966972827911377","0.8966972827911377","0.8966972827911377","7","7","7","0.8202192783355713","0.8202192783355713","0.8202192783355713","0.88304603099823","0.88304603099823","0.88304603099823","7","7","7","0.7369827032089233","0.7369827032089233","0.7369827032089233","0.7953075170516968","0.7953075170516968","0.7953075170516968","7","7","7","0.5960716009140015","0.5960716009140015","0.5960716009140015","0.8216378092765808","0.8216378092765808","0.8216378092765808"
"9","8","8","8","0.43287795782089233","0.43287795782089233","0.43287795782089233","0.7481483221054077","0.7481483221054077","0.7481483221054077","8","8","8","0.8822053670883179","0.8822053670883179","0.8822053670883179","0.8960059285163879","0.8960059285163879","0.8960059285163879","8","8","8","0.8281692266464233","0.8281692266464233","0.8281692266464233","0.8806248307228088","0.8806248307228088","0.8806248307228088","8","8","8","0.7530519366264343","0.7530519366264343","0.7530519366264343","0.8097836971282959","0.8097836971282959","0.8097836971282959","8","8","8","0.6081398725509644","0.6081398725509644","0.6081398725509644","0.8259605169296265","0.8259605169296265","0.8259605169296265"
"10","9","9","9","0.47206583619117737","0.47206583619117737","0.47206583619117737","0.75331711769104","0.75331711769104","0.75331711769104","9","9","9","0.8805686831474304","0.8805686831474304","0.8805686831474304","0.8976859450340271","0.8976859450340271","0.8976859450340271","9","9","9","0.8279762864112854","0.8279762864112854","0.8279762864112854","0.8821290135383606","0.8821290135383606","0.8821290135383606","9","9","9","0.7663751244544983","0.7663751244544983","0.7663751244544983","0.8257908821105957","0.8257908821105957","0.8257908821105957","9","9","9","0.583321750164032","0.583321750164032","0.583321750164032","0.8125580549240112","0.8125580549240112","0.8125580549240112"
