"epoch","c1e-N - _step","c1e-N - _step__MIN","c1e-N - _step__MAX","c1e-N - train.r2","c1e-N - train.r2__MIN","c1e-N - train.r2__MAX","c1e-N - valid.r2","c1e-N - valid.r2__MIN","c1e-N - valid.r2__MAX","DeepSTABp_architecture - _step","DeepSTABp_architecture - _step__MIN","DeepSTABp_architecture - _step__MAX","DeepSTABp_architecture - train.r2","DeepSTABp_architecture - train.r2__MIN","DeepSTABp_architecture - train.r2__MAX","DeepSTABp_architecture - valid.r2","DeepSTABp_architecture - valid.r2__MIN","DeepSTABp_architecture - valid.r2__MAX","gcn_d3e_FFF-1x32-0_Nmean - _step","gcn_d3e_FFF-1x32-0_Nmean - _step__MIN","gcn_d3e_FFF-1x32-0_Nmean - _step__MAX","gcn_d3e_FFF-1x32-0_Nmean - train.r2","gcn_d3e_FFF-1x32-0_Nmean - train.r2__MIN","gcn_d3e_FFF-1x32-0_Nmean - train.r2__MAX","gcn_d3e_FFF-1x32-0_Nmean - valid.r2","gcn_d3e_FFF-1x32-0_Nmean - valid.r2__MIN","gcn_d3e_FFF-1x32-0_Nmean - valid.r2__MAX","gcn_d3_FFF-1x32-0_Nmean - _step","gcn_d3_FFF-1x32-0_Nmean - _step__MIN","gcn_d3_FFF-1x32-0_Nmean - _step__MAX","gcn_d3_FFF-1x32-0_Nmean - train.r2","gcn_d3_FFF-1x32-0_Nmean - train.r2__MIN","gcn_d3_FFF-1x32-0_Nmean - train.r2__MAX","gcn_d3_FFF-1x32-0_Nmean - valid.r2","gcn_d3_FFF-1x32-0_Nmean - valid.r2__MIN","gcn_d3_FFF-1x32-0_Nmean - valid.r2__MAX","d0e_F - _step","d0e_F - _step__MIN","d0e_F - _step__MAX","d0e_F - train.r2","d0e_F - train.r2__MIN","d0e_F - train.r2__MAX","d0e_F - valid.r2","d0e_F - valid.r2__MIN","d0e_F - valid.r2__MAX"
"1","0","0","0","-185.7247314453125","-185.7247314453125","-185.7247314453125","-1.1774675846099854","-1.1774675846099854","-1.1774675846099854","0","0","0","-0.5195145606994629","-0.5195145606994629","-0.5195145606994629","0.6945418119430542","0.6945418119430542","0.6945418119430542","0","0","0","-6.77748966217041","-6.77748966217041","-6.77748966217041","0.41875845193862915","0.41875845193862915","0.41875845193862915","0","0","0","-8.373673439025879","-8.373673439025879","-8.373673439025879","0.3102108836174011","0.3102108836174011","0.3102108836174011","0","0","0","0.17213594913482666","0.17213594913482666","0.17213594913482666","0.48253071308135986","0.48253071308135986","0.48253071308135986"
"2","1","1","1","-46.217735290527344","-46.217735290527344","-46.217735290527344","0.058048903942108154","0.058048903942108154","0.058048903942108154","1","1","1","0.633009135723114","0.633009135723114","0.633009135723114","0.7597783803939819","0.7597783803939819","0.7597783803939819","1","1","1","0.3121986985206604","0.3121986985206604","0.3121986985206604","0.5927118062973022","0.5927118062973022","0.5927118062973022","1","1","1","0.14607268571853638","0.14607268571853638","0.14607268571853638","0.42302972078323364","0.42302972078323364","0.42302972078323364","1","1","1","0.3299766778945923","0.3299766778945923","0.3299766778945923","0.512758731842041","0.512758731842041","0.512758731842041"
"3","2","2","2","-20.486249923706055","-20.486249923706055","-20.486249923706055","0.3447689414024353","0.3447689414024353","0.3447689414024353","2","2","2","0.7092771530151367","0.7092771530151367","0.7092771530151367","0.7788964509963989","0.7788964509963989","0.7788964509963989","2","2","2","0.5146453976631165","0.5146453976631165","0.5146453976631165","0.6876906156539917","0.6876906156539917","0.6876906156539917","2","2","2","0.3708485960960388","0.3708485960960388","0.3708485960960388","0.47292405366897583","0.47292405366897583","0.47292405366897583","2","2","2","0.33201509714126587","0.33201509714126587","0.33201509714126587","0.5251476764678955","0.5251476764678955","0.5251476764678955"
"4","3","3","3","-9.91903018951416","-9.91903018951416","-9.91903018951416","0.39135199785232544","0.39135199785232544","0.39135199785232544","3","3","3","0.7371224164962769","0.7371224164962769","0.7371224164962769","0.7887492179870605","0.7887492179870605","0.7887492179870605","3","3","3","0.5886644721031189","0.5886644721031189","0.5886644721031189","0.7288222312927246","0.7288222312927246","0.7288222312927246","3","3","3","0.4306151866912842","0.4306151866912842","0.4306151866912842","0.5193418264389038","0.5193418264389038","0.5193418264389038","3","3","3","0.34089189767837524","0.34089189767837524","0.34089189767837524","0.4535122513771057","0.4535122513771057","0.4535122513771057"
"5","4","4","4","-4.912757873535156","-4.912757873535156","-4.912757873535156","0.4600203037261963","0.4600203037261963","0.4600203037261963","4","4","4","0.7574067115783691","0.7574067115783691","0.7574067115783691","0.795722484588623","0.795722484588623","0.795722484588623","4","4","4","0.6198945045471191","0.6198945045471191","0.6198945045471191","0.7251063585281372","0.7251063585281372","0.7251063585281372","4","4","4","0.4701099991798401","0.4701099991798401","0.4701099991798401","0.5343793034553528","0.5343793034553528","0.5343793034553528","4","4","4","0.34005457162857056","0.34005457162857056","0.34005457162857056","0.5100759267807007","0.5100759267807007","0.5100759267807007"
"6","5","5","5","-2.4984750747680664","-2.4984750747680664","-2.4984750747680664","0.49667322635650635","0.49667322635650635","0.49667322635650635","5","5","5","0.7612403631210327","0.7612403631210327","0.7612403631210327","0.7932062149047852","0.7932062149047852","0.7932062149047852","5","5","5","0.6352465152740479","0.6352465152740479","0.6352465152740479","0.7304860353469849","0.7304860353469849","0.7304860353469849","5","5","5","0.4980883002281189","0.4980883002281189","0.4980883002281189","0.5772660970687866","0.5772660970687866","0.5772660970687866","5","5","5","0.3467208743095398","0.3467208743095398","0.3467208743095398","0.526430606842041","0.526430606842041","0.526430606842041"
"7","6","6","6","-1.3646559715270996","-1.3646559715270996","-1.3646559715270996","0.47781306505203247","0.47781306505203247","0.47781306505203247","6","6","6","0.7634302973747253","0.7634302973747253","0.7634302973747253","0.7989195585250854","0.7989195585250854","0.7989195585250854","6","6","6","0.6496268510818481","0.6496268510818481","0.6496268510818481","0.7278960347175598","0.7278960347175598","0.7278960347175598","6","6","6","0.519855260848999","0.519855260848999","0.519855260848999","0.6134920120239258","0.6134920120239258","0.6134920120239258","6","6","6","0.333807110786438","0.333807110786438","0.333807110786438","0.5148521065711975","0.5148521065711975","0.5148521065711975"
"8","7","7","7","-0.5710557699203491","-0.5710557699203491","-0.5710557699203491","0.5153242349624634","0.5153242349624634","0.5153242349624634","7","7","7","0.7777899503707886","0.7777899503707886","0.7777899503707886","0.7996911406517029","0.7996911406517029","0.7996911406517029","7","7","7","0.6726016402244568","0.6726016402244568","0.6726016402244568","0.7733375430107117","0.7733375430107117","0.7733375430107117","7","7","7","0.5428847074508667","0.5428847074508667","0.5428847074508667","0.6222414970397949","0.6222414970397949","0.6222414970397949","7","7","7","0.3552922010421753","0.3552922010421753","0.3552922010421753","0.5477075576782227","0.5477075576782227","0.5477075576782227"
"9","8","8","8","-0.1943303346633911","-0.1943303346633911","-0.1943303346633911","0.5311006307601929","0.5311006307601929","0.5311006307601929","8","8","8","0.7782817482948303","0.7782817482948303","0.7782817482948303","0.8013207316398621","0.8013207316398621","0.8013207316398621","8","8","8","0.6857509613037109","0.6857509613037109","0.6857509613037109","0.7618705034255981","0.7618705034255981","0.7618705034255981","8","8","8","0.5669425129890442","0.5669425129890442","0.5669425129890442","0.6516052484512329","0.6516052484512329","0.6516052484512329","8","8","8","0.3698301911354065","0.3698301911354065","0.3698301911354065","0.5490461587905884","0.5490461587905884","0.5490461587905884"
"10","9","9","9","0.0020697712898254395","0.0020697712898254395","0.0020697712898254395","0.5087541341781616","0.5087541341781616","0.5087541341781616","9","9","9","0.7751761674880981","0.7751761674880981","0.7751761674880981","0.8030846118927002","0.8030846118927002","0.8030846118927002","9","9","9","0.6853128671646118","0.6853128671646118","0.6853128671646118","0.7654324769973755","0.7654324769973755","0.7654324769973755","9","9","9","0.5868955850601196","0.5868955850601196","0.5868955850601196","0.672659158706665","0.672659158706665","0.672659158706665","9","9","9","0.3401976227760315","0.3401976227760315","0.3401976227760315","0.5387792587280273","0.5387792587280273","0.5387792587280273"
