"epoch","c1e-N - _step","c1e-N - _step__MIN","c1e-N - _step__MAX","c1e-N - train.rmse","c1e-N - train.rmse__MIN","c1e-N - train.rmse__MAX","c1e-N - valid.rmse","c1e-N - valid.rmse__MIN","c1e-N - valid.rmse__MAX","DeepSTABp_architecture - _step","DeepSTABp_architecture - _step__MIN","DeepSTABp_architecture - _step__MAX","DeepSTABp_architecture - train.rmse","DeepSTABp_architecture - train.rmse__MIN","DeepSTABp_architecture - train.rmse__MAX","DeepSTABp_architecture - valid.rmse","DeepSTABp_architecture - valid.rmse__MIN","DeepSTABp_architecture - valid.rmse__MAX","gcn_d3e_FFF-1x32-0_Nmean - _step","gcn_d3e_FFF-1x32-0_Nmean - _step__MIN","gcn_d3e_FFF-1x32-0_Nmean - _step__MAX","gcn_d3e_FFF-1x32-0_Nmean - train.rmse","gcn_d3e_FFF-1x32-0_Nmean - train.rmse__MIN","gcn_d3e_FFF-1x32-0_Nmean - train.rmse__MAX","gcn_d3e_FFF-1x32-0_Nmean - valid.rmse","gcn_d3e_FFF-1x32-0_Nmean - valid.rmse__MIN","gcn_d3e_FFF-1x32-0_Nmean - valid.rmse__MAX","gcn_d3_FFF-1x32-0_Nmean - _step","gcn_d3_FFF-1x32-0_Nmean - _step__MIN","gcn_d3_FFF-1x32-0_Nmean - _step__MAX","gcn_d3_FFF-1x32-0_Nmean - train.rmse","gcn_d3_FFF-1x32-0_Nmean - train.rmse__MIN","gcn_d3_FFF-1x32-0_Nmean - train.rmse__MAX","gcn_d3_FFF-1x32-0_Nmean - valid.rmse","gcn_d3_FFF-1x32-0_Nmean - valid.rmse__MIN","gcn_d3_FFF-1x32-0_Nmean - valid.rmse__MAX","d0e_F - _step","d0e_F - _step__MIN","d0e_F - _step__MAX","d0e_F - train.rmse","d0e_F - train.rmse__MIN","d0e_F - train.rmse__MAX","d0e_F - valid.rmse","d0e_F - valid.rmse__MIN","d0e_F - valid.rmse__MAX"
"1","0","0","0","132.88623046875","132.88623046875","132.88623046875","14.318574905395508","14.318574905395508","14.318574905395508","0","0","0","11.987579345703125","11.987579345703125","11.987579345703125","5.36290168762207","5.36290168762207","5.36290168762207","0","0","0","27.120567321777344","27.120567321777344","27.120567321777344","7.397794246673584","7.397794246673584","7.397794246673584","0","0","0","29.773778915405273","29.773778915405273","29.773778915405273","8.059017181396484","8.059017181396484","8.059017181396484","0","0","0","8.848274230957031","8.848274230957031","8.848274230957031","6.980173587799072","6.980173587799072","6.980173587799072"
"2","1","1","1","66.82386779785156","66.82386779785156","66.82386779785156","9.417553901672363","9.417553901672363","9.417553901672363","1","1","1","5.891239166259766","5.891239166259766","5.891239166259766","4.755870342254639","4.755870342254639","4.755870342254639","1","1","1","8.06511402130127","8.06511402130127","8.06511402130127","6.192625522613525","6.192625522613525","6.192625522613525","1","1","1","8.98647689819336","8.98647689819336","8.98647689819336","7.370562553405762","7.370562553405762","7.370562553405762","1","1","1","7.960200309753418","7.960200309753418","7.960200309753418","6.7732319831848145","6.7732319831848145","6.7732319831848145"
"3","2","2","2","45.077449798583984","45.077449798583984","45.077449798583984","7.854547500610352","7.854547500610352","7.854547500610352","2","2","2","5.243468284606934","5.243468284606934","5.243468284606934","4.562698841094971","4.562698841094971","4.562698841094971","2","2","2","6.774989128112793","6.774989128112793","6.774989128112793","5.42271089553833","5.42271089553833","5.42271089553833","2","2","2","7.7135910987854","7.7135910987854","7.7135910987854","7.044667720794678","7.044667720794678","7.044667720794678","2","2","2","7.948082447052002","7.948082447052002","7.948082447052002","6.6865668296813965","6.6865668296813965","6.6865668296813965"
"4","3","3","3","32.134464263916016","32.134464263916016","32.134464263916016","7.570194244384766","7.570194244384766","7.570194244384766","3","3","3","4.986041069030762","4.986041069030762","4.986041069030762","4.459878921508789","4.459878921508789","4.459878921508789","3","3","3","6.237020015716553","6.237020015716553","6.237020015716553","5.0530195236206055","5.0530195236206055","5.0530195236206055","3","3","3","7.338072299957275","7.338072299957275","7.338072299957275","6.727320194244385","6.727320194244385","6.727320194244385","3","3","3","7.895095348358154","7.895095348358154","7.895095348358154","7.173220157623291","7.173220157623291","7.173220157623291"
"5","4","4","4","23.646894454956055","23.646894454956055","23.646894454956055","7.130379676818848","7.130379676818848","7.130379676818848","4","4","4","4.789811611175537","4.789811611175537","4.789811611175537","4.385652542114258","4.385652542114258","4.385652542114258","4","4","4","5.995578765869141","5.995578765869141","5.995578765869141","5.087521553039551","5.087521553039551","5.087521553039551","4","4","4","7.078999996185303","7.078999996185303","7.078999996185303","6.621251106262207","6.621251106262207","6.621251106262207","4","4","4","7.900108337402344","7.900108337402344","7.900108337402344","6.791853904724121","6.791853904724121","6.791853904724121"
"6","5","5","5","18.189403533935547","18.189403533935547","18.189403533935547","6.884128093719482","6.884128093719482","6.884128093719482","5","5","5","4.751814842224121","4.751814842224121","4.751814842224121","4.412580966949463","4.412580966949463","4.412580966949463","5","5","5","5.87325382232666","5.87325382232666","5.87325382232666","5.037494659423828","5.037494659423828","5.037494659423828","5","5","5","6.889579772949219","6.889579772949219","6.889579772949219","6.308956146240234","6.308956146240234","6.308956146240234","5","5","5","7.860106945037842","7.860106945037842","7.860106945037842","6.677528381347656","6.677528381347656","6.677528381347656"
"7","6","6","6","14.954195022583008","14.954195022583008","14.954195022583008","7.0119194984436035","7.0119194984436035","7.0119194984436035","6","6","6","4.7299723625183105","4.7299723625183105","4.7299723625183105","4.351198196411133","4.351198196411133","4.351198196411133","6","6","6","5.756313800811768","5.756313800811768","5.756313800811768","5.061641216278076","5.061641216278076","5.061641216278076","6","6","6","6.738529682159424","6.738529682159424","6.738529682159424","6.032580852508545","6.032580852508545","6.032580852508545","6","6","6","7.937414169311523","7.937414169311523","7.937414169311523","6.758666038513184","6.758666038513184","6.758666038513184"
"8","7","7","7","12.189189910888672","12.189189910888672","12.189189910888672","6.755377292633057","6.755377292633057","6.755377292633057","7","7","7","4.584171772003174","4.584171772003174","4.584171772003174","4.342841625213623","4.342841625213623","4.342841625213623","7","7","7","5.564386367797852","5.564386367797852","5.564386367797852","4.619699478149414","4.619699478149414","4.619699478149414","7","7","7","6.574942111968994","6.574942111968994","6.574942111968994","5.96390962600708","5.96390962600708","5.96390962600708","7","7","7","7.8083720207214355","7.8083720207214355","7.8083720207214355","6.525797367095947","6.525797367095947","6.525797367095947"
"9","8","8","8","10.6277494430542","10.6277494430542","10.6277494430542","6.644521713256836","6.644521713256836","6.644521713256836","8","8","8","4.57909631729126","4.57909631729126","4.57909631729126","4.325140476226807","4.325140476226807","4.325140476226807","8","8","8","5.451500415802002","5.451500415802002","5.451500415802002","4.735115051269531","4.735115051269531","4.735115051269531","8","8","8","6.399585247039795","6.399585247039795","6.399585247039795","5.727429389953613","5.727429389953613","5.727429389953613","8","8","8","7.719831943511963","7.719831943511963","7.719831943511963","6.5161333084106445","6.5161333084106445","6.5161333084106445"
"10","9","9","9","9.71469497680664","9.71469497680664","9.71469497680664","6.801009178161621","6.801009178161621","6.801009178161621","9","9","9","4.611053943634033","4.611053943634033","4.611053943634033","4.305898189544678","4.305898189544678","4.305898189544678","9","9","9","5.455298900604248","5.455298900604248","5.455298900604248","4.6995673179626465","4.6995673179626465","4.6995673179626465","9","9","9","6.2504167556762695","6.2504167556762695","6.2504167556762695","5.5516743659973145","5.5516743659973145","5.5516743659973145","9","9","9","7.899252414703369","7.899252414703369","7.899252414703369","6.589892864227295","6.589892864227295","6.589892864227295"
"11","10","10","10","8.852477073669434","8.852477073669434","8.852477073669434","6.526587963104248","6.526587963104248","6.526587963104248","10","10","10","4.476871490478516","4.476871490478516","4.476871490478516","4.263759613037109","4.263759613037109","4.263759613037109","10","10","10","5.386727809906006","5.386727809906006","5.386727809906006","4.808571815490723","4.808571815490723","4.808571815490723","10","10","10","5.979913711547852","5.979913711547852","5.979913711547852","5.847019672393799","5.847019672393799","5.847019672393799","10","10","10","7.82720422744751","7.82720422744751","7.82720422744751","6.471761703491211","6.471761703491211","6.471761703491211"
"12","11","11","11","8.313807487487793","8.313807487487793","8.313807487487793","6.506521224975586","6.506521224975586","6.506521224975586","11","11","11","4.498676300048828","4.498676300048828","4.498676300048828","4.393967628479004","4.393967628479004","4.393967628479004","11","11","11","5.313695907592773","5.313695907592773","5.313695907592773","4.732378959655762","4.732378959655762","4.732378959655762","11","11","11","5.751885890960693","5.751885890960693","5.751885890960693","5.594554901123047","5.594554901123047","5.594554901123047","11","11","11","7.804624557495117","7.804624557495117","7.804624557495117","7.320949077606201","7.320949077606201","7.320949077606201"
"13","12","12","12","7.928059101104736","7.928059101104736","7.928059101104736","6.391245365142822","6.391245365142822","6.391245365142822","12","12","12","4.4848456382751465","4.4848456382751465","4.4848456382751465","4.294590473175049","4.294590473175049","4.294590473175049","12","12","12","5.370855331420898","5.370855331420898","5.370855331420898","4.645352363586426","4.645352363586426","4.645352363586426","12","12","12","5.694461345672607","5.694461345672607","5.694461345672607","5.207977771759033","5.207977771759033","5.207977771759033","12","12","12","7.850650787353516","7.850650787353516","7.850650787353516","6.49721097946167","6.49721097946167","6.49721097946167"
"14","13","13","13","7.693184852600098","7.693184852600098","7.693184852600098","6.3836469650268555","6.3836469650268555","6.3836469650268555","13","13","13","4.435451984405518","4.435451984405518","4.435451984405518","4.240724086761475","4.240724086761475","4.240724086761475","13","13","13","5.348135948181152","5.348135948181152","5.348135948181152","4.555260181427002","4.555260181427002","4.555260181427002","13","13","13","5.581467628479004","5.581467628479004","5.581467628479004","4.843194961547852","4.843194961547852","4.843194961547852","13","13","13","7.86414909362793","7.86414909362793","7.86414909362793","7.001858711242676","7.001858711242676","7.001858711242676"
"15","14","14","14","7.477550983428955","7.477550983428955","7.477550983428955","6.487942695617676","6.487942695617676","6.487942695617676","14","14","14","4.42279052734375","4.42279052734375","4.42279052734375","4.274240016937256","4.274240016937256","4.274240016937256","14","14","14","5.26566743850708","5.26566743850708","5.26566743850708","4.800795078277588","4.800795078277588","4.800795078277588","14","14","14","5.421460151672363","5.421460151672363","5.421460151672363","5.159308433532715","5.159308433532715","5.159308433532715","14","14","14","7.799827575683594","7.799827575683594","7.799827575683594","6.787342548370361","6.787342548370361","6.787342548370361"
"16","15","15","15","7.193653583526611","7.193653583526611","7.193653583526611","6.30178689956665","6.30178689956665","6.30178689956665","15","15","15","4.3605875968933105","4.3605875968933105","4.3605875968933105","4.440861225128174","4.440861225128174","4.440861225128174","15","15","15","5.171352863311768","5.171352863311768","5.171352863311768","4.706139087677002","4.706139087677002","4.706139087677002","15","15","15","5.257386684417725","5.257386684417725","5.257386684417725","5.256016731262207","5.256016731262207","5.256016731262207","15","15","15","7.814736843109131","7.814736843109131","7.814736843109131","7.047767162322998","7.047767162322998","7.047767162322998"
"17","16","16","16","7.1168060302734375","7.1168060302734375","7.1168060302734375","6.38861083984375","6.38861083984375","6.38861083984375","16","16","16","4.375511169433594","4.375511169433594","4.375511169433594","4.3956708908081055","4.3956708908081055","4.3956708908081055","16","16","16","5.199895858764648","5.199895858764648","5.199895858764648","4.608514308929443","4.608514308929443","4.608514308929443","16","16","16","5.260715961456299","5.260715961456299","5.260715961456299","4.687252521514893","4.687252521514893","4.687252521514893","16","16","16","7.834976673126221","7.834976673126221","7.834976673126221","6.629177093505859","6.629177093505859","6.629177093505859"
"18","17","17","17","7.024207592010498","7.024207592010498","7.024207592010498","6.1167473793029785","6.1167473793029785","6.1167473793029785","17","17","17","4.360841751098633","4.360841751098633","4.360841751098633","4.226229190826416","4.226229190826416","4.226229190826416","17","17","17","5.060372829437256","5.060372829437256","5.060372829437256","4.6747002601623535","4.6747002601623535","4.6747002601623535","17","17","17","5.078207015991211","5.078207015991211","5.078207015991211","4.802081108093262","4.802081108093262","4.802081108093262","17","17","17","7.678474426269531","7.678474426269531","7.678474426269531","6.621671199798584","6.621671199798584","6.621671199798584"
"19","18","18","18","6.848635673522949","6.848635673522949","6.848635673522949","6.14387321472168","6.14387321472168","6.14387321472168","18","18","18","4.287935256958008","4.287935256958008","4.287935256958008","4.266233921051025","4.266233921051025","4.266233921051025","18","18","18","5.106419086456299","5.106419086456299","5.106419086456299","4.582501411437988","4.582501411437988","4.582501411437988","18","18","18","5.115012168884277","5.115012168884277","5.115012168884277","4.71229362487793","4.71229362487793","4.71229362487793","18","18","18","7.638683795928955","7.638683795928955","7.638683795928955","6.7683024406433105","6.7683024406433105","6.7683024406433105"
"20","19","19","19","6.723786354064941","6.723786354064941","6.723786354064941","6.060160160064697","6.060160160064697","6.060160160064697","19","19","19","4.25981330871582","4.25981330871582","4.25981330871582","4.3891472816467285","4.3891472816467285","4.3891472816467285","19","19","19","5.042901992797852","5.042901992797852","5.042901992797852","4.494632720947266","4.494632720947266","4.494632720947266","19","19","19","5.112061023712158","5.112061023712158","5.112061023712158","4.595107078552246","4.595107078552246","4.595107078552246","19","19","19","7.793828964233398","7.793828964233398","7.793828964233398","6.851380825042725","6.851380825042725","6.851380825042725"
