accession,Tm,ogt,species
A0A3B3IS91,48.073655277393556,37.0,Homo sapiens
A0AV96,50.13212170527677,37.0,Homo sapiens
A0AVF1,48.045966331068655,37.0,Homo sapiens
A0AVK6,41.47504947229305,37.0,Homo sapiens
A0AVT1,49.65120264942331,37.0,Homo sapiens
A0FGR8,53.10408597714055,37.0,Homo sapiens
A0JLT2,51.38085131249714,37.0,Homo sapiens
A0JNW5,53.007080561682166,37.0,Homo sapiens
A0MZ66,48.02014986283934,37.0,Homo sapiens
A0PK00,55.02865891942019,37.0,Homo sapiens
A1A4S6,47.00723804271132,37.0,Homo sapiens
A1A5C7,59.5611904877709,37.0,Homo sapiens
A1A5D9,52.593992867998566,37.0,Homo sapiens
A1L020,51.790927422341326,37.0,Homo sapiens
A1L0T0,56.52769678974728,37.0,Homo sapiens
A1L188,59.03592784996981,37.0,Homo sapiens
A1X283,47.54381107349812,37.0,Homo sapiens
A2A274,50.71794185587952,37.0,Homo sapiens
A2A2Q9,49.054254774641656,37.0,Homo sapiens
A2A2Y4,46.58421640986525,37.0,Homo sapiens
A2A3K4,43.06179997649187,37.0,Homo sapiens
A2A3N6,52.625065624122264,37.0,Homo sapiens
A2ABF8,49.53186322758899,37.0,Homo sapiens
A2ABF9,50.370961190814995,37.0,Homo sapiens
A2AJT9,51.92541707563918,37.0,Homo sapiens
A2RRP1,46.92390655488672,37.0,Homo sapiens
A2RTX5,49.52596705041774,37.0,Homo sapiens
A2RUC4,53.605446212231186,37.0,Homo sapiens
A2RUR9,49.36632649131529,37.0,Homo sapiens
A2RUS2,46.98939440196184,37.0,Homo sapiens
A2VCL2,55.087856131194805,37.0,Homo sapiens
A2VDF0,57.726340077418854,37.0,Homo sapiens
A2VDJ0,45.91663800912795,37.0,Homo sapiens
A3KMH1,49.720443315503964,37.0,Homo sapiens
A3KN83,50.063173431758905,37.0,Homo sapiens
A4D104,53.23187549761265,37.0,Homo sapiens
A4D161,51.14503418608378,37.0,Homo sapiens
A4D1E1,51.17941135513051,37.0,Homo sapiens
A4D1E9,47.16005980406439,37.0,Homo sapiens
A4D1F6,52.10384996879031,37.0,Homo sapiens
A4D1P6,47.285154079730695,37.0,Homo sapiens
A4D1U4,54.95943291241347,37.0,Homo sapiens
A4D212,47.53463560642174,37.0,Homo sapiens
A4D2H0,48.00904947364563,37.0,Homo sapiens
A4D2P6,51.036696987436706,37.0,Homo sapiens
A4GXA9,53.02168844403553,37.0,Homo sapiens
A5D8V6,49.52665967799036,37.0,Homo sapiens
A5PL33,48.82133617614656,37.0,Homo sapiens
A5PLN9,47.840657250935756,37.0,Homo sapiens
A5YKK6,49.233479447187015,37.0,Homo sapiens
A6NC98,44.779598173072735,37.0,Homo sapiens
A6NCE7,52.50510175228185,37.0,Homo sapiens
A6NCM1,50.82009400666023,37.0,Homo sapiens
A6NDG6,59.39165439393941,37.0,Homo sapiens
A6NDK9,54.343783978713155,37.0,Homo sapiens
A6NDU8,48.583824233994505,37.0,Homo sapiens
A6NE01,55.64067446139734,37.0,Homo sapiens
A6NE52,54.710033122126795,37.0,Homo sapiens
A6NED2,52.887783548891775,37.0,Homo sapiens
A6NEM2,51.93735409261296,37.0,Homo sapiens
A6NEQ2,63.4976737553448,37.0,Homo sapiens
A6NFD8,55.88942853618851,37.0,Homo sapiens
A6NFI3,48.77743688628236,37.0,Homo sapiens
A6NFM0,49.90550015482111,37.0,Homo sapiens
A6NFQ2,45.84617239162847,37.0,Homo sapiens
A6NFV8,54.645366404051146,37.0,Homo sapiens
A6NFY4,52.25831565553288,37.0,Homo sapiens
A6NFY7,52.402993991021624,37.0,Homo sapiens
A6NGB9,55.51991490765703,37.0,Homo sapiens
A6NH21,48.99249009179977,37.0,Homo sapiens
A6NHB5,49.95905149081275,37.0,Homo sapiens
A6NHL2,54.02168222298396,37.0,Homo sapiens
A6NHR9,46.32405926995203,37.0,Homo sapiens
A6NHX0,58.03224107344809,37.0,Homo sapiens
A6NHY2,55.55343608181004,37.0,Homo sapiens
A6NIH7,49.519278701904035,37.0,Homo sapiens
A6NIW2,50.07313226335195,37.0,Homo sapiens
A6NJ78,47.973745388174905,37.0,Homo sapiens
A6NJZ7,52.67183346236856,37.0,Homo sapiens
A6NK02,53.96264337873258,37.0,Homo sapiens
A6NK58,55.4049585751403,37.0,Homo sapiens
A6NKC9,49.644545135276445,37.0,Homo sapiens
A6NKD9,50.218770877034586,37.0,Homo sapiens
A6NKF1,47.96356955305146,37.0,Homo sapiens
A6NKG5,48.26726593648548,37.0,Homo sapiens
A6NKL6,51.12096658805399,37.0,Homo sapiens
A6NKP2,50.50379400145754,37.0,Homo sapiens
A6NM28,50.38176431740511,37.0,Homo sapiens
A6NM62,55.550884948843056,37.0,Homo sapiens
A6NMN0,49.14435789694257,37.0,Homo sapiens
A6NMQ1,48.522359569599004,37.0,Homo sapiens
A6NMX2,52.37183904974741,37.0,Homo sapiens
A6NMZ7,53.59465052054017,37.0,Homo sapiens
A6NNL5,50.6047616182235,37.0,Homo sapiens
A6NNM8,49.738518747099356,37.0,Homo sapiens
A6NNV3,46.241578151585195,37.0,Homo sapiens
A6NNZ2,54.864109971234335,37.0,Homo sapiens
A6PVN5,54.53825106942431,37.0,Homo sapiens
A6QL63,49.35619495713576,37.0,Homo sapiens
A7E2V4,48.34085701347703,37.0,Homo sapiens
A7KAX9,53.02288790591599,37.0,Homo sapiens
A7MD48,53.44057925287515,37.0,Homo sapiens
A8K0B5,52.756070215327654,37.0,Homo sapiens
A8K0Z3,50.38750235508188,37.0,Homo sapiens
A8K2U0,51.80156074188751,37.0,Homo sapiens
A8K7Q2,53.5238319494477,37.0,Homo sapiens
A8K8V0,51.447966173908064,37.0,Homo sapiens
A8MPP1,50.421759273962635,37.0,Homo sapiens
A8MPS7,52.268675094529755,37.0,Homo sapiens
A8MQ07,54.27581655748442,37.0,Homo sapiens
A8MQ11,53.75439877745521,37.0,Homo sapiens
A8MT69,51.45327244649974,37.0,Homo sapiens
A8MUM1,52.624692359383126,37.0,Homo sapiens
A8MUS3,55.612653901326304,37.0,Homo sapiens
A8MVJ9,48.312600188867926,37.0,Homo sapiens
A8MVW0,54.4379125154836,37.0,Homo sapiens
A8MVX0,52.72603577745283,37.0,Homo sapiens
A8MW92,49.792594904609764,37.0,Homo sapiens
A8MW99,54.6682980063744,37.0,Homo sapiens
A8MWD9,54.8955160001513,37.0,Homo sapiens
A8MWY0,53.653668107506455,37.0,Homo sapiens
A8MX76,51.94694164634465,37.0,Homo sapiens
A8MXP9,45.606273075071826,37.0,Homo sapiens
A8MXV4,53.50818282114657,37.0,Homo sapiens
A8MYB1,50.930125002578606,37.0,Homo sapiens
A8MYK1,50.13332902060727,37.0,Homo sapiens
A9UHW6,52.120604958704526,37.0,Homo sapiens
A9Z1Z3,56.00978609818012,37.0,Homo sapiens
B0AZT5,52.74500955098062,37.0,Homo sapiens
B0I1T2,46.95570370104835,37.0,Homo sapiens
B0QY89,50.565878487807566,37.0,Homo sapiens
B0QY95,51.77615099865689,37.0,Homo sapiens
B0QYD3,49.14887642267804,37.0,Homo sapiens
B0QYN7,51.10613241961472,37.0,Homo sapiens
B0QYS7,50.97646946852739,37.0,Homo sapiens
B0QZ18,51.38924027296452,37.0,Homo sapiens
B0QZ40,50.7288056554433,37.0,Homo sapiens
B0YIW6,51.36176764145616,37.0,Homo sapiens
B0YJ81,54.51610351184198,37.0,Homo sapiens
B1AHC4,49.798222268972815,37.0,Homo sapiens
B1AHD1,54.30047220962621,37.0,Homo sapiens
B1AHD3,56.32010232576672,37.0,Homo sapiens
B1AJZ9,54.31543167118286,37.0,Homo sapiens
B1AK44,48.53376456819933,37.0,Homo sapiens
B1AK53,51.058777569043485,37.0,Homo sapiens
B1AKJ5,50.23250678223401,37.0,Homo sapiens
B1AKR6,56.20788737189124,37.0,Homo sapiens
B1AKZ5,50.96589601057227,37.0,Homo sapiens
B1AM27,49.703099539916984,37.0,Homo sapiens
B1ANH6,48.47765850802074,37.0,Homo sapiens
B1AP13,51.82029335599073,37.0,Homo sapiens
B1AP22,53.251859342239015,37.0,Homo sapiens
B1AQP5,52.610618452206644,37.0,Homo sapiens
B2RTY4,47.466798365588915,37.0,Homo sapiens
B2RXH2,50.0630592547147,37.0,Homo sapiens
B3KS98,48.63109021090387,37.0,Homo sapiens
B3KSH1,48.53044340797803,37.0,Homo sapiens
B3KSQ1,51.68421899528681,37.0,Homo sapiens
B3KTM8,49.676754079492184,37.0,Homo sapiens
B3KVN2,51.23378666870839,37.0,Homo sapiens
B3KXW5,49.18047969122598,37.0,Homo sapiens
B3SHH9,54.28804096900514,37.0,Homo sapiens
B4DDJ7,53.99973259286279,37.0,Homo sapiens
B4DI41,50.45879887707513,37.0,Homo sapiens
B4DJ62,53.7144119114192,37.0,Homo sapiens
B4DJL6,49.93103088368971,37.0,Homo sapiens
B4DMR5,56.51856607680119,37.0,Homo sapiens
B4DNL7,54.9756080592027,37.0,Homo sapiens
B4DR52,49.77399114952967,37.0,Homo sapiens
B4DRL5,49.30749954009342,37.0,Homo sapiens
B4DRM7,47.567016433546264,37.0,Homo sapiens
B4DSS8,48.49527906444554,37.0,Homo sapiens
B4DT31,53.54527006693013,37.0,Homo sapiens
B4DUT8,48.48895053541971,37.0,Homo sapiens
B4DXA9,51.749102486929495,37.0,Homo sapiens
B4DXP9,53.083529964768836,37.0,Homo sapiens
B4DXR9,50.404113562623614,37.0,Homo sapiens
B4DZH6,51.065857975919755,37.0,Homo sapiens
B4E022,53.172837366169624,37.0,Homo sapiens
B4E0T2,47.81854591593313,37.0,Homo sapiens
B4E0Y9,48.9432242865071,37.0,Homo sapiens
B5MBW9,52.933889953086734,37.0,Homo sapiens
B5MBX0,50.99299206308208,37.0,Homo sapiens
B5MBZ0,49.42605792456517,37.0,Homo sapiens
B5MBZ8,52.10715972955185,37.0,Homo sapiens
B5MC59,52.85769396782489,37.0,Homo sapiens
B5MCG9,49.42436608154751,37.0,Homo sapiens
B5MCH7,49.999288269131114,37.0,Homo sapiens
B5MCP4,58.42049457438908,37.0,Homo sapiens
B5MCX3,55.97764662575303,37.0,Homo sapiens
B5MDF5,57.6421681677234,37.0,Homo sapiens
B5MDU6,52.11332075272467,37.0,Homo sapiens
B5ME19,48.238823855447684,37.0,Homo sapiens
B5ME49,55.95837469407104,37.0,Homo sapiens
B5ME97,52.81018026578761,37.0,Homo sapiens
B7WNH4,56.42338809689054,37.0,Homo sapiens
B7WPD9,56.33777288427298,37.0,Homo sapiens
B7WPE2,50.45709518053966,37.0,Homo sapiens
B7WPL0,50.21474673381127,37.0,Homo sapiens
B7Z1P2,50.72318775009929,37.0,Homo sapiens
B7Z2A4,51.44100499926727,37.0,Homo sapiens
B7Z2F4,54.833874518588836,37.0,Homo sapiens
B7Z2R4,53.44883555994178,37.0,Homo sapiens
B7Z4W5,56.166647328354166,37.0,Homo sapiens
B7Z6G2,47.97663682281904,37.0,Homo sapiens
B7Z6Z4,51.643417022553784,37.0,Homo sapiens
B7Z9C2,51.22098782029089,37.0,Homo sapiens
B7ZAP0,50.26490825458551,37.0,Homo sapiens
B7ZAQ6,52.52461783008954,37.0,Homo sapiens
B7ZBN5,48.85866652521723,37.0,Homo sapiens
B7ZC38,48.84146038596144,37.0,Homo sapiens
B7ZKJ8,53.167856109199526,37.0,Homo sapiens
B8ZZ84,52.70461416771627,37.0,Homo sapiens
B8ZZ87,51.99519774000397,37.0,Homo sapiens
B8ZZ98,54.19268796090892,37.0,Homo sapiens
B8ZZA8,48.05049570196639,37.0,Homo sapiens
B8ZZD4,50.81148086567259,37.0,Homo sapiens
B8ZZN6,50.248542984931234,37.0,Homo sapiens
B8ZZP9,53.95372666052436,37.0,Homo sapiens
B8ZZS0,52.35017157131118,37.0,Homo sapiens
B9EGE7,49.038597519443,37.0,Homo sapiens
C0HLS1,44.74870686230365,37.0,Homo sapiens
C1IDX9,50.00066422676166,37.0,Homo sapiens
C4P0D6,50.768977836120456,37.0,Homo sapiens
C9J6K1,50.65126378504778,37.0,Homo sapiens
C9J7E5,50.98209015124852,37.0,Homo sapiens
C9J7I0,52.59733854489019,37.0,Homo sapiens
C9JA08,52.21118493555935,37.0,Homo sapiens
C9JC87,49.56030095101269,37.0,Homo sapiens
C9JCC6,54.954823450877086,37.0,Homo sapiens
C9JEH3,53.5979385495388,37.0,Homo sapiens
C9JEJ2,51.340879957408916,37.0,Homo sapiens
C9JJ19,49.95007103640916,37.0,Homo sapiens
C9JJ37,55.607834993318036,37.0,Homo sapiens
C9JJN9,49.00671191051112,37.0,Homo sapiens
C9JNU9,48.2565855275211,37.0,Homo sapiens
C9JTB0,53.931346705093944,37.0,Homo sapiens
C9JVE2,51.29152427938959,37.0,Homo sapiens
C9JXA7,51.49029921865646,37.0,Homo sapiens
C9JYJ0,51.48605649519021,37.0,Homo sapiens
C9K0W8,50.64563487461504,37.0,Homo sapiens
D2CFI5,51.08282427846348,37.0,Homo sapiens
D3YTA9,53.565680923905425,37.0,Homo sapiens
D4PHA4,54.923443089426115,37.0,Homo sapiens
D6R9V8,51.65229938340229,37.0,Homo sapiens
D6RBL4,52.50152869002878,37.0,Homo sapiens
D6REA1,49.51900221622356,37.0,Homo sapiens
D6REC4,50.125634163576926,37.0,Homo sapiens
D6RER5,55.37671335869551,37.0,Homo sapiens
