accession,Tm,ogt,species
A0A023PXQ4,52.4077619837866,32.0,Saccharomyces cerevisiae
A0A023T4K3,37.96367254303041,20.0,Caenorhabditis elegans
A0A023T778,54.99367375656585,37.0,Mus musculus
A0A061ACF5,49.47006789178051,20.0,Caenorhabditis elegans
A0A061ACH4,42.599323986109034,20.0,Caenorhabditis elegans
A0A061ACH8,37.99948843790771,20.0,Caenorhabditis elegans
A0A061ACH9,42.52422868499542,20.0,Caenorhabditis elegans
A0A061ACI3,43.89881591022665,20.0,Caenorhabditis elegans
A0A061ACL3,41.97388384094813,20.0,Caenorhabditis elegans
A0A061ACL6,49.04568877200651,20.0,Caenorhabditis elegans
A0A061ACM7,45.649390617061385,20.0,Caenorhabditis elegans
A0A061ACQ8,38.57483618712841,20.0,Caenorhabditis elegans
A0A061ACR1,47.375038491949965,20.0,Caenorhabditis elegans
A0A061ACX4,42.68082327293728,20.0,Caenorhabditis elegans
A0A061AD29,37.301131100281886,20.0,Caenorhabditis elegans
A0A061AJJ3,39.4099474838221,20.0,Caenorhabditis elegans
A0A067XG53,51.572661999096034,37.0,Mus musculus
A0A068BIS6,53.0609870681987,37.0,Mus musculus
A0A068BIT0,53.13170667154597,37.0,Mus musculus
A0A077S9N1,58.36161293491664,37.0,Mus musculus
A0A078BPG0,41.114178373875404,20.0,Caenorhabditis elegans
A0A087WNV1,51.92973080954079,37.0,Mus musculus
A0A087WP63,48.853984835858355,37.0,Mus musculus
A0A087WPH5,52.01578749000961,37.0,Mus musculus
A0A087WPL5,52.46032111776652,37.0,Mus musculus
A0A087WPP8,50.537765119146755,37.0,Mus musculus
A0A087WPR9,51.31402567035041,37.0,Mus musculus
A0A087WPX0,50.90776218758802,37.0,Mus musculus
A0A087WQ86,50.212762882813564,37.0,Mus musculus
A0A087WQE6,49.71180577866543,37.0,Mus musculus
A0A087WQS2,46.54574534121435,37.0,Mus musculus
A0A087WR70,46.57033381840809,37.0,Mus musculus
A0A087WRE5,53.647143854602454,37.0,Mus musculus
A0A087WRE7,54.541989379210655,37.0,Mus musculus
A0A087WRJ2,51.6316066685461,37.0,Mus musculus
A0A087WRV0,52.569106545329184,37.0,Mus musculus
A0A087WRW6,51.83953678371471,37.0,Mus musculus
A0A087WS03,51.139902899177926,37.0,Mus musculus
A0A087WST1,48.023423118167145,37.0,Mus musculus
A0A0A0MPG3,47.24846141623714,28.0,Danio rerio
A0A0A0MQ68,50.14148498686352,37.0,Mus musculus
A0A0A0MQ73,50.75120814316754,37.0,Mus musculus
A0A0A0MQ79,54.440352317493044,37.0,Mus musculus
A0A0A0MQ89,48.38607974294084,37.0,Mus musculus
